CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PVEM,NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PRD,PT,MC,PSD,MORENA,ES,PH,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0222,E01C04,32,106,27,11,,,,,52,4,13,49,24,10,14,2,342,13,357,707,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0223,B,39,95,9,1,,,,,40,6,7,27,20,11,16,0,271,17,288,553,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0223,C01,35,82,17,8,,,,,32,6,9,32,26,10,22,22,279,0,301,552,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0224,B,40,85,12,5,,,,,61,7,11,47,33,17,14,0,332,18,350,718,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0224,C01,42,79,14,4,,,,,47,1,11,38,49,18,19,0,322,18,340,717,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0225,B,47,79,12,4,,,,,29,8,13,31,27,9,17,2,276,22,300,572,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0225,C01,51,60,8,6,,,,,39,4,7,44,33,8,24,0,284,14,298,572,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0226,B,43,50,13,5,,,,,57,1,7,29,34,16,17,0,272,21,293,574,ACTA LEVANTADA EN CONSEJO,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0226,C01,49,65,13,3,,,,,43,2,9,22,40,7,25,0,278,22,300,573,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0227,B,34,55,16,8,,,,,36,5,7,53,29,11,25,0,279,23,302,668,ACTA LEVANTADA EN CONSEJO,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0227,C01,54,46,17,6,,,,,57,1,7,49,36,18,21,1,312,16,329,668,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0227,C02,53,61,19,7,,,,,36,3,8,65,37,14,25,0,328,24,352,667,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0228,B,62,31,18,8,,,,,21,3,6,14,23,12,14,1,212,26,239,421,ACTA LEVANTADA EN CONSEJO,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0228,C01,64,30,13,3,,,,,14,3,7,19,21,6,10,1,190,19,210,420,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0229,B,48,17,10,4,,,,,43,4,7,24,24,8,13,0,202,27,229,464,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0229,C01,45,36,15,2,,,,,31,4,6,29,15,13,9,2,205,32,239,463,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0230,B,64,31,15,3,,,,,35,3,16,31,35,18,12,2,263,41,306,571,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0230,C01,82,42,10,5,,,,,28,4,27,31,25,15,10,1,279,44,324,570,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0230,C02,51,35,11,7,,,,,45,2,17,26,27,16,14,2,251,30,283,570,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0251,B,64,37,5,1,,,,,15,0,15,19,14,4,3,1,177,29,207,397,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0251,C01,77,32,9,2,,,,,15,1,12,8,15,7,7,4,185,30,219,396,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0252,B,60,43,20,6,,,,,35,7,17,20,35,16,25,1,284,28,313,637,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0252,C01,37,64,13,5,,,,,37,2,8,25,24,8,25,1,248,42,291,637,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0253,B,42,49,12,5,,,,,39,3,4,36,36,14,16,0,256,15,271,557,ACTA LEVANTADA EN CONSEJO,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0253,C01,45,61,11,4,,,,,31,3,7,15,33,10,22,1,242,16,259,557,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0254,B,69,75,18,7,,,,,33,9,8,43,30,19,19,0,330,14,344,711,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0254,C01,82,54,11,5,,,,,44,9,18,32,33,12,18,4,318,20,342,711,ACTA LEVANTADA EN CONSEJO,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0255,B,62,61,19,9,,,,,31,9,12,38,53,10,23,0,327,27,354,711,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0255,C01,67,58,11,4,,,,,43,6,12,43,32,14,20,0,310,34,344,711,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0255,C02,59,58,11,11,,,,,41,7,16,26,32,7,16,1,284,27,312,711,ACTA LEVANTADA EN CONSEJO,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0256,B,47,45,16,4,,,,,13,1,15,33,94,12,12,3,292,23,318,659,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0256,C01,42,39,12,11,,,,,16,4,17,26,90,10,8,2,275,18,295,659,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0256,C02,33,58,12,8,,,,,18,4,11,28,98,21,6,1,297,19,317,658,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0257,B,57,46,24,4,,,,,24,7,16,38,54,14,12,1,296,24,321,689,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0257,C01,51,45,21,5,,,,,42,8,9,40,35,12,21,3,289,17,309,689,ACTA CASILLA,,,
