ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PFD,PRI_PVEM_NVA_ALIANZA,PAN_PT,PRD_PT,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
15,MEXICO,14,ATLACOMULCO,39,118,4802,,1129,,8401,1122,,1426,0,969,194,16306,0,0,0,0,0,0,0,0,0,0,44,34349,1530,35923,69062,0.5202
15,MEXICO,15,ATLAUTLA,13,31,2636,,1286,,141,1630,,793,0,773,1555,3273,0,0,0,0,0,0,0,0,0,0,4,12087,273,12364,19214,0.6435
15,MEXICO,16,AXAPUSCO,20,32,2613,5031,754,65,2824,0,433,287,154,116,0,0,0,0,0,0,0,0,0,0,0,0,1,12277,263,12541,16671,0.7523
15,MEXICO,17,AYAPANGO,5,9,,,1343,,,744,,79,0,27,34,1498,96,0,0,0,0,0,0,0,0,0,0,3821,58,3879,5144,0.7541
15,MEXICO,18,CALIMAYA,16,53,4613,,747,,5139,390,,781,1441,217,44,7256,0,0,0,0,0,0,0,0,0,0,8,20628,593,21229,32458,0.654
15,MEXICO,19,CAPULHUAC,12,37,2692,,3368,,691,538,,587,0,521,0,2621,0,0,0,0,0,0,0,0,0,0,2,11018,268,11288,22525,0.5011
15,MEXICO,20,COACALCO DE BERRIOZABAL,106,339,19335,,20220,,1353,4275,,11556,2597,6493,624,29949,0,0,0,0,0,0,0,0,0,0,203,96402,4146,100751,215406,0.4677
15,MEXICO,21,COATEPEC HARINAS,19,47,3451,,336,,3080,0,,1432,0,0,29,8840,0,0,0,0,0,0,0,0,0,0,1,17168,366,17535,24805,0.7069
15,MEXICO,22,COCOTITLAN,6,17,556,,2369,,644,453,,260,387,299,234,2093,0,0,0,0,0,0,0,0,0,0,2,7295,104,7401,10609,0.6976
15,MEXICO,23,COYOTEPEC,11,51,4458,,1141,,1148,1820,,659,1501,1479,1009,3297,0,0,0,0,0,0,0,0,0,0,8,16512,357,16877,33615,0.5021
15,MEXICO,24,CUAUTITLAN,27,113,10696,,2839,,1729,876,,2850,0,1588,0,14018,0,0,0,0,0,0,0,0,0,0,846,34596,1239,36681,72832,0.5036
15,MEXICO,25,CUAUTITLAN IZCALLI,258,645,,,7637,,,7062,,21449,5416,12067,1310,69107,61121,0,0,0,0,0,0,0,0,0,354,185169,8376,193899,385869,0.5025
15,MEXICO,26,CHALCO,71,319,5383,,19783,,1174,14318,,7281,1977,6759,571,32655,0,0,0,0,0,0,0,0,0,0,75,89901,3890,93866,211298,0.4442
15,MEXICO,27,CHAPA DE MOTA,14,36,,,345,,,0,,339,0,0,99,5356,7858,0,0,0,0,0,0,0,0,0,2,13997,419,14418,19076,0.7558
15,MEXICO,28,CHAPULTEPEC,2,10,,,232,,,122,,82,239,0,0,1763,2066,0,0,0,0,0,0,0,0,0,2,4504,114,4620,7160,0.6453
15,MEXICO,29,CHIAUTLA,12,33,104,,,,,242,,5541,,112,24,6435,0,237,0,0,0,0,0,0,0,0,6,12695,223,12924,19155,0.6747
15,MEXICO,30,CHICOLOAPAN,70,195,1172,,12311,,447,614,,10108,2881,8824,236,18714,0,0,0,0,0,0,0,0,0,0,60,55307,1913,57280,119557,0.4791
15,MEXICO,31,CHICONCUAC,7,28,139,,616,,1517,635,,2241,2285,731,0,2893,0,0,0,0,0,0,0,0,0,0,3,11057,212,11272,17629,0.6394
15,MEXICO,32,CHIMALHUACAN,162,628,6220,,20605,,2908,2024,,22578,3229,5854,811,64675,0,0,0,0,0,0,0,0,0,0,101,128904,5587,134592,410239,0.3281
15,MEXICO,33,DONATO GUERRA,16,37,1894,6631,7265,39,51,0,447,124,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16558,485,17043,21549,0.7909
15,MEXICO,34,ECATEPEC DE MORELOS,745,1993,39017,,91196,,13991,12746,,63749,14173,27436,2794,206306,0,0,0,0,0,0,0,0,0,0,779,471408,25594,497781,1205403,0.413
15,MEXICO,35,ECATZINGO,4,10,1437,1690,31,172,257,505,192,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4339,133,4473,6216,0.7196
15,MEXICO,36,HUEHUETOCA,50,125,11288,,8843,,257,2397,,753,682,847,0,10442,0,0,0,0,0,0,0,0,0,0,38,35509,746,36293,80654,0.45
15,MEXICO,37,HUEYPOXTLA,16,45,,,5393,,,0,,431,237,1823,0,5454,5292,0,0,0,0,0,0,0,0,0,2,18630,536,19168,28247,0.6786
15,MEXICO,38,HUIXQUILUCAN,76,266,34889,,5958,,696,916,,4568,1465,2581,314,34566,0,0,0,0,0,0,0,0,0,0,107,85953,3786,89846,169368,0.5305
15,MEXICO,39,ISIDRO FABELA,5,13,392,,1428,,663,542,,314,592,73,133,1229,0,0,0,0,0,0,0,0,0,0,0,5366,100,5466,7469,0.7318
15,MEXICO,40,IXTAPALUCA,226,530,7205,,46424,,1421,2516,,8626,2390,4328,591,66212,0,0,0,0,0,0,0,0,0,0,152,139713,4797,144662,314782,0.4596
15,MEXICO,41,IXTAPAN DE LA SAL,19,45,,,1179,,,657,,102,2267,1080,477,7126,2610,0,0,0,0,0,0,0,0,0,13,15498,617,16128,24641,0.6545
15,MEXICO,42,IXTAPAN DEL ORO,5,9,2159,,228,,9,0,,2,2,0,0,1620,0,0,0,0,0,0,0,0,0,0,0,4020,96,4116,4770,0.8629
15,MEXICO,43,IXTLAHUACA,48,160,3851,21449,2074,1156,811,12184,2760,1719,1190,2652,307,0,0,0,0,0,0,0,0,0,0,0,26,50153,2236,52415,100673,0.5206
15,MEXICO,44,XALATLACO,7,25,,,1298,,,72,,227,165,0,0,3058,3144,0,0,0,0,0,0,0,0,0,5,7964,199,8168,16018,0.5099
15,MEXICO,45,JALTENCO,14,31,2485,,695,,193,2446,,383,253,831,165,2822,0,0,0,0,0,0,0,0,0,0,11,10273,258,10542,18275,0.5769
15,MEXICO,46,JILOTEPEC,44,107,7592,11391,1844,476,315,0,17241,310,0,0,279,0,34,0,0,0,0,0,0,0,0,0,14,39482,1101,40597,59999,0.6766
15,MEXICO,47,JILOTZINGO,10,23,4309,,1222,,174,0,,337,0,0,0,2980,0,0,0,0,0,0,0,0,0,0,6,9022,265,9293,13869,0.6701
15,MEXICO,48,JIQUIPILCO,30,84,618,10848,1139,692,6572,906,1060,3480,519,264,82,0,59,0,0,0,0,0,0,0,0,0,5,26239,1278,27522,47820,0.5755
15,MEXICO,49,JOCOTITLAN,29,81,7815,,663,,1181,500,,1119,325,541,120,13773,0,0,0,0,0,0,0,0,0,0,18,26037,944,26999,44240,0.6103
15,MEXICO,50,JOQUICINGO,5,16,,,395,,,0,,1861,0,298,0,2783,1408,0,0,0,0,0,0,0,0,0,0,6745,156,6901,9245,0.7465
15,MEXICO,51,JUCHITEPEC,8,25,557,,1775,,0,2571,,577,118,0,31,4107,0,0,0,0,0,0,0,0,0,0,4,9736,272,10012,15937,0.6282
15,MEXICO,52,LERMA,46,141,18635,,3383,,1454,611,,2593,746,1090,412,21708,0,0,0,0,0,0,0,0,0,0,30,50632,1490,52152,87865,0.5935
15,MEXICO,53,MALINALCO,16,34,3022,4776,3754,60,97,0,375,195,242,53,15,0,20,0,0,0,0,0,0,0,0,0,8,12609,399,13016,17872,0.7283
15,MEXICO,54,MELCHOR OCAMPO,16,65,6188,5303,4941,177,169,2751,537,983,1813,0,0,0,30,0,0,0,0,0,0,0,0,0,15,22892,603,23510,43386,0.5419
15,MEXICO,55,METEPEC,86,271,25679,,3114,,8282,2842,,6231,2475,3951,622,39313,0,0,0,0,0,0,0,0,0,0,190,92509,3915,96614,168287,0.5741
15,MEXICO,56,MEXICALTZINGO,4,13,,,114,,,770,,776,218,444,0,1091,967,0,0,0,0,0,0,0,0,0,2,4380,113,4495,8477,0.5303
15,MEXICO,57,MORELOS,18,39,1563,6335,159,128,110,5024,0,129,0,622,32,0,0,0,0,0,0,0,0,0,0,0,4,14102,465,14571,20162,0.7227
15,MEXICO,58,NAUCALPAN DE JUAREZ,453,1110,105023,,14232,,3957,8484,,32044,7149,13044,1457,95096,0,0,0,0,0,0,0,0,0,0,591,280486,14596,295673,659383,0.4484
15,MEXICO,59,NEXTLALPAN,10,35,774,,3271,,975,1869,,505,215,1852,508,2855,0,0,0,0,0,0,0,0,0,0,4,12824,292,13120,20891,0.628
