CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PCU,PRI_NVA_ALIANZA_PCU,PVEM_NVA_ALIANZA_PCU,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PCU,PVEM_NVA_ALIANZA,PVEM_PCU,NVA_ALIANZA_PCU,PT_MC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,639,3,56,100,29,0,438,0,59,584,83,7,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1530,53,1592,2210
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,640,2,25,129,15,0,292,0,22,372,64,4,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,979,22,1007,1465
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,641,3,66,73,22,0,495,0,15,508,86,14,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1394,46,1446,1959
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,642,3,31,45,30,0,344,0,24,423,39,12,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1104,32,1142,1558
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,643,3,12,16,16,0,465,0,4,357,5,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,19,902,1514
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,644,3,12,14,42,0,533,0,11,366,16,6,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1138,45,1209,1765
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,645,1,0,20,0,0,237,0,2,134,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,10,406,510
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,646,1,8,16,3,0,306,0,9,178,1,17,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,547,11,570,687
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,647,2,12,9,6,0,599,0,2,346,16,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1014,32,1052,1287
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,648,2,5,2,0,0,371,0,4,320,2,2,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,22,769,863
