MUNICIPIO,SECCION,CASILLA,TIPO,PAN,PRI,PRD-PC,PT,PVEM,VALIDOS,NULOS,TOTAL
CD. MADERO,209,,CONT,52,175,66,68,,361,7,368
CD. MADERO,210,,BAS,53,166,71,33,,323,7,330
CD. MADERO,210,,CONT,49,154,95,55,,353,4,357
CD. MADERO,211,,BAS,67,95,64,44,,270,6,276
CD. MADERO,211,,CONT1,40,115,76,43,,274,6,280
CD. MADERO,211,,CONT2,53,125,57,35,,270,4,274
CD. MADERO,212,,BAS,73,103,61,51,,288,2,290
CD. MADERO,212,,CONT1,44,110,54,53,,261,7,268
CD. MADERO,212,,CONT2,79,110,50,48,,287,2,289
CD. MADERO,213,,BAS,75,134,52,34,,295,4,299
CD. MADERO,213,,CONT,94,123,50,25,,292,2,294
