CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,PCPP,PSI,MORENA,ES,PAN_PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA_PCPP,PAN_PT_NVA_ALIANZA_PSI,PAN_PT_PCPP_PSI,PAN_NVA_ALIANZA_PCPP_PSI,PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA,PAN_PT_PCPP,PAN_PT_PSI,PAN_NVA_ALIANZA_PCPP,PAN_NVA_ALIANZA_PSI,PAN_PCPP_PSI,PT_NVA_ALIANZA_PCPP,PT_NVA_ALIANZA_PSI,PT_PCPP_PSI,NVA_ALIANZA_PCPP_PSI,PAN_PT,PAN_NVA_ALIANZA,PAN_PCPP,PAN_PSI,PT_NVA_ALIANZA,PT_PCPP,PT_PSI,NVA_ALIANZA_PCPP,NVA_ALIANZA_PSI,PCPP_PSI,PRI_PVEM_ES,PRI_PVEM,PRI_ES,PVEM_ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,112,PANTEPEC,0917,3,762,329,26,14,5,16,9,1,52,6,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1,2,6,0,1,0,0,0,1,0,1,4,0,0,3,0,1245,30,1275,1977
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,112,PANTEPEC,0918,2,336,222,15,14,9,36,95,1,96,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,8,0,0,9,0,851,6,857,1489
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,112,PANTEPEC,0919,3,513,198,24,19,10,34,97,3,99,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,3,0,0,0,2,0,0,0,0,5,0,0,3,0,1021,32,1053,1732
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,112,PANTEPEC,0920,3,492,341,5,10,6,12,1,0,16,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,2,0,1,3,0,0,1,0,900,37,937,1323
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,112,PANTEPEC,0921,3,515,239,13,5,7,12,28,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,4,0,0,1,0,848,20,868,1273
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2209,3,415,476,9,13,15,16,9,29,33,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,1,0,0,0,7,66,0,0,9,0,1107,43,1150,1672
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2210,3,128,340,2,33,12,7,0,71,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,20,0,0,2,1,628,20,648,1055
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2211,2,164,293,9,6,3,4,2,3,125,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,2,0,638,33,671,1236
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2212,4,324,514,5,7,7,9,0,94,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,2,0,0,0,5,60,1,0,1,0,1050,42,1092,1509
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2213,2,150,306,8,11,4,8,1,96,22,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,2,0,0,1,0,0,0,1,24,0,0,1,0,642,27,669,1125
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2214,1,55,305,1,2,7,2,0,52,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,13,0,0,0,0,449,7,456,639
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2215,2,115,446,8,9,6,3,0,187,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6,28,0,0,1,0,819,8,827,1295
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2216,2,109,262,2,3,3,1,0,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,24,0,0,0,0,420,12,432,660
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2217,2,209,289,6,5,10,4,1,38,24,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,1,5,0,0,1,0,0,0,3,20,0,0,2,0,624,16,640,958
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2218,2,206,401,3,5,4,4,0,66,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,1,0,0,0,1,0,1,17,0,0,0,0,730,17,747,1186
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,187,TLAXCO,2295,2,292,285,5,20,4,34,2,0,10,1,0,0,2,0,0,0,1,0,0,4,1,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,13,0,0,1,0,685,6,691,1036
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,187,TLAXCO,2296,2,268,356,5,1,5,13,2,1,5,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,2,12,0,0,0,0,678,12,690,960
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,187,TLAXCO,2297,3,278,338,0,6,7,14,0,0,3,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,15,1,1,0,0,676,11,687,994
