id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PRD,PT,PVEM,PSN,PC,PAS,PRI-PVEM,Nulos,Total
13,10/11/2002,12,Ayuntamientos,13,0,1368,1,B,Basica,0,68,TIZAYUCA,553,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1368,106,92,0,18,0,0,0,1,0,13,230
13,10/11/2002,12,Ayuntamientos,13,0,1371,1,B,Basica,0,69,TLAHUELILPAN,427,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1371,24,76,106,74,0,0,0,0,0,5,285
13,10/11/2002,12,Ayuntamientos,13,0,1374,1,B,Basica,0,69,TLAHUELILPAN,724,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1374,44,99,256,41,0,0,0,0,0,5,445
13,10/11/2002,12,Ayuntamientos,13,0,1376,1,C,Contigua,0,69,TLAHUELILPAN,682,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1376,22,72,266,71,0,0,0,0,0,6,437
13,10/11/2002,12,Ayuntamientos,13,0,1377,1,B,Basica,0,69,TLAHUELILPAN,581,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1377,21,91,258,33,0,0,0,0,0,1,404
13,10/11/2002,12,Ayuntamientos,13,0,1395,1,C,Contigua,0,71,TLANALAPA,523,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1395,109,103,0,0,120,0,0,0,0,6,338
13,10/11/2002,12,Ayuntamientos,13,0,1396,1,B,Basica,0,71,TLANALAPA,485,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1396,159,74,0,0,101,0,0,0,0,5,339
13,10/11/2002,12,Ayuntamientos,13,0,1396,1,C,Contigua,0,71,TLANALAPA,485,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1396,117,99,0,0,119,0,0,0,0,4,339
13,10/11/2002,12,Ayuntamientos,13,0,1399,1,B,Basica,0,71,TLANALAPA,553,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1399,110,54,0,0,162,0,0,0,0,5,331
13,10/11/2002,12,Ayuntamientos,13,0,1399,1,C,Contigua,0,71,TLANALAPA,554,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1399,126,69,0,0,165,0,0,0,0,8,368
13,10/11/2002,12,Ayuntamientos,13,0,1404,1,B,Basica,0,72,TLANCHINOL,259,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1404,30,59,69,6,0,0,0,0,0,15,179
13,10/11/2002,12,Ayuntamientos,13,0,1410,1,C,Contigua,0,72,TLANCHINOL,641,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1410,183,85,67,0,0,0,0,0,0,91,426
13,10/11/2002,12,Ayuntamientos,13,0,1506,2,C,Contigua,0,76,TULANCINGO DE BRAVO,647,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1506,70,72,0,90,57,3,0,0,0,14,306
