CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1259,4,535,449,61,15,19,18,19,4,12,10,9,1,1,1,1153,29,1183,2522
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1260,6,830,857,87,21,21,24,62,10,24,9,9,4,0,1,1958,46,2005,3992
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1261,7,1054,1112,86,21,26,31,64,15,19,4,6,2,0,1,2440,38,2479,5088
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1262,2,292,269,22,4,14,7,18,2,1,0,1,0,0,0,630,16,646,1147
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1263,4,535,539,52,6,11,21,29,7,5,3,5,4,0,1,1217,20,1238,2402
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1264,5,722,555,23,11,15,17,27,12,5,3,7,1,0,1,1398,28,1427,3329
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1265,4,527,535,17,4,3,17,38,5,4,6,3,0,0,0,1159,20,1179,2468
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1266,2,305,230,5,7,5,12,18,1,1,2,7,1,0,0,594,11,605,1207
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1267,5,731,703,22,10,13,28,38,1,4,8,15,3,0,0,1576,34,1610,3745
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1268,3,397,342,18,9,6,16,29,2,3,5,1,1,0,1,829,13,843,1964
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1269,3,391,577,26,7,19,35,36,5,15,3,2,2,0,1,1118,18,1137,1773
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1270,3,228,525,25,3,10,4,11,1,1,3,7,0,0,0,818,15,833,1548
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1271,2,228,424,6,2,1,4,2,2,1,2,3,2,0,0,677,7,684,1091
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1272,1,89,156,6,2,1,1,5,1,0,0,7,0,0,0,268,8,276,497
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1273,1,140,167,12,7,4,0,2,0,0,1,8,1,0,0,342,4,346,514
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1274,1,70,139,1,0,1,2,0,0,3,2,3,1,0,0,222,4,226,349
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1275,1,120,258,19,3,3,8,1,1,0,0,2,2,0,0,417,9,426,732
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1276,2,176,309,24,5,10,1,10,1,1,3,6,1,0,0,547,12,559,929
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1277,3,481,321,9,3,6,6,10,6,3,2,14,1,0,0,862,35,897,1501
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1278,3,383,513,61,10,4,6,8,5,4,4,8,0,0,0,1006,26,1032,1770
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1279,2,379,305,20,4,5,12,7,2,2,2,2,3,0,0,743,11,754,1346
