ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,31,CHICONCUAC,7,31,758,2478,223,364,661,515,823,7084,243,670,37,2,5,0,168,19,4,28,,14082,7,471,14560,19651,
15,MEXICO,32,CHIMALHUACAN,162,683,12191,97640,12266,5499,4751,3184,3842,108680,4476,3183,604,220,71,100,4103,831,115,754,,262510,125,8056,270691,451573,
15,MEXICO,33,DONATO GUERRA,16,39,442,6008,5362,283,365,145,383,2759,169,134,0,0,0,0,26,11,1,12,,16100,1,1040,17141,23599,
15,MEXICO,34,ECATEPEC,745,2052,75903,151697,44721,18020,30590,11880,17939,386852,17501,13608,2616,1010,341,259,11449,2557,354,2480,,789777,439,24474,814690,1248615,
15,MEXICO,35,ECATZINGO,4,12,1137,1458,115,111,57,89,61,1918,45,36,15,7,7,0,26,6,3,8,,5099,1,180,5280,6830,
15,MEXICO,36,HUEHUETOCA,51,148,10404,9565,1109,852,4411,877,2343,16124,1059,3809,282,76,30,5,395,53,7,112,,51513,22,1737,53272,92773,
15,MEXICO,37,HUEYPOXTLA,16,49,1827,5584,1729,446,304,364,2635,7447,243,219,69,41,7,4,107,64,2,40,,21132,3,1024,22159,30394,
15,MEXICO,38,HUIXQUILUCAN,76,289,57389,29596,2982,1667,3310,1495,1972,29018,1634,1102,1141,369,119,23,830,197,39,227,,133110,41,3628,136779,187671,
15,MEXICO,39,ISIDRO FABELA,5,13,385,1721,538,116,375,84,422,1816,65,256,14,7,0,4,28,6,1,11,,5849,2,205,6056,8054,
15,MEXICO,40,IXTAPALUCA,226,573,14048,68747,10062,4635,4657,3405,2882,94960,4076,4073,456,163,61,65,2255,528,110,538,,215721,113,7159,222993,344842,
15,MEXICO,41,IXTAPAN DE LA SAL,19,47,4228,4642,751,466,419,344,326,5226,244,243,95,48,21,6,84,26,5,26,,17200,4,881,18085,26407,
15,MEXICO,42,IXTAPAN DEL ORO,5,9,1079,1234,969,56,162,17,43,636,29,31,0,0,0,0,5,3,0,0,,4264,0,232,4496,5116,
15,MEXICO,43,IXTLAHUACA,48,172,10682,14144,1442,6729,3826,4251,2301,24848,1348,750,633,86,137,67,582,288,46,143,,72303,48,3239,75590,107519,
15,MEXICO,44,XALATLACO,7,30,968,3255,132,393,1980,102,178,4402,144,221,5,6,2,0,87,20,5,23,,11923,19,393,12335,18208,
