municipality,section,PAN,PRI,PRD,PT,PC,PVEM,PANAL,PSD,CC_PRI_PANAL,PRI_PANAL,C_PRI_PANAL,PRD_PT_PC,C_PRD_PT_PC,PRD_PC,C_PRD_PC,PVEM_PANAL,C_PVEM_PANAL,PRI_PVEM,C_PRI_PVEM,Nulos
PUENTE DE IXTLA,610,20,0,42,17,4,48,0,0,60,,,,,5,51,,,,,30
,,,,,,,,,,,,,,,,,,,,,
TEMIXCO,611,95,,442,32,10,27,,31,383,,,89,571,,,,,,,78
TEMIXCO,613,298,,150,8,22,28,,17,123,,,25,205,,,,,,,38
TEMIXCO,614,229,,143,21,18,20,,25,99,,,29,211,,,,,,,36
TEMIXCO,615,135,,383,44,21,23,,33,282,,,74,522,,,,,,,41
TEMIXCO,616,176,,610,71,25,50,,47,536,,,182,888,,,,,,,114
TEMIXCO,617,142,,267,28,6,48,,24,333,,,79,380,,,,,,,49
TEMIXCO,618,170,,685,73,36,78,,92,546,,,159,953,,,,,,,119
TEMIXCO,619,99,,339,30,13,29,,22,275,,,82,464,,,,,,,39
TEMIXCO,620,455,,418,49,28,41,,24,229,,,80,575,,,,,,,57
TEMIXCO,621,118,,283,30,12,22,,23,232,,,52,377,,,,,,,47
TEMIXCO,622,125,,331,28,15,44,,99,322,,,59,433,,,,,,,59
TEMIXCO,623,162,,498,51,15,86,,36,416,,,132,696,,,,,,,107
TEMIXCO,624,156,,339,40,13,45,,28,229,,,84,476,,,,,,,62
TEMIXCO,625,79,,278,24,9,18,,61,218,,,71,382,,,,,,,48
TEMIXCO,626,81,,369,38,17,31,,40,191,,,84,508,,,,,,,42
TEMIXCO,627,46,,338,27,8,26,,20,128,,,74,447,,,,,,,36
TEMIXCO,628,53,,357,20,12,42,,31,158,,,97,486,,,,,,,26
TEMIXCO,629,293,,285,35,25,39,,28,224,,,47,392,,,,,,,61
TEMIXCO,630,92,,539,65,9,61,,25,589,,,146,759,,,,,,,55
TEMIXCO,631,75,,357,33,7,27,,19,220,,,86,483,,,,,,,53
TEMIXCO,632,92,,298,25,9,64,,18,197,,,71,403,,,,,,,78
TEMIXCO,633,67,,405,39,15,32,,14,194,,,131,590,,,,,,,54
TEMIXCO,634,144,,399,61,26,124,,20,469,,,88,574,,,,,,,64
TEMIXCO,635,116,,418,33,11,45,,30,238,,,108,570,,,,,,,83
TEMIXCO,636,194,,290,29,7,27,,32,252,,,84,410,,,,,,,56
TEMIXCO,637,123,,246,17,10,22,,20,226,,,53,326,,,,,,,54
TEMIXCO,638,128,,413,32,11,48,,18,241,,,74,531,,,,,,,53
TEMIXCO,639,58,,400,36,13,64,,14,310,,,87,536,,,,,,,38
TEMIXCO,640,60,,283,24,12,14,,21,229,,,65,384,,,,,,,27
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TEMIXCO,641,63,,290,21,6,17,,21,317,,,57,374,,,,,,,43
TEMIXCO,642,101,,358,31,11,29,,8,252,,,75,475,,,,,,,48
TEMIXCO,643,62,,175,17,11,9,,3,119,,,30,233,,,,,,,26
TEMIXCO,644,197,,580,50,18,78,,38,394,,,182,830,,,,,,,134
TEMIXCO,645,103,,377,42,24,27,,18,180,,,98,541,,,,,,,56
TEMIXCO,646,123,,326,31,19,24,,19,164,,,84,460,,,,,,,46
TEMIXCO,647,196,,505,77,27,48,,30,430,,,155,764,,,,,,,82
TEMIXCO,648,113,,368,25,9,23,,12,261,,,88,490,,,,,,,42
TEMIXCO,649,170,,414,48,20,41,,26,345,,,103,585,,,,,,,88
TEMIXCO,650,40,,64,5,8,18,,4,144,,,20,97,,,,,,,40
TEMIXCO,651,261,,521,39,13,38,,16,445,,,281,854,,,,,,,119
TEMIXCO,652,258,,477,43,5,44,,24,363,,,91,616,,,,,,,80
TEMIXCO,653,160,,542,71,31,116,,18,523,,,205,849,,,,,,,131
,,,,,,,,,,,,,,,,,,,,,
TEPALCINGO,654,161,287,88,9,2,133,15,553,0,,,27,126,,,15,163,,,87
TEPALCINGO,655,170,160,93,8,7,65,13,391,0,,,29,137,,,4,82,,,48
TEPALCINGO,656,122,246,54,12,0,49,20,376,0,,,12,78,,,8,77,,,43
TEPALCINGO,657,258,238,95,12,4,111,25,368,0,,,23,134,,,16,152,,,58
TEPALCINGO,658,152,180,73,8,2,89,25,258,0,,,11,94,,,8,122,,,41
TEPALCINGO,659,18,131,4,1,0,55,5,54,0,,,1,6,,,3,63,,,7
TEPALCINGO,660,39,282,24,17,4,339,35,200,0,,,8,53,,,11,385,,,57
TEPALCINGO,661,70,143,25,13,1,229,34,164,0,,,4,43,,,13,276,,,33
TEPALCINGO,662,28,318,35,7,2,114,7,322,0,,,9,53,,,8,129,,,45
TEPALCINGO,663,87,184,29,11,1,388,16,350,0,,,7,48,,,22,426,,,55
TEPALCINGO,664,14,13,11,6,2,146,10,28,0,,,1,20,,,16,172,,,27
TEPALCINGO,665,18,203,13,11,2,165,14,299,0,,,1,27,,,10,189,,,42
TEPALCINGO,666,1,10,2,2,0,42,6,10,0,,,0,4,,,3,51,,,8
TEPALCINGO,667,27,252,21,9,1,375,11,203,0,,,10,31,,,16,402,,,30
TEPALCINGO,668,13,145,31,14,1,305,9,113,0,,,8,53,,,16,330,,,43
TEPALCINGO,669,243,196,87,10,4,105,7,298,0,,,14,115,,,9,121,,,40
TEPOZTLAN,670,279,0,313,16,9,26,0,161,69,,,44,382,,,,,,,18
TEPOZTLAN,671,253,0,305,11,4,19,0,105,139,,,55,375,,,,,,,14
TEPOZTLAN,672,118,0,147,6,3,6,0,33,35,,,15,171,,,,,,,6
TEPOZTLAN,673,320,0,416,18,15,48,0,159,124,,,67,516,,,,,,,28
TEPOZTLAN,674,225,0,287,11,5,19,0,156,95,,,33,336,,,,,,,23
TEPOZTLAN,675,442,0,372,21,3,30,0,146,127,,,49,445,,,,,,,36
TEPOZTLAN,676,333,0,305,17,17,42,0,150,99,,,62,401,,,,,,,37
TEPOZTLAN,677,298,0,274,11,2,38,0,119,135,,,40,327,,,,,,,13
TEPOZTLAN,678,245,0,263,22,10,31,0,93,79,,,48,343,,,,,,,30
TEPOZTLAN,679,394,0,229,10,7,21,0,90,104,,,46,292,,,,,,,37
TEPOZTLAN,680,217,0,196,10,12,75,0,78,285,,,26,244,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TEPOZTLAN,681,136,0,189,6,2,40,0,117,157,,,47,244,,,,,,,45
TEPOZTLAN,682,487,0,298,20,10,14,0,193,228,,,68,396,,,,,,,89
TEPOZTLAN,683,293,0,286,12,4,15,0,90,125,,,39,341,,,,,,,49
TEPOZTLAN,684,52,0,103,5,1,10,0,34,36,,,20,129,,,,,,,16
TEPOZTLAN,685,179,0,186,6,2,35,0,68,116,,,31,225,,,,,,,32
TEPOZTLAN,686,514,0,476,24,11,42,0,118,465,,,68,579,,,,,,,58
TEPOZTLAN,687,150,0,143,10,33,50,0,48,132,,,31,217,,,,,,,20
TEPOZTLAN,688,101,0,130,20,12,16,0,80,75,,,30,192,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,
TETECALA,689,371,373,53,2,23,11,211,36,0,50,634,7,85,,,,,,,41
TETECALA,690,417,331,53,0,17,14,228,30,0,61,620,13,83,,,,,,,48
TETECALA,691,278,298,31,6,21,3,129,19,0,35,462,6,64,,,,,,,41
TETECALA,692,129,219,44,6,26,1,73,18,0,27,319,5,81,,,,,,,25
TETECALA,693,127,150,21,1,4,4,118,13,0,11,279,3,29,,,,,,,16
TETECALA,694,105,54,11,1,1,4,5,2,0,8,67,1,14,,,,,,,15
TETELA DEL VOLCAN,695,127,268,0,0,0,194,0,968,0,,,0,0,,,,,,,33
TETELA DEL VOLCAN,696,95,172,0,0,0,137,0,903,0,,,0,0,,,,,,,32
TETELA DEL VOLCAN,697,120,532,0,0,0,373,0,1184,0,,,0,0,,,,,,,63
TETELA DEL VOLCAN,698,64,182,0,0,0,486,0,54,0,,,0,0,,,,,,,32
TETELA DEL VOLCAN,699,46,60,0,0,0,659,0,43,0,,,0,0,,,,,,,22
TETELA DEL VOLCAN,700,59,70,0,0,0,750,0,38,0,,,0,0,,,,,,,35
TETELA DEL VOLCAN,701,29,78,0,0,0,696,0,24,0,,,0,0,,,,,,,28
TETELA DEL VOLCAN,702,49,102,0,0,0,551,0,50,0,,,0,0,,,,,,,43
TLALNEPANTLA,703,281,315,606,17,3,5,0,0,0,,,73,699,,,,,,,34
TLALNEPANTLA,704,221,265,595,5,4,2,0,0,0,,,85,699,,,,,,,39
TLALNEPANTLA,705,95,177,288,21,35,7,0,0,0,,,34,368,,,,,,,36
TLALNEPANTLA,706,119,140,129,5,2,1,0,0,0,,,29,165,,,,,,,22
TLALTIZAPAN,707,407,,318,18,13,33,,34,92,,,74,423,,,,,27,152,43
TLALTIZAPAN,708,334,,418,25,13,49,,65,261,,,110,566,,,,,59,369,42
TLALTIZAPAN,709,321,,327,23,19,26,,47,134,,,78,447,,,,,22,182,31
TLALTIZAPAN,710,538,,515,25,38,20,,49,175,,,114,692,,,,,36,231,50
TLALTIZAPAN,711,235,,203,11,7,18,,24,155,,,32,253,,,,,31,204,15
TLALTIZAPAN,712,117,,93,13,3,11,,2,102,,,30,139,,,,,12,125,10
TLALTIZAPAN,713,132,,208,10,5,18,,3,220,,,54,277,,,,,49,287,23
TLALTIZAPAN,714,195,,220,16,16,28,,18,401,,,51,303,,,,,64,493,27
TLALTIZAPAN,715,43,,92,9,3,7,,7,110,,,27,131,,,,,20,137,15
TLALTIZAPAN,716,160,,277,16,17,12,,7,166,,,51,361,,,,,24,202,29
TLALTIZAPAN,717,168,,227,24,31,19,,23,339,,,74,356,,,,,85,443,35
TLALTIZAPAN,718,66,,254,3,4,19,,8,121,,,27,288,,,,,15,155,16
TLALTIZAPAN,719,98,,216,5,9,70,,14,127,,,34,264,,,,,33,230,7
TLALTIZAPAN,720,82,,129,7,7,16,,8,80,,,17,160,,,,,21,117,12
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TLALTIZAPAN,721,80,,139,14,3,32,,19,109,,,38,194,,,,,30,171,13
TLALTIZAPAN,722,110,,184,17,6,11,,14,190,,,29,236,,,,,29,230,23
TLALTIZAPAN,723,222,,398,27,31,33,,20,308,,,76,532,,,,,41,382,38
TLALTIZAPAN,724,124,,311,41,13,54,,6,201,,,97,462,,,,,39,294,21
TLALTIZAPAN,725,361,,319,29,36,36,,7,352,,,121,505,,,,,78,466,49
TLALTIZAPAN,726,192,,179,9,13,20,,7,199,,,46,247,,,,,43,262,32
TLALTIZAPAN,727,238,,360,37,22,29,,26,241,,,104,523,,,,,68,338,35
TLALTIZAPAN,728,177,,285,12,10,48,,15,145,,,100,407,,,,,29,222,17
TLALTIZAPAN,729,84,,163,18,9,52,,5,86,,,56,246,,,,,25,163,18
TLALTIZAPAN,730,212,,245,15,19,43,,18,153,,,77,356,,,,,40,236,19
TLALTIZAPAN,731,329,,543,59,19,29,,38,386,,,149,770,,,,,65,480,38
TLALTIZAPAN,732,313,,87,6,2,9,,11,77,,,19,114,,,,,19,105,29
TLALTIZAPAN,733,155,,31,5,3,6,,11,26,,,10,49,,,,,6,38,14
TLAQUILTENANGO,734,205,0,176,251,21,159,0,55,128,,,,,18,215,,,,,54
TLAQUILTENANGO,735,216,0,139,220,5,110,0,30,133,,,,,15,159,,,,,49
TLAQUILTENANGO,736,123,0,134,117,8,71,0,28,72,,,,,7,149,,,,,50
TLAQUILTENANGO,737,214,0,291,287,25,277,0,56,352,,,,,17,333,,,,,78
TLAQUILTENANGO,738,214,0,136,241,5,169,0,76,242,,,,,7,148,,,,,50
TLAQUILTENANGO,739,107,0,155,291,9,137,0,36,168,,,,,13,177,,,,,36
TLAQUILTENANGO,740,249,0,241,289,17,316,0,71,259,,,,,22,280,,,,,50
TLAQUILTENANGO,741,165,0,147,195,10,279,0,60,206,,,,,13,170,,,,,32
TLAQUILTENANGO,742,108,0,86,206,3,233,0,63,134,,,,,2,91,,,,,28
TLAQUILTENANGO,743,191,0,147,200,6,84,0,36,184,,,,,5,158,,,,,62
TLAQUILTENANGO,744,64,0,50,78,8,28,0,8,97,,,,,6,64,,,,,31
TLAQUILTENANGO,745,75,0,104,295,8,50,0,15,82,,,,,7,119,,,,,45
TLAQUILTENANGO,746,45,0,80,109,5,29,0,4,70,,,,,6,91,,,,,28
TLAQUILTENANGO,747,42,0,36,54,2,41,0,3,21,,,,,2,40,,,,,17
TLAQUILTENANGO,748,40,0,71,68,2,140,0,2,44,,,,,1,74,,,,,15
TLAQUILTENANGO,749,68,0,75,228,1,48,0,4,117,,,,,41,117,,,,,23
TLAQUILTENANGO,750,6,0,27,165,3,13,0,10,36,,,,,1,31,,,,,33
TLAQUILTENANGO,751,7,0,54,112,2,8,0,0,39,,,,,3,59,,,,,27
TLAQUILTENANGO,752,7,0,73,59,0,8,0,0,22,,,,,0,73,,,,,14
TLAQUILTENANGO,753,13,0,68,52,0,6,0,7,45,,,,,4,72,,,,,22
TLAQUILTENANGO,754,11,0,17,76,0,3,0,3,19,,,,,0,17,,,,,17
TLAQUILTENANGO,755,10,0,34,87,1,25,0,4,13,,,,,0,35,,,,,15
TLAQUILTENANGO,756,55,0,87,101,3,84,0,33,66,,,,,3,93,,,,,50
TLAQUILTENANGO,757,23,0,8,74,4,15,0,9,47,,,,,0,12,,,,,24
TLAQUILTENANGO,758,10,0,10,14,1,12,0,3,28,,,,,0,11,,,,,3
TLAQUILTENANGO,759,11,0,30,22,1,7,0,5,26,,,,,0,31,,,,,11
TLAYACAPAN,760,151,413,132,4,0,218,43,55,0,,,8,144,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TLAYACAPAN,761,176,704,283,7,11,239,69,48,0,,,21,322,,,,,,,33
TLAYACAPAN,762,165,495,270,6,10,188,32,32,0,,,29,315,,,,,,,45
TLAYACAPAN,763,153,220,171,0,4,221,19,32,0,,,14,189,,,,,,,28
TLAYACAPAN,764,181,200,185,5,13,200,18,17,0,,,18,221,,,,,,,20
TLAYACAPAN,765,32,162,137,4,0,111,5,13,0,,,12,153,,,,,,,9
TLAYACAPAN,766,142,302,162,7,2,242,14,34,0,,,7,178,,,,,,,18
TLAYACAPAN,767,108,240,215,7,6,254,21,18,0,,,43,271,,,,,,,58
TLAYACAPAN,768,166,440,202,23,6,253,16,80,0,,,43,274,,,,,,,73
TOTOLAPAN,769,398,208,126,3,0,106,465,108,0,,,24,153,,,,,,,42
TOTOLAPAN,770,308,111,68,6,2,42,350,69,0,,,13,89,,,,,,,36
TOTOLAPAN,771,327,152,87,9,1,84,334,117,0,,,16,113,,,,,,,36
TOTOLAPAN,772,44,22,46,2,0,26,16,3,0,,,6,54,,,,,,,9
TOTOLAPAN,773,167,404,81,4,4,265,153,7,0,,,10,99,,,,,,,30
TOTOLAPAN,774,72,23,25,1,0,71,59,4,0,,,3,29,,,,,,,2
TOTOLAPAN,775,51,15,12,3,0,51,37,3,0,,,2,17,,,,,,,8
XOCHITEPEC,776,180,0,206,79,21,23,0,10,301,,,111,417,,,,,,,55
XOCHITEPEC,777,538,0,357,212,43,84,0,45,539,,,139,751,,,,,,,143
XOCHITEPEC,778,381,0,197,59,47,59,0,19,263,,,64,367,,,,,,,64
XOCHITEPEC,779,336,0,69,23,29,16,0,9,292,,,33,154,,,,,,,32
XOCHITEPEC,780,308,0,102,29,64,17,0,18,257,,,21,216,,,,,,,62
XOCHITEPEC,781,302,0,145,67,62,6,0,13,407,,,52,326,,,,,,,28
XOCHITEPEC,782,181,0,114,50,77,1,0,3,336,,,33,274,,,,,,,24
XOCHITEPEC,783,375,0,350,78,150,30,0,21,609,,,117,695,,,,,,,64
XOCHITEPEC,784,166,0,200,141,27,91,0,9,258,,,81,449,,,,,,,59
XOCHITEPEC,785,123,0,82,27,48,57,0,3,175,,,19,176,,,,,,,29
XOCHITEPEC*,786,105,0,48,32,4,3,0,5,217,,,0,84,,,,,,,23
XOCHITEPEC,787,262,0,240,93,104,20,0,14,469,,,90,527,,,,,,,82
XOCHITEPEC,788,276,0,106,24,91,7,0,4,345,,,54,275,,,,,,,39
XOCHITEPEC,789,147,0,88,41,40,5,0,5,159,,,51,220,,,,,,,19
XOCHITEPEC,790,186,0,219,78,96,6,0,3,298,,,88,481,,,,,,,51
XOCHITEPEC,791,264,0,287,35,250,13,0,8,309,,,109,681,,,,,,,80
XOCHITEPEC,792,235,0,147,36,208,14,0,11,287,,,54,445,,,,,,,41
XOCHITEPEC,793,138,0,101,25,104,45,0,5,113,,,36,266,,,,,,,26
XOCHITEPEC,794,381,0,301,100,359,34,0,14,417,,,159,919,,,,,,,82
XOCHITEPEC,795,298,0,359,41,204,25,0,12,355,,,63,667,,,,,,,42
XOCHITEPEC,796,287,0,187,77,242,19,0,13,362,,,102,608,,,,,,,43
XOCHITEPEC,797,223,0,244,146,81,171,0,12,365,,,124,595,,,,,,,88
XOCHITEPEC,798,300,0,204,66,26,32,0,11,276,,,110,406,,,,,,,68
YAUTEPEC,799,154,257,329,37,46,15,20,409,0,,,85,497,,,,,,,68
YAUTEPEC,800,165,255,301,18,41,7,16,122,0,,,65,425,,,,,,,46
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
YAUTEPEC,801,165,259,350,18,38,15,16,101,0,,,77,483,,,,,,,59
YAUTEPEC,802,148,262,326,19,28,11,24,99,0,,,73,446,,,,,,,32
YAUTEPEC,803,151,229,222,20,18,15,22,87,0,,,45,305,,,,,,,24
YAUTEPEC,804,139,215,257,41,21,10,11,118,0,,,65,384,,,,,,,54
YAUTEPEC,805,110,211,269,19,38,8,23,150,0,,,74,400,,,,,,,32
YAUTEPEC,806,96,234,213,18,48,8,18,92,0,,,40,319,,,,,,,24
YAUTEPEC,807,84,160,153,5,6,9,12,37,0,,,34,198,,,,,,,20
YAUTEPEC,808,94,196,197,34,28,7,25,66,0,,,43,302,,,,,,,26
YAUTEPEC,809,73,134,222,9,24,4,16,79,0,,,28,288,,,,,,,40
YAUTEPEC,810,174,282,394,30,31,9,17,125,0,,,82,537,,,,,,,35
YAUTEPEC,811,238,423,421,58,46,29,22,194,0,,,124,649,,,,,,,68
YAUTEPEC,812,173,160,303,29,25,8,19,127,0,,,66,423,,,,,,,34
YAUTEPEC,813,118,195,246,17,9,10,23,108,0,,,63,335,,,,,,,50
YAUTEPEC,814,32,94,129,11,11,7,15,49,0,,,39,190,,,,,,,18
YAUTEPEC,815,118,181,162,8,27,9,24,79,0,,,37,234,,,,,,,31
YAUTEPEC,816,174,237,299,25,28,14,17,69,0,,,71,423,,,,,,,56
YAUTEPEC,817,538,658,780,52,85,46,72,304,0,,,216,1133,,,,,,,120
YAUTEPEC,818,235,314,340,19,71,18,32,137,0,,,85,515,,,,,,,85
YAUTEPEC,819,145,221,143,22,4,19,9,32,0,,,31,200,,,,,,,36
YAUTEPEC,820,127,236,143,16,7,17,20,59,0,,,40,206,,,,,,,40
YAUTEPEC,821,92,181,115,7,3,5,6,28,0,,,27,152,,,,,,,33
YAUTEPEC,822,171,280,195,11,10,9,8,72,0,,,40,256,,,,,,,56
YAUTEPEC,823,105,199,170,20,7,14,2,27,0,,,40,237,,,,,,,24
YAUTEPEC,824,142,192,108,13,7,17,6,21,0,,,21,149,,,,,,,33
YAUTEPEC,825,137,200,121,12,4,14,4,22,0,,,38,175,,,,,,,41
YAUTEPEC,826,166,234,99,9,3,11,8,26,0,,,17,128,,,,,,,45
YAUTEPEC,827,150,190,107,6,3,9,1,16,0,,,25,141,,,,,,,31
YAUTEPEC,828,88,237,213,17,25,22,80,40,0,,,56,311,,,,,,,29
YAUTEPEC,829,58,204,193,21,29,14,46,52,0,,,27,270,,,,,,,34
YAUTEPEC,830,145,180,108,28,16,16,68,48,0,,,36,188,,,,,,,42
YAUTEPEC,831,137,309,171,25,21,32,84,52,0,,,104,271,,,,,,,64
YAUTEPEC,832,58,76,39,10,10,7,15,20,0,,,6,65,,,,,,,14
YAUTEPEC,833,119,167,76,13,11,24,35,40,0,,,25,125,,,,,,,31
YAUTEPEC,834,210,393,210,20,44,22,67,58,0,,,46,320,,,,,,,40
YAUTEPEC,835,95,134,66,11,27,16,37,14,0,,,29,133,,,,,,,13
YAUTEPEC,836,140,265,82,15,10,10,22,40,0,,,15,242,,,,,,,51
YAUTEPEC,837,55,173,103,13,12,12,5,20,0,,,0,128,,,,,,,25
YAUTEPEC,838,97,254,109,17,13,22,12,17,0,,,16,155,,,,,,,40
YAUTEPEC,839,153,504,173,18,28,21,27,59,0,,,102,321,,,,,,,54
YAUTEPEC,840,82,307,186,13,10,20,11,31,0,,,43,252,,,,,,,36
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
YAUTEPEC,841,36,115,43,3,12,3,3,8,0,,,14,72,,,,,,,22
YAUTEPEC,842,75,318,149,21,10,12,10,19,0,,,48,228,,,,,,,31
YAUTEPEC,843,175,200,432,29,32,8,13,24,0,,,93,586,,,,,,,31
YAUTEPEC,844,308,409,690,55,59,28,37,67,0,,,167,971,,,,,,,69
YAUTEPEC,845,81,127,107,76,6,58,27,98,0,,,41,230,,,,,,,17
YAUTEPEC,846,78,135,109,24,16,12,52,79,0,,,34,183,,,,,,,23
YAUTEPEC,847,101,118,274,27,14,28,30,41,0,,,66,381,,,,,,,36
YAUTEPEC,848,250,300,131,17,7,15,19,66,0,,,13,168,,,,,,,45
YAUTEPEC,849,77,150,84,17,4,6,12,23,0,,,20,125,,,,,,,23
YECAPIXTLA,850,294,0,247,103,8,584,0,71,283,,,,,13,268,,,,,94
YECAPIXTLA,851,286,0,130,165,3,358,0,79,214,,,,,3,136,,,,,34
YECAPIXTLA,852,510,0,245,243,14,512,0,96,433,,,,,30,289,,,,,74
YECAPIXTLA,853,265,0,158,65,3,323,0,77,115,,,,,10,171,,,,,73
YECAPIXTLA,854,240,0,125,55,6,176,0,44,214,,,,,14,145,,,,,29
YECAPIXTLA,855,332,0,185,169,4,313,0,46,319,,,,,15,204,,,,,32
YECAPIXTLA,856,120,0,63,17,0,991,0,4,59,,,,,1,64,,,,,51
YECAPIXTLA,857,150,0,143,39,4,260,0,21,74,,,,,6,153,,,,,58
YECAPIXTLA,858,203,0,329,54,10,386,0,22,82,,,,,29,368,,,,,85
YECAPIXTLA,859,196,0,285,57,9,312,0,53,115,,,,,29,323,,,,,100
YECAPIXTLA,860,169,0,295,24,13,157,0,7,134,,,,,22,330,,,,,65
YECAPIXTLA,861,164,0,230,24,11,191,0,4,211,,,,,16,257,,,,,80
YECAPIXTLA,862,168,0,248,24,16,205,0,21,170,,,,,27,291,,,,,76
YECAPIXTLA,863,214,0,367,40,28,340,0,23,135,,,,,25,420,,,,,100
YECAPIXTLA,864,198,0,359,30,30,195,0,7,122,,,,,112,510,,,,,103
YECAPIXTLA,865,85,0,144,22,9,129,0,13,74,,,,,20,173,,,,,45
YECAPIXTLA,866,19,0,44,16,3,238,0,6,103,,,,,0,50,,,,,33
YECAPIXTLA,867,127,0,72,32,5,256,0,47,160,,,,,2,79,,,,,46
YECAPIXTLA,868,16,0,29,30,4,167,0,20,13,,,,,4,37,,,,,17
ZACATEPEC,869,73,227,153,43,27,33,0,230,0,,,62,285,,,,,,,37
ZACATEPEC,870,80,149,97,19,18,23,0,183,0,,,35,168,,,,,,,32
ZACATEPEC,871,42,128,50,21,18,12,0,151,0,,,22,111,,,,,,,19
ZACATEPEC,872,39,113,60,9,11,8,0,51,0,,,17,97,,,,,,,20
ZACATEPEC,873,61,303,114,30,104,47,0,310,0,,,52,300,,,,,,,46
ZACATEPEC,874,92,300,138,19,42,18,0,275,0,,,52,251,,,,,,,37
ZACATEPEC,875,74,89,66,3,14,5,0,53,0,,,17,100,,,,,,,8
ZACATEPEC,876,51,189,107,12,43,16,0,177,0,,,29,191,,,,,,,26
ZACATEPEC,877,28,95,44,4,5,2,0,52,0,,,9,62,,,,,,,11
ZACATEPEC,878,23,97,59,7,17,13,0,53,0,,,13,96,,,,,,,11
ZACATEPEC,879,38,266,88,18,74,30,0,165,0,,,30,210,,,,,,,23
ZACATEPEC,880,36,178,77,10,24,10,0,120,0,,,30,141,,,,,,,23
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ZACATEPEC*,881,22,130,76,6,12,39,0,113,0,,,22,116,,,,,,,13
ZACATEPEC,882,42,263,125,22,69,33,0,220,0,,,53,269,,,,,,,18
ZACATEPEC,883,54,221,119,16,68,22,0,184,0,,,46,249,,,,,,,24
ZACATEPEC,884,37,119,77,26,57,27,0,217,0,,,44,204,,,,,,,34
ZACATEPEC,885,68,190,110,41,117,37,0,320,0,,,55,323,,,,,,,29
ZACATEPEC,886,9,41,22,10,41,12,0,58,0,,,12,85,,,,,,,15
ZACATEPEC,887,38,176,83,27,58,35,0,146,0,,,57,225,,,,,,,34
ZACATEPEC,888,69,227,173,21,36,76,0,343,0,,,67,297,,,,,,,46
ZACATEPEC,889,31,135,57,13,26,97,0,175,0,,,20,116,,,,,,,21
ZACATEPEC,890,30,180,119,25,47,77,0,302,0,,,52,243,,,,,,,42
ZACATEPEC,891,54,145,143,20,42,75,0,133,0,,,46,250,,,,,,,34
ZACATEPEC,892,42,156,120,15,48,24,0,125,0,,,39,222,,,,,,,23
ZACATEPEC,893,80,170,105,28,60,92,0,247,0,,,45,238,,,,,,,34
ZACATEPEC,894,83,176,121,17,63,26,0,148,0,,,52,253,,,,,,,27
ZACUALPAN,895,131,261,38,52,6,46,12,137,0,,,22,118,,,,,,,34
ZACUALPAN,896,95,316,37,85,14,70,22,160,0,,,24,160,,,,,,,44
ZACUALPAN,897,91,213,30,81,3,85,13,108,0,,,20,134,,,,,,,27
ZACUALPAN,898,124,234,22,206,9,32,13,159,0,,,44,281,,,,,,,19
ZACUALPAN,899,150,339,36,202,8,55,21,132,0,,,44,290,,,,,,,32
ZACUALPAN,900,290,397,34,173,5,45,28,167,0,,,53,265,,,,,,,26
TEMOAC,901,217,491,64,10,4,150,257,64,0,,,18,96,,,,,,,45
TEMOAC,902,488,262,184,21,7,214,551,100,0,,,28,240,,,,,,,72
TEMOAC,903,106,131,88,7,1,56,93,49,0,,,4,100,,,,,,,19
TEMOAC,904,192,167,68,4,1,198,137,76,0,,,9,82,,,,,,,37
TEMOAC,905,231,328,84,13,3,239,234,50,0,,,19,119,,,,,,,61
TEMOAC,906,378,460,163,7,5,323,434,81,0,,,33,208,,,,,,,60
