MUNICIPIO,SECION,CASILLA,PAN,PRI,PRD,PFCRN,PT,PVEM,VALIDA,No Registrados,Nulos,Total
DUANGO,366,B,34,15,2,0,22,0,73,0,3,76
DUANGO,367,B,4,3,1,0,23,0,31,0,0,31
DUANGO,368,B,26,33,0,0,30,0,89,0,2,91
DUANGO,369,C,86,130,8,1,170,3,398,0,13,411
DUANGO,370,B,8,90,0,0,31,0,129,0,4,133
DUANGO,371,B,116,100,3,0,107,3,329,0,10,339
DUANGO,372,B,49,71,3,0,71,1,195,0,8,203
DUANGO,373,B,25,50,0,0,12,1,88,0,3,91
DUANGO,374,B,39,137,0,2,17,0,195,0,9,204
DUANGO,375,B,4,50,2,0,39,0,95,0,2,97
DUANGO,376,C,66,107,1,4,221,6,405,0,9,414
DUANGO,377,B,56,108,11,1,149,4,329,0,21,350
DUANGO,378,B,57,54,6,0,97,1,215,0,0,215
DUANGO,379,B,27,51,12,2,216,0,308,0,23,331
DUANGO,380,B,40,69,9,8,202,0,328,0,14,342
DUANGO,381,C,116,113,13,2,123,1,368,0,0,368
DUANGO,382,B,78,45,1,0,57,2,183,0,10,193
DUANGO,383,B,123,92,3,1,106,1,326,0,21,347
DUANGO,384,B,49,35,0,1,89,1,175,0,5,180
DUANGO,385,B,44,115,3,0,251,5,418,0,6,424
DUANGO,386,B,30,77,1,1,6,4,119,0,4,123
DUANGO,387,B,26,25,1,1,10,0,63,0,0,63
DUANGO,388,B,17,81,4,2,163,2,269,0,14,283
DUANGO,389,B,62,69,6,3,183,3,326,0,13,339
DUANGO,390,B,25,37,3,1,124,2,192,0,4,196
DUANGO,391,B,68,73,4,0,137,2,284,0,4,288
DUANGO,392,B,57,102,3,0,197,0,359,0,10,369
DUANGO,393,C,43,124,3,7,119,0,296,0,13,309
DUANGO,394,B,77,40,2,4,102,1,226,0,13,239
DUANGO,395,B,87,99,9,0,101,2,298,0,9,307
DUANGO,396,B,17,35,4,3,121,1,181,0,9,190
DUANGO,397,B,56,74,0,1,183,3,317,0,15,332
DUANGO,398,C,131,170,3,1,163,3,471,0,9,480
DUANGO,399,B,157,45,5,3,96,0,306,0,9,315
DUANGO,400,B,73,36,12,1,160,1,283,0,7,290
DUANGO,401,B,51,210,2,0,63,1,327,0,10,337
DUANGO,402,B,93,43,5,0,161,0,302,0,15,317
DUANGO,403,B,99,74,6,1,163,0,343,0,20,363
DUANGO,404,,25,25,1,0,46,0,97,0,2,99
DUANGO,405,B,125,59,5,0,111,0,300,0,7,307
DUANGO,406,B,1,7,0,0,27,0,35,0,0,35
DUANGO,407,B,11,52,0,0,42,0,105,0,2,107
DUANGO,408,B,72,18,0,0,15,0,105,0,4,109
DUANGO,409,C,58,164,5,1,276,3,507,0,11,518
DUANGO,410,C,80,73,15,5,374,9,556,0,53,609
DUANGO,411,C,51,64,20,4,323,1,463,0,10,473
DUANGO,412,B,27,63,12,0,257,1,360,0,15,375
DUANGO,413,B,22,34,8,0,123,1,188,0,6,194
DUANGO,414,B,40,57,15,2,88,1,203,0,0,203
DUANGO,415,B,6,10,0,0,29,0,45,0,0,45
DUANGO,416,B,42,74,0,0,29,0,145,0,4,149
DUANGO,417,B,8,115,0,0,38,0,161,0,2,163
DUANGO,418,B,5,51,0,0,11,0,67,0,1,68
DUANGO,419,B,37,17,1,0,16,0,71,0,3,74
,,,,,,,,,,,,
SIMON BOLIVAR,420,B,26,111,2,1,269,3,412,0,2,414
SIMON BOLIVAR,421,B,1,32,0,0,14,0,47,0,0,47
SIMON BOLIVAR,422,B,3,166,7,7,106,0,289,0,4,293
SIMON BOLIVAR,423,B,1,55,0,0,33,0,89,0,0,89
SIMON BOLIVAR,424,B,3,185,3,6,31,0,228,0,0,228
SIMON BOLIVAR,425,B,8,107,0,0,45,0,160,0,0,160
SIMON BOLIVAR,426,B,11,153,2,2,144,0,312,0,8,320
SIMON BOLIVAR,427,B,40,96,0,0,30,0,166,0,0,166
SIMON BOLIVAR,428,X,5,59,2,0,66,1,133,0,1,134
SIMON BOLIVAR,429,X,11,58,0,0,173,0,242,0,8,250
SIMON BOLIVAR,430,X,0,57,0,0,128,0,185,0,10,195
SIMON BOLIVAR,431,B,4,396,0,1,6,0,407,0,6,413
SIMON BOLIVAR,432,B,1,6,0,7,35,0,49,0,0,49
SIMON BOLIVAR,433,B,1,37,2,1,49,3,93,0,4,97
SIMON BOLIVAR,434,B,1,24,0,12,28,0,65,0,7,72
SIMON BOLIVAR,435,X,10,160,0,192,53,0,415,0,50,465
,,,,,,,,,,,,
GOMEZ PALACIO,436,B,77,48,35,2,3,6,171,0,0,171
GOMEZ PALACIO,437,B,88,38,62,1,7,1,197,0,1,198
GOMEZ PALACIO,438,C,56,109,144,4,9,6,328,0,13,341
GOMEZ PALACIO,439,C,153,138,101,0,21,2,415,0,9,424
GOMEZ PALACIO,440,C,118,95,93,3,16,6,331,0,8,339
GOMEZ PALACIO,441,B,48,53,76,2,6,0,185,0,1,186
GOMEZ PALACIO,442,B,52,71,71,0,10,3,207,0,0,207
GOMEZ PALACIO,443,C,169,150,106,5,37,8,475,0,14,489
GOMEZ PALACIO,444,B,15,24,14,0,2,0,55,0,0,55
GOMEZ PALACIO,445,B,54,29,107,1,8,6,205,0,6,211
GOMEZ PALACIO,446,C,44,68,134,2,8,1,257,1,17,275
GOMEZ PALACIO,447,C,109,53,77,2,7,3,251,2,1,254
GOMEZ PALACIO,448,B,92,71,55,0,1,2,221,0,2,223
