"NÚMERO","SECCIÓN","CAS.","DIFERENCIA ENTRE 1° Y  2° LUGAR","PAN","PRI","PRD","PVEM","PT","MC","MORENA","RSPD","PAN-PRI-PRD","PAN 
PRI","PAN 
PRD","PRI 
PRD","PVEM-PT-RSPD-MOR","PVEM 
PT 
MOR","PVEM 
PT 
RSPD","PVEM 
RSPD 
MOR","PVEM 
PT","PVEM 
MOR","PVEM 
RSPD","PT 
RSPD 
MOR","PT 
MOR","PT 
RSPD","RSPD 
MOR","VA POR DURANGO","JUNTOS HACEMOS HISTORIA","CAND. 
NO REG.","VOTOS 
NULOS","...32","LISTA NOMINAL","...34","...35","...36","...37","municipality","...25","...27","...28","...29","...30","...31","...33","CAND.  
INDEP.","PVEM 
RSPD 
MOR...21","PVEM 
RSPD 
MOR...25","...38","PARTIDO ACCIÓN NACIONAL","PARTIDO REVOLUCIONARIO INSTITUCIONAL","PARTIDO VERDE ECOLOGISTA DE MÉXICO","PARTIDO DEL TRABAJO","CANDIDATURA NO REGISTRADA","VOTOS NULOS","...12","...14","...26","PVEM 
PT 
RSP","PVEM 
RSP 
MOR","PVEM 
RSPD 
MOR...20","PVEM 
RSPD 
MOR...24"
"MUN 07",573,"2",37,10,210,7,5,1,0,181,3,1,7,0,1,1,5,1,0,0,0,0,0,0,0,2,236,199,2,11,448,700,0.64,NA,236,199," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319",574,"B1",60,6,172,3,2,0,3,120,7,5,5,0,2,0,0,0,0,0,1,0,0,2,0,1,193,133,0,5,334,709,0.471086036671368,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320",574,"C1",58,4,194,1,6,2,2,136,5,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,208,150,0,8,368,708,0.519774011299435,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321",574,"C2",23,3,168,2,0,1,4,144,10,4,7,0,0,1,0,0,0,1,0,0,0,1,0,3,184,161,0,4,353,708,0.498587570621469,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",574,"3",141,13,534,6,8,3,9,400,22,12,18,0,2,1,0,0,0,1,2,0,0,3,0,4,585,444,0,17,1055,2125,0.496470588235294,NA,585,444," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322",575,"B1",122,4,56,0,3,0,11,172,3,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,61,183,0,4,259,495,0.523232323232323,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",575,"1",122,4,56,0,3,0,11,172,3,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,61,183,0,4,259,495,0.523232323232323,NA,183,61," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323",576,"B1",2,8,68,4,1,0,1,75,3,1,3,0,0,0,0,0,0,0,2,0,0,0,0,1,84,82,0,2,169,354,0.477401129943503,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",576,"1",2,8,68,4,1,0,1,75,3,1,3,0,0,0,0,0,0,0,2,0,0,0,0,1,84,82,0,2,169,354,0.477401129943503,NA,84,82," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324",577,"B1",54,0,75,0,0,3,5,120,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,129,0,2,211,376,0.561170212765957,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",577,"C1",7,1,89,1,1,1,0,93,4,1,4,0,1,1,0,1,0,0,0,0,0,0,0,3,97,104,0,6,207,375,0.552,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",577,"2",61,1,164,1,1,4,5,213,10,1,4,0,1,1,0,1,0,0,0,0,0,0,0,3,172,233,0,8,418,751,0.55659121171771,NA,233,172," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326",578,"B1",71,6,96,1,12,3,18,153,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,104,175,0,6,303,605,0.500826446280992,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",578,"1",71,6,96,1,12,3,18,153,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,104,175,0,6,303,605,0.500826446280992,NA,175,104," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",579,"B1",58,10,70,4,1,2,6,130,7,0,4,0,0,0,0,0,0,0,0,0,0,4,1,1,88,146,6,2,248,684,0.362573099415205,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328",579,"C1",45,8,77,2,1,5,6,117,8,1,3,0,0,0,0,0,0,1,0,0,1,0,1,2,91,136,5,8,246,683,0.360175695461201,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",579,"2",103,18,147,6,2,7,12,247,15,1,7,0,0,0,0,0,0,1,0,0,1,4,2,3,179,282,11,10,494,1367,0.361375274323336,NA,282,179," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329",580,"B1",25,5,56,2,2,2,2,82,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,64,89,0,3,158,399,0.395989974937343,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330",580,"C1",19,10,68,0,4,2,1,85,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,80,99,1,3,184,399,0.461152882205514,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",580,"2",44,15,124,2,6,4,3,167,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,144,188,1,6,342,798,0.428571428571429,NA,188,144," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",581,"B1",64,14,133,1,4,1,4,74,3,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,150,86,0,4,244,590,0.413559322033898,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332",581,"C1",56,14,130,0,2,7,0,78,4,0,6,0,0,0,0,0,0,1,2,0,0,0,0,0,150,94,2,3,249,590,0.422033898305085,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333",581,"C2",62,17,141,1,12,5,2,78,3,1,5,0,0,1,1,0,0,0,0,0,0,1,0,2,165,103,0,5,275,590,0.466101694915254,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",581,"3",182,45,404,2,18,13,6,230,10,3,11,0,0,1,1,0,0,1,4,0,1,2,0,2,465,283,2,12,768,1770,0.433898305084746,NA,465,283," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334",582,"B1",27,13,112,8,2,0,2,146,8,2,3,0,0,5,0,0,0,0,0,0,0,2,0,2,138,165,2,3,310,583,0.531732418524871,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335",582,"C1",25,7,137,2,2,2,4,159,5,2,3,0,0,4,0,0,0,0,0,0,0,0,0,4,151,176,0,3,334,583,0.572898799313894,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",582,"2",52,20,249,10,4,2,6,305,13,4,6,0,0,9,0,0,0,0,0,0,0,2,0,6,289,341,2,6,644,1166,0.552315608919382,NA,341,289," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336",583,"B1",7,10,160,0,5,1,2,165,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,181,174,1,8,366,711,0.514767932489452,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337",583,"C1",18,21,173,0,2,3,2,162,7,2,1,0,0,0,1,0,0,0,1,0,1,1,0,1,197,179,2,4,384,710,0.540845070422535,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",583,"2",25,31,333,0,7,4,4,327,10,9,5,0,0,0,1,0,0,0,1,0,1,1,0,1,378,353,3,12,750,1421,0.527797325826882,NA,378,353," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338",584,"B1",20,2,139,2,6,2,3,105,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,143,123,9,1,279,459,0.607843137254902,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339",584,"E1",14,25,58,2,0,1,6,69,0,2,1,0,0,1,0,1,0,0,1,0,0,0,1,0,88,74,0,0,168,407,0.412776412776413,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",584,"2",34,27,197,4,6,3,9,174,7,2,1,0,0,1,0,1,0,0,2,0,0,1,1,1,231,197,9,1,447,866,0.516166281755196,NA,231,197," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340",585,"B1",55,12,178,2,2,4,6,134,4,3,7,0,0,0,1,0,1,0,0,0,0,0,0,1,202,147,5,7,367,716,0.512569832402235,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341",585,"C1",47,11,171,5,4,3,6,131,6,4,4,0,0,2,0,0,0,0,0,0,1,0,0,1,195,148,4,3,356,716,0.497206703910615,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342",585,"C2",128,17,215,2,2,4,10,109,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,244,116,1,9,380,716,0.53072625698324,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",585,"3",230,40,564,9,8,11,22,374,10,10,18,0,0,2,2,0,1,0,0,0,1,0,0,2,641,411,10,19,1103,2148,0.513500931098696,NA,641,411," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343",586,"B1",19,1,139,2,0,4,3,148,6,2,2,0,0,1,0,0,0,0,0,0,0,3,0,3,146,165,0,0,314,736,0.426630434782609,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",586,"1",19,1,139,2,0,4,3,148,6,2,2,0,0,1,0,0,0,0,0,0,0,3,0,3,146,165,0,0,314,736,0.426630434782609,NA,165,146," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344",587,"B1",29,3,104,0,0,8,0,123,4,3,1,0,0,0,1,0,0,0,0,0,0,1,0,3,111,140,6,9,266,530,0.50188679245283,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",587,"1",29,3,104,0,0,8,0,123,4,3,1,0,0,0,1,0,0,0,0,0,0,1,0,3,111,140,6,9,266,530,0.50188679245283,NA,140,111," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345",588,"B1",31,5,126,0,3,0,4,93,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,133,102,4,4,247,459,0.538126361655773,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346",588,"C1",36,10,113,3,1,1,3,85,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,130,94,3,9,239,458,0.521834061135371,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347",588,"E1",58,40,161,1,11,4,6,138,5,4,11,0,0,0,0,0,0,0,1,0,0,0,0,0,217,159,1,6,389,710,0.547887323943662,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",588,"3",125,55,400,4,15,5,13,316,13,7,14,0,0,0,0,0,0,0,1,0,0,2,0,3,480,355,8,19,875,1627,0.53779963122311,NA,480,355," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348",589,"B1",6,5,89,25,2,0,2,110,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,122,116,5,5,250,513,0.487329434697856,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349",589,"C1",1,4,77,25,5,2,5,97,3,3,0,1,1,0,0,0,0,0,0,0,0,1,0,2,111,110,7,7,240,512,0.46875,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",589,"2",7,9,166,50,7,2,7,207,5,5,1,1,1,0,0,0,0,0,1,0,0,2,0,2,233,226,12,12,490,1025,0.478048780487805,NA,233,226," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350",590,"B1",50,4,129,11,6,0,2,175,7,1,2,1,0,2,2,0,0,0,1,0,0,1,0,4,148,198,1,0,349,597,0.584589614740369,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351",590,"C1",17,1,144,12,2,2,3,156,3,0,0,0,0,1,2,1,1,0,2,1,0,0,1,2,157,174,3,5,342,596,0.573825503355705,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",590,"2",67,5,273,23,8,2,5,331,10,1,2,1,0,3,4,1,1,0,3,1,0,1,1,6,305,372,4,5,691,1193,0.579212070410729,NA,372,305," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352",591,"B1",9,8,144,10,1,2,2,170,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,168,177,1,7,355,632,0.561708860759494,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353",591,"C1",28,6,158,10,2,1,2,134,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,174,146,0,14,336,632,0.531645569620253,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",591,"2",19,14,302,20,3,3,4,304,7,2,4,0,0,1,0,0,0,0,0,0,0,2,1,2,342,323,1,21,691,1264,0.546677215189873,NA,342,323," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354",592,"B1",9,4,106,29,22,3,1,103,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,142,133,4,2,282,541,0.521256931608133,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355",592,"C1",36,7,120,19,8,1,1,93,3,0,0,0,1,1,0,0,0,0,1,0,1,0,3,0,147,111,2,6,267,541,0.493530499075786,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",592,"2",45,11,226,48,30,4,2,196,6,2,0,0,2,1,0,0,0,0,1,0,1,0,3,2,289,244,6,8,549,1082,0.507393715341959,NA,289,244," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356",593,"B1",83,15,124,1,3,2,1,56,3,0,6,0,2,0,0,0,1,0,0,0,0,0,0,0,148,65,0,3,217,578,0.375432525951557,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",593,"1",83,15,124,1,3,2,1,56,3,0,6,0,2,0,0,0,1,0,0,0,0,0,0,0,148,65,0,3,217,578,0.375432525951557,NA,148,65," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357",594,"B1",52,20,97,4,1,0,2,65,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,123,71,0,6,202,559,0.361359570661896,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358",594,"C1",104,33,159,2,5,0,11,88,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,199,95,1,1,307,558,0.550179211469534,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",594,"2",156,53,256,6,6,0,13,153,3,3,4,0,0,2,0,0,0,0,0,0,0,0,0,2,322,166,1,7,509,1117,0.455684870188004,NA,322,166," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359",595,"B1",30,13,70,2,1,2,5,48,2,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,87,57,1,4,154,432,0.356481481481481,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360",595,"C1",60,11,86,2,2,0,4,38,2,0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,104,44,1,0,153,432,0.354166666666667,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",595,"2",90,24,156,4,3,2,9,86,4,0,6,1,0,3,1,0,0,0,0,0,0,2,0,0,191,101,2,4,307,864,0.355324074074074,NA,191,101," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361",596,"B1",20,20,123,1,0,3,6,122,5,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,151,131,0,7,295,518,0.569498069498069,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",596,"1",20,20,123,1,0,3,6,122,5,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,151,131,0,7,295,518,0.569498069498069,NA,151,131," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362",597,"B1",16,29,152,0,3,2,4,157,10,2,11,0,0,0,0,0,0,0,0,0,0,1,0,5,194,178,2,6,384,667,0.575712143928036,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363",597,"C1",10,36,115,1,1,5,3,152,6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,3,158,168,2,9,340,667,0.509745127436282,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364",597,"C2",7,26,135,0,1,2,7,147,8,4,3,0,0,0,1,0,0,0,1,0,0,1,0,0,168,161,3,7,346,666,0.519519519519519,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",597,"3",13,91,402,1,5,9,14,456,24,7,19,0,0,0,1,0,0,0,1,0,1,2,0,8,520,507,7,22,1070,2000,0.535,NA,520,507," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365",598,"B1",46,9,79,1,1,1,3,43,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,95,49,1,3,151,542,0.27859778597786,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366",598,"C1",48,9,99,3,2,1,5,59,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,113,65,1,0,184,541,0.340110905730129,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367",598,"C2",66,13,91,1,3,0,3,47,1,7,5,0,1,0,0,0,0,0,0,0,0,0,0,1,118,52,0,4,177,541,0.327171903881701,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",598,"3",160,31,269,5,6,2,11,149,5,8,12,0,1,1,0,0,0,0,0,0,0,0,0,3,326,166,2,7,512,1624,0.315270935960591,NA,326,166," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368",600,"B1",58,21,139,1,0,1,2,106,3,1,7,0,1,0,0,0,0,0,1,0,0,0,0,1,170,112,1,3,288,580,0.496551724137931,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369",600,"C1",73,17,120,8,1,7,81,1,3,8,0,0,1,1,0,0,0,1,0,1,0,0,0,0,154,15,0,5,255,579,0.440414507772021,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370",600,"C2",84,16,145,3,0,3,3,83,1,2,6,0,1,0,0,0,0,0,0,0,0,0,0,2,173,89,0,5,270,579,0.466321243523316,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
