CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRD,PRI_PVEM_PD_NVA_ALIANZA,PT,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1043,B,52,44,12,3,6,2,0,119,7,126,218,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1043B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1043,E01,19,58,4,2,1,3,0,87,5,92,130,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1043E1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1044,B,105,67,5,13,25,3,0,218,5,223,402,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1044B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1044,E01,4,28,0,2,15,2,0,51,1,52,121,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1044E1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1045,B,107,85,10,4,21,1,0,228,14,242,510,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1045B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1046,B,83,126,6,9,13,7,3,244,20,267,438,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1046B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1046,C01,81,138,2,9,8,0,1,238,13,252,437,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1046C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1047,B,86,116,11,14,21,11,0,259,15,274,516,Grupo de Recuento,,,
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1048,B,22,85,7,0,9,4,2,127,11,140,238,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1048B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1049,B,72,92,5,1,17,1,0,188,3,191,390,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1049B.pdf
