CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRD,PVEM_PRI_PD_NVA_ALIANZA,PRI,PT,PVEM,MC,PD,NVA_ALIANZA,MORENA,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,10,DURANGO,1,DURANGO,5,DURANGO,136,B,140,,126,13,5,,4,5,10,6,7,,,,,,,1,316,11,328,622,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0136B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,136,C01,151,,112,14,0,,7,4,8,9,0,,,,,,,0,305,31,336,622,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0136C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,136,C02,153,,147,19,3,,0,7,11,10,9,,,,,,,0,359,8,367,621,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0136C2.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,137,B,244,,107,12,3,,1,8,15,6,23,,,,,,,0,419,4,423,647,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0137B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,137,C01,225,,117,12,7,,1,10,17,6,18,,,,,,,0,413,6,419,647,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0137C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,137,C02,220,,91,8,4,,2,11,16,6,21,,,,,,,0,379,11,390,647,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0137C2.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,137,C03,261,,97,15,7,,0,10,15,7,17,,,,,,,0,429,3,432,646,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0137C3.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,138,B,226,,117,16,6,,1,9,11,9,35,,,,,,,3,430,8,441,623,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0138B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,138,C01,243,,124,13,7,,1,6,11,5,0,,,,,,,0,410,5,415,623,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0138C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,138,C02,230,,101,18,7,,1,11,18,2,21,,,,,,,0,409,6,415,623,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0138C2.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,138,SMR01,0,,0,0,0,,0,0,0,0,0,,,,,,,0,0,0,0,0,Grupo de Recuento,,,
1,10,DURANGO,1,DURANGO,5,DURANGO,139,B,273,,120,15,9,,6,21,15,7,35,,,,,,,0,501,8,509,734,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0139B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,139,C01,280,,138,19,10,,2,15,22,3,26,,,,,,,0,515,3,518,733,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0139C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,140,B,208,,104,20,6,,1,6,10,2,9,,,,,,,0,366,12,378,678,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0140B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,140,C01,197,,114,26,5,,1,2,7,5,8,,,,,,,0,365,14,379,677,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0140C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,141,B,223,,97,18,10,,1,5,9,5,15,,,,,,,0,383,8,391,642,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0141B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,141,C01,203,,105,28,12,,3,4,12,6,16,,,,,,,0,389,12,401,641,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0141C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,142,B,193,,77,2,5,,1,2,17,4,17,,,,,,,0,318,3,321,525,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0142B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,142,C01,215,,96,9,6,,1,4,15,1,9,,,,,,,0,356,8,364,525,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0142C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,142,C02,209,,83,5,11,,0,7,9,4,18,,,,,,,0,346,7,353,524,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0142C2.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,152,B,229,,66,2,7,,0,7,11,3,10,,,,,,,0,335,3,338,512,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0152B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,152,C01,206,,90,8,6,,0,7,9,3,17,,,,,,,0,346,0,346,511,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0152C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,152,C02,215,,80,6,7,,2,5,10,6,14,,,,,,,2,345,6,353,511,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0152C2.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,153,B,221,,140,13,4,,1,8,18,3,29,,,,,,,0,437,8,445,709,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0153B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,154,B,214,,88,23,7,,1,5,12,7,13,,,,,,,0,370,9,379,680,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0154B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,154,C01,210,,109,25,7,,1,5,9,4,9,,,,,,,1,379,10,390,679,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0154C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,155,B,211,,65,20,7,,1,5,15,3,13,,,,,,,1,340,6,347,615,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0155B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,155,C01,218,,85,23,3,,3,7,14,7,13,,,,,,,0,373,8,381,614,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0155C1.pdf
