CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,365,B,136,100,3,6,2,9,3,1,0,6,2,7,2,0,0,0,0,0,0,277,8,285,522,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,365,C01,107,112,3,1,1,22,2,3,0,1,1,7,0,0,0,0,0,0,0,260,17,277,522,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,365,C02,111,117,8,4,3,6,3,3,0,2,0,0,0,0,0,0,0,0,0,257,10,267,521,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,366,C01,168,120,2,8,5,20,3,10,0,1,2,4,0,0,0,0,0,0,0,343,7,350,732,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,367,B,110,150,1,10,1,18,6,10,0,3,0,3,0,0,0,0,0,0,0,312,7,319,637,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,367,C01,133,127,5,4,1,25,5,7,0,3,4,3,0,0,0,0,0,0,0,317,3,320,637,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,367,C02,124,165,6,3,2,3,3,8,0,4,0,0,0,0,0,0,0,0,0,318,1,319,637,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,368,B,87,73,3,3,1,10,4,9,0,0,4,0,0,0,0,0,0,0,0,194,8,202,431,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,368,C01,87,98,5,4,0,8,3,3,0,2,1,0,0,0,0,0,0,0,0,211,15,226,430,Acta casilla,,,
1,26,SONORA,9,HERMOSILLO CENTRO,49,HERMOSILLO,369,B,125,157,6,4,3,23,4,10,0,2,2,5,0,0,0,0,0,0,0,341,7,348,658,Acta casilla,,,
1,26,SONORA,9,HERMOSILLO CENTRO,49,HERMOSILLO,369,C01,138,165,6,4,3,26,2,9,0,5,0,3,0,0,0,0,0,0,1,361,5,367,657,Acta casilla,,,
1,26,SONORA,9,HERMOSILLO CENTRO,49,HERMOSILLO,370,B,137,211,3,7,1,18,5,12,0,2,2,4,0,0,0,0,0,0,0,402,7,409,678,Acta casilla,,,
1,26,SONORA,9,HERMOSILLO CENTRO,49,HERMOSILLO,370,C01,131,173,6,5,0,22,3,13,0,2,1,6,0,0,0,0,0,0,0,362,11,373,677,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,371,B,108,113,6,4,4,17,4,6,0,4,2,7,0,0,0,0,0,0,0,275,10,285,509,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,371,C01,94,116,5,6,2,16,4,4,0,2,11,0,0,0,0,0,0,0,0,260,4,264,508,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,372,B,121,140,4,2,3,19,6,8,0,3,2,5,0,0,0,0,0,0,0,313,2,315,598,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,372,C01,143,114,3,1,2,16,4,6,0,2,4,0,0,0,0,0,0,0,0,295,5,300,598,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,373,B,143,159,4,0,10,19,0,13,0,7,0,0,0,0,0,0,0,0,0,355,5,360,701,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,373,C01,137,163,2,7,2,19,2,12,0,3,0,7,0,0,0,0,0,0,1,354,11,366,700,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,374,C01,110,133,9,5,1,5,2,8,0,9,3,4,1,0,0,0,0,0,1,290,5,296,716,Grupo de Recuento,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,374,C02,116,130,8,3,2,15,7,1,0,4,2,1,1,0,0,0,0,0,0,290,6,296,716,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,374,C03,102,116,4,4,0,17,4,3,0,6,5,3,0,0,0,0,0,0,1,264,6,271,716,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,374,C04,84,126,6,5,4,9,4,6,0,8,0,11,0,0,0,0,0,0,0,263,9,272,716,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,374,C05,102,144,4,5,1,13,5,7,0,6,0,3,0,0,0,0,0,0,0,290,5,295,716,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,374,C06,102,142,5,4,1,17,7,3,0,3,3,0,0,0,0,0,0,0,0,287,3,290,716,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,374,C07,108,141,3,6,2,8,5,9,0,4,7,0,0,0,0,0,0,0,0,293,6,299,716,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,374,C08,93,146,6,0,1,13,0,4,0,5,0,0,0,0,0,0,0,0,0,268,3,271,716,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,374,C09,104,141,7,5,2,12,3,6,0,7,2,7,0,0,0,0,0,0,0,296,7,303,716,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,374,C10,108,115,1,5,2,15,2,8,0,6,4,4,0,0,0,0,0,0,0,270,5,275,716,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,374,C11,111,155,2,3,3,13,5,4,0,1,3,9,0,0,0,0,0,0,0,309,0,309,715,Acta casilla,,,
