CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,138,E01,144,72,9,9,64,16,15,8,5,3,1,1,346,9,356,601,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,138,E01C01,132,61,14,8,51,19,12,7,7,4,1,1,316,7,324,600,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,138,E01C02,114,69,6,2,57,16,14,3,11,1,5,0,298,10,308,600,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,139,B,130,84,18,14,36,34,19,18,10,6,4,1,373,7,381,669,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,139,C01,140,91,16,6,35,38,15,15,5,4,6,0,371,7,378,669,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,139,C02,154,85,16,12,39,34,12,16,8,3,2,0,381,7,388,669,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,139,C03,148,76,26,9,32,37,14,21,18,4,4,0,389,9,398,669,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,139,C04,136,86,9,6,43,34,22,12,10,3,3,0,364,15,379,669,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,139,C05,154,74,20,9,43,36,21,16,15,9,5,0,402,9,411,669,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,139,C06,135,74,20,9,47,41,8,23,11,3,2,1,373,10,384,669,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,139,C07,140,92,16,5,34,32,23,11,8,3,1,2,365,9,376,668,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,139,E01,148,99,18,9,35,46,21,11,13,7,3,0,410,12,422,713,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,139,E01C01,163,83,11,6,43,51,19,18,7,6,1,0,408,10,418,713,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,139,E01C02,147,84,12,12,36,46,18,12,8,11,4,0,390,16,406,713,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,139,E01C03,175,89,14,11,27,55,24,14,11,4,1,0,425,17,442,712,Acta Casilla,,,
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,140,B,135,127,5,17,19,33,12,10,11,6,0,0,375,14,389,642,Acta Casilla,,,
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,140,C01,121,126,6,13,25,18,18,6,4,7,0,1,344,17,362,641,Acta Casilla,,,
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,140,C02,127,132,16,18,10,38,14,12,3,9,0,0,379,13,392,641,Acta Casilla,,,
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,140,C03,136,141,9,17,14,21,10,14,5,5,0,0,372,13,385,641,Acta Casilla,,,
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,140,C04,122,142,9,11,13,23,19,9,14,7,0,1,369,16,386,641,Acta Casilla,,,
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,140,C05,125,137,11,12,9,30,18,8,4,6,0,0,360,23,383,641,Acta Casilla,,,
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,141,B,131,127,3,16,12,37,14,9,5,2,0,0,356,14,370,560,Acta Casilla,,,
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,141,C01,112,130,11,20,11,39,17,22,8,2,0,1,372,9,382,560,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,142,B,93,67,11,4,28,24,6,6,3,2,4,1,248,4,253,430,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,142,C01,85,80,10,3,16,22,8,8,5,1,8,0,246,10,256,429,Acta Casilla,,,
