CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2147,4,CUAUHTEMOC,134,3,324,487,44,10,21,20,14,33,12,0,12,0,977,28,1005,1612
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2148,4,CUAUHTEMOC,135,3,408,360,52,11,12,17,8,18,6,0,11,0,903,26,929,1456
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2149,4,CUAUHTEMOC,136,1,175,107,19,8,3,2,0,0,2,0,8,0,324,9,333,467
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2150,4,CUAUHTEMOC,137,2,238,258,106,5,25,5,2,11,2,0,4,0,656,16,672,985
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2151,5,VILLA DE ALVAREZ,138,9,1203,700,119,69,409,186,94,79,55,34,31,5,2979,102,3086,5679
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2152,5,VILLA DE ALVAREZ,139,12,1770,1017,196,108,450,484,216,187,124,63,36,4,4651,128,4783,8202
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2153,5,VILLA DE ALVAREZ,140,6,766,805,56,88,90,163,91,59,41,40,0,2,2199,96,2297,3847
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2154,5,VILLA DE ALVAREZ,141,2,243,257,14,36,23,76,31,31,13,4,0,1,728,23,752,1120
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2155,5,VILLA DE ALVAREZ,142,2,178,147,21,7,44,46,14,14,8,3,12,1,494,14,509,859
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2156,5,VILLA DE ALVAREZ,143,2,282,176,32,17,63,48,33,24,25,11,7,0,718,16,734,1236
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2157,5,VILLA DE ALVAREZ,144,3,399,286,43,22,116,127,45,43,22,14,8,1,1125,42,1168,1836
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2158,5,VILLA DE ALVAREZ,145,13,1654,1605,198,133,223,629,258,216,150,0,30,6,5096,185,5287,8442
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2159,5,VILLA DE ALVAREZ,146,5,692,550,56,65,74,142,59,60,40,25,0,1,1763,54,1818,3506
