SECCION ,DF,DL,MUNICIPIO,PAN,PRI,ALIANZA,PT,PVEM,PCD,PARM,DS,VOTOS NULOS,TOTAL,PADRÓN,LISTANOMINAL
941,9,24,MONTEMORELOS,242,327,9,12,28,0,0,0,30,648,1075,1069
942,9,24,MONTEMORELOS,284,391,15,32,34,0,0,0,14,770,1164,1158
943,9,24,MONTEMORELOS,94,102,1,2,19,0,0,0,4,222,313,311
944,9,24,MONTEMORELOS,277,403,4,22,44,0,0,0,20,770,1163,1153
945,9,24,MONTEMORELOS,199,246,2,20,16,0,0,0,7,490,690,689
946,9,24,MONTEMORELOS,200,360,13,9,30,0,0,0,11,623,981,971
947,9,24,MONTEMORELOS,311,363,13,14,30,0,0,0,16,747,1138,1129
948,9,24,MONTEMORELOS,349,388,1,38,25,0,0,0,34,835,1397,1385
949,9,24,MONTEMORELOS,178,312,10,30,23,0,0,0,21,574,1001,987
950,9,24,MONTEMORELOS,293,298,8,16,23,0,0,0,40,678,1234,1214
951,9,24,MONTEMORELOS,387,442,6,20,33,0,0,0,36,924,1565,1557
952,9,24,MONTEMORELOS,311,267,7,18,12,0,0,0,35,650,1101,1093
953,9,24,MONTEMORELOS,50,120,4,6,0,0,0,0,7,187,249,248
954,9,24,MONTEMORELOS,139,237,3,3,1,0,0,0,16,399,618,598
955,9,24,MONTEMORELOS,0,0,0,0,0,0,0,0,0,0,25,25
956,9,24,MONTEMORELOS,51,99,9,1,1,0,0,0,8,169,339,331
957,9,24,MONTEMORELOS,55,52,2,2,2,0,0,0,1,114,184,179
958,9,24,MONTEMORELOS,210,148,4,6,4,0,0,0,17,389,613,603
959,9,24,MONTEMORELOS,18,49,0,1,0,0,0,0,3,71,109,109
960,9,24,MONTEMORELOS,87,97,5,1,0,0,0,0,10,200,277,276
961,9,24,MONTEMORELOS,177,360,10,6,25,0,0,0,22,600,886,874
962,9,24,MONTEMORELOS,79,143,2,7,1,0,0,0,18,250,382,370
963,9,24,MONTEMORELOS,418,291,7,10,23,0,0,0,29,778,1243,1227
964,9,24,MONTEMORELOS,298,328,5,13,12,0,0,0,20,676,1091,1075
965,9,24,MONTEMORELOS,193,192,4,9,10,0,0,0,19,427,703,688
966,9,24,MONTEMORELOS,70,68,2,2,4,0,0,0,7,153,233,231
967,9,24,MONTEMORELOS,24,63,0,0,1,0,0,0,4,92,134,126
968,9,24,MONTEMORELOS,25,69,1,5,1,0,0,0,4,105,141,140
969,9,24,MONTEMORELOS,113,131,1,6,9,0,0,0,12,272,474,473
970,9,24,MONTEMORELOS,58,44,1,1,3,0,0,0,8,115,217,210
971,9,24,MONTEMORELOS,20,118,0,2,1,0,0,0,6,147,311,297
972,9,24,MONTEMORELOS,63,92,2,2,1,0,0,0,3,163,278,277
973,9,24,MONTEMORELOS,49,126,9,2,1,0,0,0,7,194,346,341
974,9,24,MONTEMORELOS,11,20,0,1,2,0,0,0,3,37,57,57
975,5,3,MONTERREY,250,191,4,49,2,1,1,0,16,514,780,779
976,5,3,MONTERREY,328,372,3,214,4,2,1,0,35,959,1667,1661
977,5,3,MONTERREY,308,309,4,81,2,0,1,0,42,747,1268,1263
978,5,3,MONTERREY,472,310,18,96,3,3,1,0,44,947,1526,1520
979,5,3,MONTERREY,443,336,3,104,3,6,2,0,30,927,1595,1588
980,5,3,MONTERREY,467,282,12,107,3,1,0,0,21,893,1482,1477
981,5,3,MONTERREY,383,264,10,77,1,3,1,0,48,787,1216,1210
982,5,3,MONTERREY,519,299,10,94,9,2,1,0,13,947,1537,1532
983,5,3,MONTERREY,366,384,5,82,2,1,1,0,19,860,1587,1579
984,5,3,MONTERREY,449,279,6,80,1,3,0,0,21,839,1453,1447
985,5,3,MONTERREY,467,302,6,56,2,3,0,0,25,861,1449,1444
986,5,3,MONTERREY,319,230,8,63,2,3,2,0,33,660,1080,1076
987,5,3,MONTERREY,437,258,9,76,2,0,1,0,22,805,1420,1413
988,7,5,MONTERREY,733,232,7,98,1,1,0,0,29,1101,1567,1561
989,7,5,MONTERREY,710,251,8,83,7,3,0,0,30,1092,1587,1583
990,5,3,MONTERREY,408,261,8,47,2,3,0,0,21,750,1091,1085
991,6,5,MONTERREY,501,189,6,82,1,0,0,0,11,790,1136,1123
992,6,5,MONTERREY,492,181,7,53,1,1,0,0,19,754,1042,1028
993,6,5,MONTERREY,498,167,9,66,1,2,1,0,19,763,1052,1050
994,7,5,MONTERREY,364,147,5,55,2,1,1,0,8,583,824,815
995,7,5,MONTERREY,646,273,6,73,1,4,0,0,17,1020,1480,1469
996,7,5,MONTERREY,331,139,4,53,2,1,2,0,15,547,752,748
997,7,5,MONTERREY,272,272,8,70,2,3,0,0,11,638,1009,1002
998,7,5,MONTERREY,284,171,2,52,1,2,0,0,16,528,843,841
999,7,5,MONTERREY,206,187,8,45,1,2,0,0,14,463,753,752
1000,7,5,MONTERREY,314,150,4,61,0,0,1,0,17,547,767,766
1001,7,5,MONTERREY,363,161,3,56,3,0,0,0,25,611,890,887
1002,6,5,MONTERREY,756,239,11,79,3,5,0,0,16,1109,1508,1501
1003,6,3,MONTERREY,656,203,5,85,3,2,0,0,9,963,1253,1241
1004,6,3,MONTERREY,648,219,2,94,2,1,1,0,15,982,1241,1227
1005,6,3,MONTERREY,696,240,7,83,1,7,0,0,17,1051,1458,1443
1006,6,3,MONTERREY,474,240,17,56,2,3,0,0,7,799,1221,1211
1007,6,3,MONTERREY,420,246,13,50,3,8,0,0,33,773,1148,1131
1008,6,3,MONTERREY,360,221,5,50,6,2,0,0,14,658,1063,1049
1009,6,3,MONTERREY,605,197,10,58,3,1,1,0,5,880,1106,1090
