Municipio,Seccion,Tipo Casilla,PAN,PRI_PVEM,PRD,PT_PC,PANAL,VALIDOS,NULOS,TOTAL,ListaNominal,
CAMPECHE,129,C1,103,278,69,20,5,475,25,500,608,
CAMPECHE,130,B,58,175,25,5,8,271,7,278,354,
CAMPECHE,131,B,40,135,5,1,0,181,10,191,223,
CAMPECHE,132,B,41,69,2,1,5,118,3,121,148,
CAMPECHE,133,B,74,268,18,3,3,366,12,378,445,
CAMPECHE,134,B,56,126,2,2,1,187,2,189,231,
CAMPECHE,134,E1,19,40,3,0,1,63,6,69,107,
CAMPECHE,135,B,190,388,19,2,4,603,7,610,730,
CAMPECHE,136,B,46,90,1,2,0,139,2,141,167,
CAMPECHE,137,B,46,92,3,2,0,143,3,146,181,
CAMPECHE,138,B,35,249,49,2,1,336,9,345,447,
CAMPECHE,139,B,100,180,41,14,4,339,22,361,643,
,,,,,,,,,,,,
CAMPECHE,139,C1,124,159,44,8,1,336,12,348,617,
CAMPECHE,139,C2,127,174,59,7,10,377,23,400,617,
CAMPECHE,139,C3,137,112,54,15,5,323,15,338,616,
CAMPECHE,140,B,111,148,24,10,2,295,8,303,455,
CAMPECHE,140,C1,89,166,16,9,1,281,10,291,454,
CAMPECHE,141,B,89,167,23,11,5,295,9,304,453,
CAMPECHE,141,C1,88,141,25,5,8,267,10,277,452,
CAMPECHE,142,B,159,190,51,4,3,407,13,420,568,
CAMPECHE,142,C1,155,159,28,4,6,352,21,373,568,
CAMPECHE,142,C2,124,213,52,3,6,398,12,410,567,
CAMPECHE,142,C3,142,139,36,6,19,342,41,383,567,
CAMPECHE,143,B,63,133,21,2,0,219,7,226,301,
CAMPECHE,144,B,48,104,2,1,0,155,5,160,196,
CAMPECHE,145,B,65,148,15,33,11,232,11,243,392,
CAMPECHE,145,C1,80,142,15,3,5,245,8,253,391,
CAMPECHE,146,B,77,232,30,7,1,347,5,352,408,
,,,,,,,,,,,,
CALKINÍ,147,B,125,258,39,41,42,505,26,531,682,
CALKINÍ,147,C1,110,314,19,34,43,520,21,541,681,
CALKINÍ,148,B,65,218,21,38,34,376,15,391,515,
CALKINÍ,148,C1,103,202,14,27,39,385,9,394,515,
CALKINÍ,149,B,82,266,12,25,41,426,15,441,517,
CALKINÍ,149,C1,82,232,14,35,26,389,20,409,516,
CALKINÍ,150,B,54,162,15,15,44,290,16,306,377,
CALKINÍ,150,C1,69,167,5,25,24,290,8,298,377,
CALKINÍ,151,B,108,351,20,57,61,597,16,613,745,
CALKINÍ,151,S,3,9,0,2,4,18,0,18,250,
CALKINÍ,152,B,76,232,12,24,29,373,17,390,504,
CALKINÍ,152,C1,72,246,13,18,42,391,17,408,503,
CALKINÍ,153,B,67,220,19,22,36,364,17,381,485,
CALKINÍ,153,C1,80,203,77,33,54,377,16,393,484,
CALKINÍ,154,B,107,295,17,34,81,534,14,548,737,
CALKINÍ,154,C1,95,308,12,34,63,512,18,530,736,
CALKINÍ,155,B,57,286,21,42,52,458,7,465,608,
CALKINÍ,155,C1,81,260,25,24,68,458,19,477,608,
CALKINÍ,156,B,65,163,9,19,13,269,11,280,381,
CALKINÍ,156,C1,67,147,7,16,21,258,17,275,381,
CALKINÍ,157,B,73,383,23,13,21,513,15,528,632,
CALKINÍ,158,B,82,468,20,24,41,635,24,659,741,
CALKINÍ,159,B,83,175,6,8,19,291,4,295,379,
CALKINÍ,159,C1,72,165,8,3,30,278,12,290,379,
CALKINÍ,160,B,185,299,18,18,46,566,20,586,730,
CALKINÍ,161,B,90,171,8,11,19,299,9,308,407,
CALKINÍ,161,C1,99,145,6,16,24,290,10,300,406,
CALKINÍ,162,B,141,172,13,3,19,348,2,350,429,
CALKINÍ,162,C1,132,165,15,14,14,340,0,340,429,
CALKINÍ,163,B,117,171,5,10,7,310,13,323,387,
CALKINÍ,163,C1,113,185,4,3,10,315,7,322,386,
CALKINÍ,164,B,68,208,7,16,14,313,10,323,391,
CALKINÍ,164,C1,70,192,9,18,10,299,10,309,391,
CALKINÍ,165,B,3,215,0,4,0,222,2,224,238,
CALKINÍ,166,B,182,317,3,2,23,527,11,538,609,
,,,,,,,,,,,,
CALKINÍ,166,C1,223,289,11,0,10,533,5,538,609,
CALKINÍ,166,C2,184,322,2,4,18,530,4,534,608,
CALKINÍ,167,B,155,292,0,1,15,463,7,470,527,
CALKINÍ,167,C1,167,281,2,3,9,462,6,468,527,
CALKINÍ,168,B,199,288,4,5,7,503,8,511,575,
CALKINÍ,168,C1,176,292,0,9,7,484,15,499,574,
CALKINÍ,169,B,179,327,17,5,25,553,19,572,686,
CALKINÍ,169,C1,145,344,17,16,37,559,11,570,685,
CALKINÍ,170,B,119,189,14,23,13,358,5,363,421,
CALKINÍ,170,C1,105,221,5,17,9,357,30,387,420,
CALKINÍ,171,B,101,397,7,8,12,525,16,541,611,
CALKINÍ,172,B,113,273,9,20,9,424,21,445,600,
CALKINÍ,172,C1,104,309,8,28,1,450,12,462,600,
CALKINÍ,173,B,91,202,20,47,65,425,16,441,544,
CALKINÍ,173,C1,75,193,15,52,36,371,23,394,544,
CALKINÍ,173,C2,62,169,26,59,80,396,12,408,543,
CALKINÍ,174,B,58,225,21,56,46,406,24,430,556,
CALKINÍ,174,C1,44,211,13,69,42,379,24,403,555,
CALKINÍ,175,B,85,207,14,67,73,446,11,457,602,
CALKINÍ,175,C1,73,235,17,66,39,430,17,447,601,
CALKINÍ,175,C2,74,189,10,74,48,395,33,428,601,
CALKINÍ,176,B,82,249,8,63,29,431,21,452,598,
CALKINÍ,176,C1,83,241,9,54,15,402,23,425,597,
CALKINÍ,176,C2,97,212,17,53,31,410,20,430,597,
CALKINÍ,177,B,90,206,13,47,34,390,14,404,524,
CALKINÍ,177,C1,77,203,10,60,36,386,16,402,524,
CALKINÍ,177,C2,67,194,19,79,43,402,9,411,524,
CALKINÍ,178,B,57,154,7,4,4,226,12,238,292,
CALKINÍ,179,B,106,377,6,2,5,496,14,510,590,
CALKINÍ,179,C1,132,334,11,8,6,491,18,509,589,
CALKINÍ,180,B,210,243,5,12,22,492,12,504,574,
CALKINÍ,180,C1,193,266,10,9,2,480,12,492,573,
CALKINÍ,180,C2,152,289,15,4,18,478,13,491,573,
