ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PVEM,MC,PUP,NA,MORENA,PSD,PMR,PAN_PRD_MC,PRI_PVEM_NA,PT_MORENA_ES,C_COMUN_PAN_PRD_MC,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,C_COMUN_PRD_MC,C_COMUN_PRD_MC_PUP,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,8,ASUNCION OCOTLAN,3,5,,303,292,,,565,,,,74,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1,111,1587,2517,
20,OAXACA,17,CIENEGA DE ZIMATLAN,2,4,,786,8,,,,,,,787,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811,0,58,1869,2405,
20,OAXACA,67,OCOTLAN DE MORELOS,15,30,,,,,,,,,1781,650,893,4561,,,,,,,,,,,,,,,,,,,,,,,3578,,,,,,,,11463,0,493,11956,16219,
20,OAXACA,100,SAN ANTONINO CASTILLO VELASCO,4,8,,843,,,,,,721,81,81,,894,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,2769,0,111,2880,4246,
20,OAXACA,293,SAN PABLO HUIXTEPEC,6,12,,,,,,,,,161,644,1924,1851,,,,,,,,,,,,,,,,,,,,,,,,748,,,,,,,5328,0,202,5530,7256,
20,OAXACA,360,SANTA ANA ZEGACHE,2,5,,26,,,,,,3,,1288,,190,,,,,558,,,,,,,,,,,,,,,,,,,,,,,,,,2065,0,95,2160,2933,
20,OAXACA,388,SANTA GERTRUDIS,3,5,,,,,,,,,,82,,565,,654,,,,,,,,,,,,,,,,,,,,,,,457,,,,,,1758,0,56,1814,2438,
20,OAXACA,555,TRINIDAD ZAACHILA,2,5,,,2,,,,,2,55,793,,242,,,,535,,,,,,,,,,,,,,,,,,,,,,,,,,,1629,0,66,1695,2362,
20,OAXACA,570,ZIMATLAN DE ALVAREZ,13,27,,,258,,94,,,1556,,5695,,2686,,,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,10714,3,514,11231,15244,
20,OAXACA,109,SAN BALTAZAR CHICHICAPAM,2,4,,,,,,,,2,5,55,783,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867,0,80,1947,2233,
20,OAXACA,296,SAN PABLO VILLA DE MITLA,8,17,,2859,3304,,12,27,,12,26,247,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6772,0,364,7136,9065,
20,OAXACA,550,TLACOLULA DE MATAMOROS,10,32,,,,,252,,,56,382,2440,2583,5170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10883,6,334,11223,18666,
20,OAXACA,51,MAGDALENA TEQUISISTLAN,6,11,,,,,1500,,,51,349,748,1026,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4364,0,156,4520,5457,
20,OAXACA,52,MAGDALENA TLACOTEPEC,1,2,,,,,559,,,,344,2,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,0,21,961,1083,
20,OAXACA,305,SAN PEDRO HUAMELULA,7,15,,,,,1659,,,279,370,280,925,1482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4995,0,203,5198,7183,
20,OAXACA,419,SANTA MARIA JALAPA DEL MARQUES,7,16,,,1832,,237,,,262,,91,,2117,,,,2234,,,,,,,,,,,,,,,,,,,,,,,,,,,6773,0,220,6993,9143,
20,OAXACA,422,SANTA MARIA MIXTEQUILLA,3,6,,,153,,418,,,,,958,,846,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,2705,0,90,2795,3453,
20,OAXACA,473,SANTIAGO LAOLLAGA,3,6,,,,,155,,,,,12,1154,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2315,1,36,2352,2801,
20,OAXACA,507,SANTO DOMINGO CHIHUITAN,1,2,,13,,,312,,,,,9,,261,,,,,437,,,,,,,,,,,,,,,,,,,,,,,,,,1032,0,27,1059,1302,
20,OAXACA,513,SANTO DOMINGO PETAPA,9,14,,,,,5,1495,,,,95,,1855,,,1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,5122,0,52,5174,6273,
20,OAXACA,515,SANTO DOMINGO TEHUANTEPEC,30,87,,,1019,,,,,35,360,11592,,13938,,,,5296,,,,,,,,,,,,,,,,,,,,,,641,,,,,32881,4,1133,34018,48095,
20,OAXACA,6,ASUNCION IXTALTEPEC,14,26,,,,,,16,,,,175,,3582,,,5321,,,,,,,,,,,,,,,,,,,,,,,,,,,,9094,0,190,9284,11914,
20,OAXACA,41,CIUDAD IXTEPEC,18,40,,,,,43,,,12,43,284,5256,7643,,,,,,,,,,,,,,,,,,,,,,,,,,,728,,,,14009,7,410,14426,21064,
20,OAXACA,76,SALINA CRUZ,41,107,,,,,333,4295,,31,196,6540,,15347,,,9927,,,,,,,,,,,,,,,,,,,,,,,,,828,657,927,39081,10,1134,40225,63468,
20,OAXACA,121,SAN BLAS ATEMPA,6,23,,,,,139,,,12,,2119,,5742,,3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11216,0,253,11469,14211,
20,OAXACA,303,SAN PEDRO COMITANCILLO,2,5,,,,,408,,,,,869,387,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2688,0,63,2751,3505,
20,OAXACA,306,SAN PEDRO HUILOTEPEC,1,4,,,,,79,,,205,,546,640,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581,6,86,1673,2357,
20,OAXACA,442,SANTA MARIA XADANI,4,10,,,,283,8,,,,,,2457,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5048,0,26,5074,6149,
20,OAXACA,30,EL ESPINAL,7,14,,,,,,,,,,,,2727,,1028,,,,,1555,,,,,,,,,,,,,,,,,,,,,,,,5310,1,66,5377,6789,
20,OAXACA,43,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,49,123,,,,,217,,,5987,,1824,12907,23946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44881,8,1451,46340,70445,
20,OAXACA,127,SAN DIONISIO DEL MAR,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3893,
20,OAXACA,138,SAN FRANCISCO DEL MAR,5,11,,2035,,,1306,,,,,7,,1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4586,0,30,4616,5858,
