ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,78,SAN SIMON DE GUERRERO,4,9,21,1528,2134,19,4,20,,358,23,,,,,,,,,,,,,,,,,,,,4107,0,79,4186,4938,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M078.pdf
15,MEXICO,79,SANTO TOMAS,10,19,801,1951,1322,58,808,50,66,240,10,19,,,,,,,,,,,,,,,,,,,5325,1,192,5518,7024,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M079.pdf
15,MEXICO,80,SOYANIQUILPAN DE JUAREZ,7,19,4359,661,45,124,20,34,2008,1154,60,22,,,,,,,,,,,,,,,,,,,8487,0,156,8643,10207,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M080.pdf
15,MEXICO,81,SULTEPEC,23,40,2708,6536,867,167,85,197,,2355,126,50,,,,,,,,,,,,,,,,,,,13091,2,694,13787,19349,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M081.pdf
15,MEXICO,82,TECAMAC,157,504,19624,64821,3858,9606,3131,2089,4542,95606,3529,2193,,,,,,,,,,2955,,,,,,,,,211954,370,8010,220334,322728,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M082.pdf
15,MEXICO,83,TEJUPILCO,44,104,1341,11870,7294,1055,178,348,1012,12511,427,366,,,,,,,,,,,,,,,,,,,36402,24,1531,37957,55886,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M083.pdf
15,MEXICO,84,TEMAMATLA,5,16,239,950,138,109,104,1365,2188,1135,124,286,,,,,,,,,,,,,,,,,,,6638,2,155,6795,9877,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M084.pdf
15,MEXICO,85,TEMASCALAPA,15,45,8736,4332,348,510,66,260,118,5807,218,62,,,,,,,,,,,,,,,,,,,20457,6,493,20956,28256,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M085.pdf
15,MEXICO,86,TEMASCALCINGO,34,88,897,7170,1116,499,10082,349,587,10261,1069,1545,,,,,,,,,,,,,,,,,,,33575,7,1591,35173,48037,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M086.pdf
15,MEXICO,87,TEMASCALTEPEC,23,47,3816,4262,571,498,2595,156,139,5401,185,,,,,,,,,,,,,,,,,,,,17623,2,481,18106,23868,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M087.pdf
15,MEXICO,88,TEMOAYA,26,109,5281,9085,1275,2850,4647,4326,796,12659,879,951,,,,,,,,,,,,,,,,,,,42749,11,1640,44400,66560,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M088.pdf
15,MEXICO,89,TENANCINGO,36,113,5847,9111,810,1230,5069,591,1956,9241,602,4468,,,,,,,,,,,5285,,,,,,,,44210,44,1538,45792,69404,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M089.pdf
15,MEXICO,90,TENANGO DEL AIRE,5,13,286,1283,47,166,2801,40,24,1528,199,19,,,,,,,,,,,,,,,,,,,6393,1,131,6525,8305,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M090.pdf
15,MEXICO,91,TENANGO DEL VALLE,27,91,2050,5961,5562,6467,820,504,1012,14796,822,347,,,,,,,,,,,,,,,,,,,38341,41,1063,39445,59014,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M091.pdf
15,MEXICO,92,TEOLOYUCAN,25,95,9956,7846,1496,801,1639,893,1203,16163,741,279,,,,,,,,,,,,,,,,,,,41017,16,934,41967,62655,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M092.pdf
15,MEXICO,93,TEOTIHUACAN,23,73,1860,7796,5035,831,1091,318,621,8549,511,3074,,,,,,,,,,,,,,,,,,,29686,628,815,31129,44310,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M093.pdf
15,MEXICO,94,TEPETLAOXTOC,11,36,909,4230,227,323,1202,153,822,4920,194,2335,,,,,,,,,,,,,,,,,,,15315,4,370,15689,21489,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M094.pdf
15,MEXICO,95,TEPETLIXPA,8,21,144,1591,81,214,3796,205,118,3072,126,298,,,,,,,,,,,,,,,,,,,9645,1,339,9985,14030,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M095.pdf
15,MEXICO,96,TEPOTZOTLAN,24,90,2860,6477,844,618,4113,11077,1971,9814,610,557,,,,,,,,,,,,,,,,,,,38941,26,905,39872,57778,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M096.pdf
15,MEXICO,97,TEQUIXQUIAC,13,42,831,3267,278,216,143,3619,6701,4059,133,,,,,,,,,,,,,,,,,,,,19247,6,507,19760,26598,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M097.pdf
15,MEXICO,98,TEXCALTITLAN,8,23,165,2092,3877,97,2324,45,176,897,44,18,,,,,,,,,,,,,,,,,,,9735,8,417,10160,12979,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M098.pdf
15,MEXICO,99,TEXCALYACAC,2,6,18,761,362,19,694,6,538,196,292,327,,,,,,,,,,,,,,,,,,,3213,21,171,3405,4139,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M099.pdf
15,MEXICO,100,TEXCOCO,80,306,5777,17111,4543,2495,22760,1711,2669,64093,2319,1904,,,,,,,,,,,,,,,,,,,125382,59,3473,128914,195151,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M100.pdf
