SECCION,TIPO,PRI,PAN,PRD,PT,PVEM,Partido Democrata,PSN,PC,PAS,PCDT,PJS,Nulos,NUM_MUN,MUNICIPIO
29,B,41,108,98,6,13,,,,,5,4,7,3,APIZACO
29,C,49,93,95,15,6,,,,,12,4,11,3,APIZACO
29,DC,61,68,116,16,8,,,,,6,6,9,3,APIZACO
30,B,45,74,115,17,11,,,,,11,2,11,3,APIZACO
30,C,31,87,140,12,11,,,,,12,4,8,3,APIZACO
30,DC,55,83,138,10,5,,,,,10,1,4,3,APIZACO
31,B,43,88,111,21,11,,,,,15,2,7,3,APIZACO
31,C,37,97,122,29,10,,,,,7,1,11,3,APIZACO
31,DC,33,85,133,19,6,,,,,9,0,10,3,APIZACO
32,B,30,73,108,25,8,,,,,4,2,14,3,APIZACO
32,C,35,57,118,17,2,,,,,4,2,8,3,APIZACO
32,DC,33,33,102,31,9,,,,,13,4,10,3,APIZACO
33,B,45,71,86,14,7,,,,,9,2,7,3,APIZACO
33,C,46,47,99,10,8,,,,,7,3,7,3,APIZACO
33,DC,40,70,87,7,15,,,,,10,4,5,3,APIZACO
34,B,74,96,153,20,6,,,,,8,2,4,3,APIZACO
34,C,72,71,144,23,4,,,,,13,0,9,3,APIZACO
35,B,37,52,98,14,6,,,,,11,4,5,3,APIZACO
35,C,41,63,96,19,9,,,,,16,5,13,3,APIZACO
36,B,49,94,141,20,8,,,,,23,1,12,3,APIZACO
36,C,56,72,160,17,16,,,,,24,1,15,3,APIZACO
37,B,68,70,144,11,11,,,,,13,0,13,3,APIZACO
37,C,46,63,140,14,11,,,,,21,3,0,3,APIZACO
38,B,7,142,165,43,6,,,,,23,6,23,3,APIZACO
39,B,46,188,128,33,14,,,,,3,10,23,3,APIZACO
40,B,25,131,136,23,10,,,,,10,2,13,3,APIZACO
40,C,31,112,116,37,10,,,,,23,1,13,3,APIZACO
40,DC,30,77,122,61,5,,,,,16,3,26,3,APIZACO
41,B,40,80,168,62,2,,,,,16,3,10,3,APIZACO
41,C,27,76,138,51,9,,,,,20,2,23,3,APIZACO
41,DC,29,56,121,74,11,,,,,41,1,28,3,APIZACO
42,B,17,43,55,5,3,,,,,3,0,0,3,APIZACO
43,B,67,111,113,21,10,,,,,3,2,30,3,APIZACO
43,C,59,107,156,12,17,,,,,5,0,8,3,APIZACO
44,B,54,85,129,20,12,,,,,4,0,16,3,APIZACO
44,C,47,89,134,11,9,,,,,9,2,31,3,APIZACO
45,B,18,35,43,2,3,,,,,2,2,10,3,APIZACO
46,B,18,34,146,33,6,,,,,12,2,15,3,APIZACO
46,C,43,82,92,30,4,,,,,13,6,13,3,APIZACO
47,B,28,83,86,17,5,,,,,10,6,9,3,APIZACO
47,C,25,94,83,15,3,,,,,11,2,11,3,APIZACO
48,B,25,108,85,6,14,,,,,7,2,0,3,APIZACO
49,B,77,87,174,5,,,,,,0,,12,4,ATLANGATEPEC
50,B,21,41,92,1,,,,,,0,,0,4,ATLANGATEPEC
51,B,34,18,101,1,,,,,,1,,13,4,ATLANGATEPEC
52,B,6,13,25,0,,,,,,0,,0,4,ATLANGATEPEC
53,B,103,47,108,3,,,,,,1,,6,4,ATLANGATEPEC
53,C,92,49,128,6,,,,,,0,,11,4,ATLANGATEPEC
54,B,82,90,19,1,,,,,,0,,4,4,ATLANGATEPEC
55,B,61,67,35,0,,,,,,0,,4,4,ATLANGATEPEC
56,B,56,435,47,3,,,,,,1,,18,4,ATLANGATEPEC
57,B,47,67,21,1,,,,,,0,,7,4,ATLANGATEPEC
58,B,0,9,5,0,,,,,,0,,0,4,ATLANGATEPEC
59,B,100,110,32,3,,,,8,,6,0,11,5,ALTZAYANCA
59,C,84,97,24,4,,,,11,,0,0,15,5,ALTZAYANCA
