CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT,PAN_PRD,PAN_PT,PRD_PT,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND19,CAND_IND23,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1809,C01,38,52,7,6,1,24,2,,4,0,1,0,0,0,0,1,0,0,3,11,0,150,7,157,460,GRUPO DE RECUENTO,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1810,B,43,27,5,5,1,14,1,,0,1,1,0,0,0,1,0,0,1,3,12,0,115,2,117,392,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1810,C01,42,47,6,0,0,13,3,,1,0,0,0,0,0,0,0,0,4,3,5,2,126,4,130,392,GRUPO DE RECUENTO,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1811,B,36,41,11,13,5,31,4,,2,1,0,1,0,1,0,0,0,4,5,12,2,169,5,174,543,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1812,B,25,41,2,8,6,37,1,,0,3,1,0,1,1,1,0,0,1,8,15,2,153,4,157,555,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1813,B,42,46,8,4,0,22,2,,2,4,0,0,0,1,0,0,0,4,3,22,0,160,10,170,561,GRUPO DE RECUENTO,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1814,B,9,16,0,2,0,11,1,,0,0,0,0,0,0,0,0,0,1,5,9,0,54,1,55,214,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1815,S01,10,98,5,9,3,8,3,,9,0,0,0,0,1,0,0,0,4,8,5,0,163,3,166,,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1815,B,21,41,1,4,1,11,4,,3,0,0,0,0,0,1,0,0,1,11,8,0,107,11,118,383,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1816,B,43,32,3,2,5,17,1,,5,1,2,0,0,0,1,0,0,0,3,6,0,121,0,121,311,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1817,B,57,29,6,6,15,17,5,,10,3,1,0,1,2,1,1,0,1,6,12,0,173,6,179,518,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1818,B,64,57,3,8,2,12,3,,4,2,0,0,0,0,0,0,0,2,4,16,0,177,0,177,460,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
