CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1078,2,214,107,6,26,1,284,16,19,10,28,9,,2,720,26,748,1175
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1079,1,88,80,7,23,4,146,7,10,12,25,8,,0,410,15,425,768
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1080,1,52,60,4,11,6,166,9,8,5,8,3,,0,332,21,353,702
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1081,2,62,66,14,14,7,199,12,10,6,16,8,,0,414,7,421,861
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1082,2,47,139,8,19,7,232,20,12,8,14,8,,3,514,13,530,1021
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1083,2,79,118,9,16,7,225,12,13,6,10,5,,0,500,15,515,929
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1084,1,46,94,7,22,10,152,21,7,3,17,7,,0,386,10,396,735
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1085,2,92,92,16,11,2,167,11,11,8,19,15,,0,444,14,458,796
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1086,2,100,101,17,22,8,269,20,12,16,17,7,,0,589,24,613,1271
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1161,2,180,96,10,7,4,248,8,17,4,22,3,,2,599,25,626,1109
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1162,2,262,102,10,11,0,248,13,13,7,25,2,,2,693,20,715,1173
