CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,27,TABASCO,2,CARDENAS,2,CARDENAS,161,2,11,27,139,16,12,3,564,5,2,0,1,1,7,1,1,1,5,796,0,23,819,1169
,27,TABASCO,2,CARDENAS,2,CARDENAS,162,5,41,79,398,32,37,6,1237,26,4,2,2,7,14,8,7,7,27,1934,4,62,2000,3399
,27,TABASCO,2,CARDENAS,2,CARDENAS,164,2,30,45,258,4,20,2,479,1,14,4,2,8,7,3,0,1,19,897,7,39,943,1308
,27,TABASCO,2,CARDENAS,2,CARDENAS,165,3,11,94,253,17,18,10,728,9,4,3,2,3,27,14,2,7,19,1221,0,61,1282,1981
,27,TABASCO,2,CARDENAS,2,CARDENAS,166,3,19,27,271,23,17,1,656,14,1,0,0,4,10,4,4,0,3,1054,3,43,1100,1726
,27,TABASCO,3,CARDENAS,2,CARDENAS,90,2,6,39,168,20,10,8,245,222,3,2,0,0,5,10,3,0,1,742,2,182,926,1232
,27,TABASCO,3,CARDENAS,2,CARDENAS,91,2,13,50,267,11,13,5,494,2,4,5,0,0,1,5,0,0,3,873,0,33,906,1222
,27,TABASCO,3,CARDENAS,2,CARDENAS,92,2,13,90,178,24,16,7,586,6,0,3,0,0,10,2,0,3,1,939,1,29,969,1466
,27,TABASCO,3,CARDENAS,2,CARDENAS,93,3,16,104,150,7,23,3,569,2,5,0,0,1,10,3,0,2,10,905,0,66,971,1144
,27,TABASCO,3,CARDENAS,2,CARDENAS,94,2,13,96,59,9,14,4,268,5,1,1,0,0,5,4,1,2,3,485,0,30,515,765
,27,TABASCO,3,CARDENAS,2,CARDENAS,95,2,25,65,229,11,24,5,402,3,3,2,1,2,1,10,2,2,2,789,0,83,872,1344
,27,TABASCO,3,CARDENAS,2,CARDENAS,96,2,5,87,93,11,5,2,265,3,2,3,0,3,1,0,0,3,0,483,0,31,514,751
,27,TABASCO,3,CARDENAS,2,CARDENAS,97,2,1,90,160,8,11,5,364,5,0,2,0,3,6,2,0,2,3,662,0,17,679,989
,27,TABASCO,3,CARDENAS,2,CARDENAS,98,2,6,72,238,15,16,4,593,4,5,0,0,4,4,6,0,1,0,968,2,33,1003,1452
,27,TABASCO,3,CARDENAS,2,CARDENAS,99,3,13,119,224,28,23,15,575,5,5,2,0,1,6,7,1,3,2,1029,0,58,1087,1580
,27,TABASCO,3,CARDENAS,2,CARDENAS,100,3,10,108,255,15,15,9,780,7,1,2,0,0,10,2,0,2,3,1219,0,49,1268,1929
,27,TABASCO,3,CARDENAS,2,CARDENAS,103,3,3,103,260,24,16,16,579,6,2,2,0,1,1,1,0,0,0,1014,0,49,1063,1502
,27,TABASCO,3,CARDENAS,2,CARDENAS,104,2,6,42,122,15,3,1,425,5,0,0,0,0,10,0,0,0,0,629,0,18,647,966
,27,TABASCO,3,CARDENAS,2,CARDENAS,105,2,13,118,169,18,55,16,438,7,0,0,1,3,4,0,0,4,2,848,0,40,888,1449
