CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,749,3,10,68,178,11,23,18,6,392,19,1,1,0,4,,,,,,20,,,,751,0,53,804,1251
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,750,1,6,19,114,2,10,6,3,279,4,0,0,0,0,,,,,,6,,,,449,0,0,449,661
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,751,2,2,27,136,0,7,3,0,213,1,2,2,0,1,,,,,,4,,,,398,1,20,419,542
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,752,2,6,110,179,3,9,5,6,253,0,0,0,0,0,,,,,,4,,,,575,2,26,603,796
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,753,1,2,38,64,1,7,2,1,145,2,3,1,0,0,,,,,,3,,,,269,0,23,292,416
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,754,2,4,88,103,15,4,6,4,235,9,2,1,0,0,,,,,,1,,,,472,0,29,501,678
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,755,2,7,22,109,3,8,3,8,219,2,4,0,0,1,,,,,,3,,,,389,0,32,421,582
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,756,2,4,140,147,3,11,6,5,270,24,1,1,0,0,,,,,,5,,,,617,0,41,658,905
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,757,3,7,122,263,33,22,10,7,509,15,2,1,0,0,,,,,,2,,,,993,2,93,1088,1707
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,758,2,8,60,195,7,9,0,8,256,3,2,2,2,2,,,,,,4,,,,558,0,36,594,841
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,759,2,6,118,201,8,10,5,7,297,71,2,1,0,3,,,,,,11,,,,740,1,75,816,1264
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,760,3,8,131,240,27,22,17,7,512,3,2,4,1,3,,,,,,15,,,,992,0,60,1052,1584
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,761,1,1,29,115,0,3,3,1,60,1,0,3,0,0,,,,,,0,,,,216,0,17,233,309
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,762,1,2,19,89,2,5,1,0,83,2,3,2,0,0,,,,,,0,,,,208,0,3,211,312
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,763,2,1,25,108,4,2,2,3,110,1,2,0,0,3,,,,,,7,,,,268,0,22,290,867
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,764,2,2,120,185,1,12,6,5,235,3,4,0,0,2,,,,,,2,,,,577,0,26,603,797
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,765,4,9,167,400,33,26,5,6,700,6,4,1,2,0,,,,,,8,,,,1367,2,65,1434,2364
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,766,2,5,56,127,11,4,1,6,330,3,2,0,0,0,,,,,,3,,,,548,0,21,569,876
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,767,2,0,44,211,21,18,4,3,352,3,3,0,2,1,,,,,,3,,,,665,0,35,700,1102
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,768,2,6,66,137,9,16,4,4,342,3,1,1,0,0,,,,,,9,,,,598,17,28,643,966
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,769,2,8,53,249,14,9,6,5,261,5,1,3,0,2,,,,,,2,,,,618,0,43,661,1038
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,770,2,3,89,159,3,13,4,2,405,13,1,0,0,2,,,,,,11,,,,705,0,54,759,1135
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,771,2,1,53,155,6,8,2,3,188,5,0,1,0,0,,,,,,0,,,,422,0,23,445,810
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,772,1,4,96,127,8,7,6,1,192,5,2,1,0,0,,,,,,2,,,,451,0,32,483,663
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,773,2,5,154,229,10,15,9,10,329,11,1,0,0,1,,,,,,5,,,,779,0,57,836,1211
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,774,2,11,121,169,20,12,9,5,388,7,1,1,0,2,,,,,,3,,,,749,0,62,811,1113
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,775,1,2,34,102,4,5,0,1,100,0,0,1,0,0,,,,,,0,,,,249,0,19,268,398
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,776,2,6,79,161,4,6,2,0,102,1,2,0,0,2,,,,,,5,,,,370,0,28,398,550
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,777,2,5,122,169,43,13,10,27,252,5,0,0,0,0,,,,,,2,,,,648,0,42,690,1067
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,778,2,10,78,166,20,21,5,1,149,9,20,5,1,0,,,,,,1,,,,486,0,34,520,766
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,779,2,6,58,288,14,28,11,4,193,3,2,0,0,3,,,,,,6,,,,616,0,52,668,956
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,780,2,7,119,143,7,9,7,3,137,1,4,1,0,0,,,,,,2,,,,440,0,30,470,772
,27,TABASCO,17,JALPA DE MENDEZ,5,COMALCALCO,525,4,16,136,180,31,11,14,13,819,,4,0,0,0,,,,,,,,,7,1231,0,39,1270,1831
,27,TABASCO,17,JALPA DE MENDEZ,5,COMALCALCO,526,2,6,91,95,24,3,7,0,375,,3,0,0,1,,,,,,,,,5,610,3,16,629,802
,27,TABASCO,17,JALPA DE MENDEZ,5,COMALCALCO,530,2,3,68,86,25,1,7,4,449,,2,0,0,0,,,,,,,,,3,648,1,13,662,852
