SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_humanista,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
176,B1,26,27,5,2,8,26,51,11,4,2,13,0,3,0,0,0,24,3,1,0,0,0,1,0,0,8,215,381
176,C1,22,15,0,0,3,34,43,14,2,8,16,3,3,0,1,2,15,0,2,1,0,0,0,1,0,5,190,380
177,B1,30,13,2,3,9,36,103,30,4,5,19,0,3,0,0,1,7,0,1,0,1,0,2,0,0,18,287,700
177,C1,33,20,7,0,9,62,72,16,7,4,15,3,1,1,3,0,9,1,1,0,1,1,2,0,1,7,276,700
177,C2,31,13,8,0,5,53,107,37,17,2,17,3,1,0,3,4,6,0,2,2,1,3,3,0,0,12,330,700
177,C3,14,19,5,2,12,39,81,30,5,0,22,6,5,0,5,6,0,0,0,3,0,0,9,0,0,14,277,699
177,C4,35,14,4,3,12,48,79,21,3,7,24,3,1,0,1,0,9,1,0,0,1,0,1,0,0,10,277,699
178,B1,26,20,2,4,13,33,101,31,23,11,28,2,1,1,1,1,13,5,3,0,1,2,0,1,1,4,328,729
178,C1,31,17,2,4,4,55,79,20,17,3,17,3,1,0,4,1,7,7,4,1,0,0,2,0,1,25,305,729
178,C2,29,24,4,3,8,41,71,38,11,6,26,1,4,0,1,0,15,3,2,0,0,1,0,0,0,12,300,728
178,C3,24,18,1,2,7,34,82,29,17,6,20,6,3,1,2,0,13,1,5,0,1,1,2,0,0,10,285,728
178,C4,23,21,4,4,12,36,68,16,25,2,20,0,3,0,0,0,12,5,3,0,1,0,2,0,0,9,266,728
178,C5,27,28,5,3,14,39,90,22,14,6,19,1,1,0,3,2,9,2,0,2,2,0,2,1,0,11,303,728
179,B1,29,21,2,3,13,40,121,15,5,7,20,2,6,0,2,0,17,4,3,1,3,0,1,1,1,6,323,722
179,C1,38,21,1,2,5,52,131,19,9,7,15,3,2,0,2,2,10,4,1,2,1,3,0,1,0,4,335,721
180,B1,21,23,6,0,6,40,81,35,2,8,19,1,1,0,4,1,12,1,12,2,2,1,1,3,1,12,295,653
180,C1,18,18,7,1,6,30,76,24,2,7,14,3,2,0,2,0,5,1,2,0,1,3,0,1,0,14,237,653
