ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PCPP,PSI,MORENA,ES,PAN_PRD_MC_PCPP_PSI,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_PCPP_PSI,PAN_MC_PCPP_PSI,PRD_MC_PCPP_PSI,PAN_PRD_MC,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,PRD_MC_PCPP,PRD_MC_PSI,PRD_PCPP_PSI,MC_PCPP_PSI,PAN_PRD,PAN_MC,PAN_PCPP,PAN_PSI,PRD_MC,PRD_PCPP,PRD_PSI,MC_PCPP,MC_PSI,PCPP_PSI,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,155,TEHUACAN,83,327,37202,12086,1983,6554,9731,1935,2109,1777,52788,2306,825,39,59,40,69,14,112,98,17,50,25,23,6,9,6,15,206,102,164,57,21,8,7,16,31,30,2229,533,84,743,134109,69,4318,138496,216180,
21,PUEBLA,156,TEHUITZINGO,8,21,1344,1972,66,156,48,204,33,20,2095,63,12,0,2,1,1,0,7,1,0,0,1,0,0,0,0,1,24,11,2,0,2,0,0,0,5,3,62,13,4,27,6180,0,226,6406,9608,
21,PUEBLA,157,TENAMPULCO,8,12,1190,1268,25,99,356,32,41,8,821,45,10,1,2,0,1,0,5,5,0,2,2,0,0,0,0,0,10,1,4,0,0,0,0,0,1,0,25,3,0,6,3963,0,199,4162,5261,
21,PUEBLA,158,TEOPANTLAN,5,8,1203,676,16,155,21,11,6,7,210,18,5,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,11,1,2,1,1,0,0,0,0,0,12,5,0,1,2368,0,125,2493,3489,
21,PUEBLA,159,TEOTLALCO,4,6,476,435,148,43,42,46,393,39,211,15,11,2,0,0,1,0,1,3,1,0,1,0,3,1,3,1,1,0,1,1,1,9,0,2,0,3,6,1,1,4,1906,0,68,1974,2559,
21,PUEBLA,160,TEPANCO DE LOPEZ,7,24,3088,1303,169,579,304,257,617,496,3184,194,60,4,2,1,12,3,7,7,3,7,3,2,0,0,2,1,30,10,20,20,1,2,5,4,5,5,117,42,14,57,10637,2,581,11220,15051,
21,PUEBLA,161,TEPANGO DE RODRIGUEZ,2,5,396,246,19,96,96,376,35,300,488,45,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1,1,2,1,0,0,0,4,0,9,3,1,4,2132,1,217,2350,2899,
21,PUEBLA,162,TEPATLAXCO DE HIDALGO,7,20,2207,1341,147,376,685,126,138,767,2132,153,67,2,9,3,13,3,7,6,3,6,10,2,1,0,1,4,21,3,12,16,2,0,2,0,7,3,184,33,8,55,8555,2,315,8872,11798,
21,PUEBLA,163,TEPEACA,24,90,11281,7730,560,1420,1961,815,408,178,9656,497,257,18,20,15,40,2,44,29,6,20,16,12,2,1,1,3,94,64,52,24,5,0,3,10,6,3,516,114,29,205,36117,9,1351,37477,54888,
21,PUEBLA,164,TEPEMAXALCO,1,2,198,119,8,8,231,6,1,2,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,629,0,23,652,880,
