CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRD,PT,PVEM,MC,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,3,XALOZTOC,35,TOCATLAN,506,2,121,32,118,40,7,27,215,20,1,,360,,,,0,941,62,1003,1348
4,29,TLAXCALA,3,XALOZTOC,35,TOCATLAN,507,1,94,24,34,16,2,7,80,9,3,,155,,,,0,424,11,435,581
4,29,TLAXCALA,3,XALOZTOC,38,TZOMPANTEPEC,527,6,412,128,107,69,69,173,75,243,133,,580,,,,2,1991,153,2144,3682
4,29,TLAXCALA,3,XALOZTOC,38,TZOMPANTEPEC,528,6,278,159,117,88,37,146,103,208,107,,662,,,,0,1905,126,2031,3245
4,29,TLAXCALA,3,XALOZTOC,38,TZOMPANTEPEC,529,2,108,29,137,36,25,38,128,74,32,,330,,,,0,937,86,1023,1393
4,29,TLAXCALA,3,XALOZTOC,38,TZOMPANTEPEC,530,2,80,34,186,22,11,29,42,36,20,,301,,,,0,761,18,779,1115
4,29,TLAXCALA,3,XALOZTOC,38,TZOMPANTEPEC,536,1,50,19,66,35,5,23,69,68,20,,129,,,,0,484,24,508,669
4,29,TLAXCALA,3,XALOZTOC,38,TZOMPANTEPEC,537,1,26,8,59,9,5,13,9,9,11,,45,,,,0,194,17,211,235
4,29,TLAXCALA,3,XALOZTOC,39,XALOZTOC,538,3,286,68,35,101,30,108,444,96,12,,231,,,,0,1411,54,1465,2065
4,29,TLAXCALA,3,XALOZTOC,39,XALOZTOC,539,3,362,83,25,155,20,47,368,62,9,,332,,,,3,1466,43,1509,1974
4,29,TLAXCALA,3,XALOZTOC,39,XALOZTOC,540,6,419,117,42,224,38,94,420,151,20,,496,,,,1,2022,154,2176,3008
4,29,TLAXCALA,3,XALOZTOC,39,XALOZTOC,541,4,320,66,34,182,47,60,703,73,8,,258,,,,0,1751,75,1826,2624
4,29,TLAXCALA,3,XALOZTOC,39,XALOZTOC,542,4,193,67,27,248,24,89,455,62,12,,315,,,,0,1492,61,1553,2274
4,29,TLAXCALA,3,XALOZTOC,39,XALOZTOC,543,3,305,86,51,157,44,42,322,67,12,,304,,,,0,1390,57,1447,1992
4,29,TLAXCALA,3,XALOZTOC,39,XALOZTOC,544,1,130,26,7,28,11,15,102,15,1,,155,,,,0,490,15,505,588
4,29,TLAXCALA,3,XALOZTOC,39,XALOZTOC,545,1,104,17,11,22,3,42,89,30,5,,69,,,,0,392,19,411,520
4,29,TLAXCALA,3,XALOZTOC,39,XALOZTOC,546,1,57,12,7,61,5,11,191,19,1,,160,,,,0,524,24,548,685
4,29,TLAXCALA,3,XALOZTOC,50,SAN JOSE TEACALCO,531,2,89,51,18,11,16,59,109,86,24,,328,,,,0,791,37,828,1097
4,29,TLAXCALA,3,XALOZTOC,50,SAN JOSE TEACALCO,532,1,67,25,4,24,6,32,59,39,12,,247,,,,0,515,21,536,704
4,29,TLAXCALA,3,XALOZTOC,50,SAN JOSE TEACALCO,533,1,63,24,4,36,3,38,60,32,13,,193,,,,1,467,16,483,600
4,29,TLAXCALA,3,XALOZTOC,50,SAN JOSE TEACALCO,534,2,147,46,3,34,12,83,62,46,33,,335,,,,0,801,29,830,1066
4,29,TLAXCALA,3,XALOZTOC,50,SAN JOSE TEACALCO,535,1,58,27,1,14,7,29,31,33,13,,226,,,,0,439,14,453,595
4,29,TLAXCALA,3,XALOZTOC,54,EMILIANO ZAPATA,400,1,22,2,2,6,1,1,11,0,0,,40,,,,0,85,9,94,102
4,29,TLAXCALA,3,XALOZTOC,54,EMILIANO ZAPATA,401,1,13,2,1,0,0,6,7,2,0,,97,,,,0,128,5,133,164
