CASILLAS,CASILLAS_NUM,CASILLAS_TIPO,DISTRITO,MUNICIPIO,LISTA NOMINAL,P.A.N,P.R.I.,P.R.D.,P.C.,P.T.,P.V.E.M.,P.P.S.,P.D.M.,NO REG.,NULOS,TOTAL
37,2,C,2,COLIMA,401,54,81,117,2,1,2,0,1,0,8,266
38,1,B,2,COLIMA,504,93,92,109,5,1,10,0,1,0,14,325
38,2,C,2,COLIMA,403,100,68,129,1,5,6,1,0,0,19,329
39,1,B,2,COLIMA,617,128,124,147,16,3,4,5,4,0,11,442
40,1,B,2,COLIMA,668,130,149,177,0,3,12,11,1,0,26,509
41,1,B,1,COLIMA,553,115,110,161,0,0,6,0,0,0,5,397
42,1,B,1,COLIMA,742,123,160,208,1,2,5,1,1,0,9,510
43,1,B,1,COLIMA,569,109,127,122,1,2,4,8,1,0,14,388
43,2,C,1,COLIMA,569,121,97,128,1,2,5,8,1,0,11,374
44,1,B,1,COLIMA,456,55,102,72,3,0,7,0,1,0,2,242
44,2,C,1,COLIMA,456,69,110,62,1,3,1,1,2,0,6,255
45,1,B,1,COLIMA,550,142,111,137,2,3,5,0,4,0,9,413
45,2,C1,1,COLIMA,550,125,103,156,1,1,2,1,1,0,8,398
45,5,C2,1,COLIMA,551,168,107,120,0,2,5,0,0,0,6,408
46,1,B,1,COLIMA,413,84,89,117,0,2,1,1,0,0,4,298
46,2,C,1,COLIMA,414,84,90,118,0,2,1,1,0,0,2,298
47,1,B,2,COLIMA,605,127,122,198,0,1,1,0,0,0,9,458
47,2,C,2,COLIMA,606,109,131,190,2,2,4,0,1,0,5,444
48,1,B,2,COLIMA,524,79,91,182,1,4,2,0,6,0,10,375
48,2,C,2,COLIMA,524,102,99,154,1,1,0,3,2,0,7,369
49,1,B,2,COLIMA,469,88,105,143,0,2,5,0,2,0,6,351
50,1,B,2,COLIMA,557,108,122,121,2,2,1,0,1,0,11,368
50,2,C,2,COLIMA,557,125,106,141,0,1,0,0,0,0,9,382
51,1,B,1,COLIMA,475,115,83,127,0,1,3,1,4,0,11,345
51,2,C,1,COLIMA,475,108,86,119,0,1,4,0,0,0,15,333
52,1,B,1,COLIMA,614,148,120,144,0,2,5,2,3,0,14,438
52,2,C1,1,COLIMA,614,139,154,138,2,2,4,0,2,0,12,453
52,5,C2,1,COLIMA,615,153,117,147,,2,9,4,,,12,444
53,1,B,1,COLIMA,632,150,110,150,1,4,7,1,3,0,18,444
53,2,C,1,COLIMA,633,138,134,132,1,2,4,3,9,0,11,434
54,1,B,2,COLIMA,513,117,94,160,4,2,5,2,0,0,5,389
54,2,C,2,COLIMA,514,96,130,134,2,0,8,0,3,0,12,385
55,1,B,2,COLIMA,612,85,123,185,1,1,1,2,1,0,23,422
55,2,C,2,COLIMA,613,82,120,167,2,2,1,4,5,0,25,408
56,1,B,2,COLIMA,557,115,129,143,1,2,9,0,4,0,8,411
57,1,B,2,COLIMA,426,100,79,101,3,0,1,0,1,0,15,300
57,2,C,2,COLIMA,427,72,70,102,0,2,7,1,3,0,10,267
58,1,B,2,COLIMA,477,115,84,109,2,0,4,0,2,0,20,336
58,2,C,2,COLIMA,477,109,95,97,0,0,3,2,2,0,14,322
59,1,B,2,COLIMA,606,119,103,108,22,13,5,1,3,0,22,396
59,2,C,2,COLIMA,607,119,97,127,26,6,7,1,2,0,20,405
60,1,B,2,COLIMA,747,123,169,146,3,1,7,0,1,0,17,467
60,3,E,2,COLIMA,766,,,,,,,,,,,
61,1,B,2,COLIMA,569,98,125,143,0,7,6,2,1,0,10,392
62,1,B,2,COLIMA,760,128,179,181,10,3,4,1,3,0,22,531
63,1,B,2,COLIMA,479,94,93,122,1,1,3,1,1,0,15,331
63,2,C,2,COLIMA,480,101,87,126,2,1,5,2,1,0,13,338
64,1,B,2,COLIMA,645,132,126,173,3,4,2,2,4,0,20,466
64,2,C,2,COLIMA,645,150,114,154,1,7,5,1,2,0,20,454
65,1,B,2,COLIMA,449,106,66,120,5,0,0,0,2,0,7,306
66,1,B,2,COLIMA,639,114,143,170,1,1,6,0,3,0,25,463
66,2,C,2,COLIMA,639,139,131,161,1,1,4,1,2,0,15,455
67,1,B,2,COLIMA,615,102,114,176,1,3,2,0,0,0,14,412
67,2,C,2,COLIMA,615,123,108,161,2,2,2,1,2,0,13,414
68,1,B,2,COLIMA,667,124,146,151,0,2,1,1,2,0,18,445
68,2,C,2,COLIMA,667,139,142,185,3,5,2,1,0,0,7,484
69,1,B,2,COLIMA,557,114,101,134,4,0,0,0,0,0,8,361
70,1,B,2,COLIMA,564,126,106,156,0,1,1,0,2,0,9,401
70,2,C,2,COLIMA,564,115,140,146,0,3,4,0,5,0,4,417
71,1,B,2,COLIMA,441,85,94,93,0,1,2,0,1,0,9,285
71,2,C,2,COLIMA,441,81,75,96,4,2,2,0,1,0,12,273
72,1,B,2,COLIMA,714,114,107,179,6,1,8,1,2,0,29,447
73,1,B,2,COLIMA,477,87,113,107,2,0,5,0,3,0,11,328
74,1,B,2,COLIMA,444,70,85,122,2,0,4,2,4,0,8,297
74,2,C,2,COLIMA,444,92,89,120,3,0,2,1,4,0,9,320
75,1,B,2,COLIMA,723,128,149,160,7,2,5,2,6,0,31,490
76,1,B,2,COLIMA,744,136,160,154,1,0,5,1,5,0,22,484
77,1,B,1,COLIMA,431,125,102,34,4,0,3,0,4,0,9,281
78,1,B,1,COLIMA,102,37,9,22,0,0,0,0,1,0,6,75
79,1,B,1,COLIMA,546,101,98,149,0,15,7,0,2,0,9,381
79,2,C,1,COLIMA,546,90,107,134,2,8,6,2,2,0,18,369
80,1,B,1,COLIMA,470,92,74,141,3,2,3,0,0,0,13,328
81,1,B,2,COLIMA,664,156,181,234,2,2,4,1,,,23,603
81,2,C,2,COLIMA,665,99,81,186,1,2,2,1,1,,12,385
82,1,B,2,COLIMA,552,93,117,129,2,,1,,1,,17,360
82,2,C,2,COLIMA,552,81,102,158,2,,3,,1,,13,360
82,4,E,2,COLIMA,217,15,89,29,0,0,1,0,0,0,4,138
83,1,B,2,COLIMA,372,57,80,78,2,0,3,1,1,,15,237
84,1,B,2,COLIMA,409,4,180,99,0,,1,,,,,284
84,2,C,2,COLIMA,410,8,183,115,,,1,,,,4,311
84,4,E,2,COLIMA,135,9,56,32,0,0,0,0,0,0,4,101
85,1,B,2,COLIMA,444,50,104,121,,,2,,,,25,302
85,4,E1,2,COLIMA,275,39,50,84,0,0,0,0,2,0,8,183
85,9,E2,2,COLIMA,170,31,38,16,0,0,0,1,1,0,6,93
86,1,B,2,COLIMA,318,42,49,106,2,1,1,,,,26,227
87,1,B,2,COLIMA,599,62,107,201,5,3,4,,,,30,412
