CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN_PRS,PRI,PRI_PVEM,PRD_PT_MC,PVEM,NVA_ALIANZA,MORENA,PH,ES,BS,FACA,JLCM,JRM,ISRM,MARM,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,227,2,384,126,,38,13,26,57,46,30,,,,,,,5,3,0,0,0,728,18,746,1281
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,228,2,382,141,,53,18,22,70,53,41,,,,,,,3,1,0,0,1,785,31,816,1465
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,229,1,259,51,,23,10,0,38,19,19,,,,,,,5,2,3,0,2,431,18,449,737
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,230,1,230,75,,43,4,6,29,39,27,,,,,,,3,0,0,0,3,459,18,477,738
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,231,1,177,42,,22,2,5,25,28,12,,,,,,,5,2,1,0,0,321,12,333,502
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,232,2,260,67,,30,10,9,47,28,12,,,,,,,3,3,0,0,0,469,8,477,798
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,233,1,169,55,,32,5,11,31,22,23,,,,,,,5,1,0,0,0,354,5,359,599
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,234,2,250,103,,60,5,11,39,46,26,,,,,,,7,3,1,0,1,552,19,571,874
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,235,2,251,89,,44,15,16,46,26,29,,,,,,,2,4,0,0,0,522,21,543,909
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,236,1,141,33,,16,4,3,13,13,9,,,,,,,1,4,0,0,0,237,6,243,417
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,237,2,240,113,,39,12,14,62,39,25,,,,,,,5,3,0,0,1,553,25,578,922
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,238,2,195,106,,33,8,14,41,35,21,,,,,,,11,1,1,0,1,467,16,483,787
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,239,2,293,86,,44,9,9,42,37,36,,,,,,,2,4,0,0,0,562,22,584,1013
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,240,1,124,37,,12,8,3,23,21,11,,,,,,,1,5,0,0,0,245,10,255,522
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,241,1,134,43,,19,12,4,25,18,9,,,,,,,3,1,0,0,1,269,9,278,524
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,242,1,136,60,,17,5,6,13,31,10,,,,,,,6,6,2,0,1,293,16,309,626
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,243,1,146,90,,29,8,10,27,46,16,,,,,,,4,2,0,1,1,380,5,385,650
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,244,1,129,120,,39,0,0,34,65,20,,,,,,,0,0,0,0,0,407,18,425,690
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,245,1,145,94,,31,7,3,34,31,17,,,,,,,0,0,0,0,3,365,17,382,584
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,246,2,209,115,,33,6,5,21,26,23,,,,,,,1,1,0,0,1,441,19,460,888
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,247,2,199,87,,24,7,13,23,26,8,,,,,,,1,4,0,0,0,392,16,408,813
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,248,1,200,83,,28,6,13,22,33,17,,,,,,,4,0,3,0,0,409,30,439,699
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,249,2,240,76,,44,9,9,60,54,23,,,,,,,3,3,0,0,1,522,19,541,840
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,250,2,232,89,,33,16,12,57,32,13,,,,,,,2,4,0,0,0,490,26,516,1024
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,251,1,123,51,,21,6,2,27,17,4,,,,,,,2,2,0,0,0,255,18,273,535
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,254,1,153,20,,19,0,4,4,2,5,,,,,,,0,0,0,0,0,207,11,218,314
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,255,3,423,125,,104,12,27,54,58,24,,,,,,,4,9,5,0,0,845,42,887,1850
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,440,1,180,45,,28,6,4,36,33,25,,,,,,,0,2,0,0,1,360,12,372,638
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,441,1,107,39,,21,2,5,17,20,17,,,,,,,3,0,0,0,2,233,8,241,481
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,442,1,138,58,,19,9,4,30,35,15,,,,,,,2,0,0,0,1,311,20,331,657
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,443,2,164,68,,29,5,10,39,40,12,,,,,,,1,3,0,0,0,371,11,382,753
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,444,1,104,40,,18,6,3,23,22,12,,,,,,,1,0,1,0,0,230,13,243,459
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,445,1,150,33,,29,6,9,28,27,21,,,,,,,3,1,0,0,0,307,11,318,513
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,446,2,189,103,,47,8,10,36,51,22,,,,,,,3,0,0,0,1,470,18,488,966
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,447,1,107,40,,11,5,3,17,10,18,,,,,,,0,3,0,0,1,215,8,223,567
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,448,1,95,35,,13,3,5,14,10,5,,,,,,,1,2,1,0,0,184,5,189,453
