Clave,MUNICIPIO:    ,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PRS,NULOS,TOTAL
46,MOCHITLAN,1778,B,0,40,6,0,0,0,0,46
46,MOCHITLAN,1780,B,0,33,33,0,0,0,1,67
46,MOCHITLAN,1781,B,0,38,32,0,0,0,2,72
46,MOCHITLAN,1783,B,0,18,25,0,0,0,0,43
,,,,,,,,,,,
47,OLINALA,1784,B,0,126,150,0,0,0,22,298
47,OLINALA,1784,C,0,110,171,0,0,0,12,293
47,OLINALA,1785,B,0,97,157,0,0,0,15,269
47,OLINALA,1785,C,0,104,148,0,0,0,6,258
47,OLINALA,1786,B,0,211,204,0,0,0,7,422
