municipality,section,PAN,PRI,PRD,MC,NA,PVEM,PT,PRI-PVEM-NA,PRI-PVEM,PRI-NA,Nulos,Validos,Total, ,
SAN JUAN DEL RÍO,573,531,0,23,24,0,0,28,232,0,0,18,838,856,,
SAN JUAN DEL RÍO,574,567,0,68,41,0,0,19,371,0,0,48,1066,1114,,
SAN JUAN DEL RÍO,575,274,0,44,19,0,0,14,269,0,0,25,620,645,,
SAN JUAN DEL RÍO,576,438,0,45,24,0,0,22,323,0,0,31,852,883,,
SAN JUAN DEL RÍO,577,410,0,41,22,0,0,33,270,0,0,26,776,802,,
SAN JUAN DEL RÍO,578,264,0,20,14,0,0,40,203,0,0,16,541,557,,
SAN JUAN DEL RÍO,579,454,0,21,18,0,0,27,287,0,0,26,807,833,,
SAN JUAN DEL RÍO,580,448,0,28,31,0,0,25,330,0,0,22,862,884,,
SAN JUAN DEL RÍO,581,233,0,17,23,0,0,21,179,0,0,17,473,490,,
SAN JUAN DEL RÍO,582,336,0,31,25,0,0,21,198,0,0,19,611,630,,
SAN JUAN DEL RÍO,583,511,0,92,40,0,0,54,377,0,0,53,1074,1127,,
SAN JUAN DEL RÍO,584,1307,0,179,116,0,0,101,1089,0,0,79,2792,2871,,
SAN JUAN DEL RÍO,585,1164,0,208,142,0,0,114,1051,0,0,87,2679,2766,,
SAN JUAN DEL RÍO,586,1279,0,232,113,0,0,95,1291,0,0,153,3010,3163,,
SAN JUAN DEL RÍO,587,317,0,49,19,0,0,28,229,0,0,36,642,678,,
SAN JUAN DEL RÍO,588,267,0,32,12,0,0,25,223,0,0,20,559,579,,
SAN JUAN DEL RÍO,589,377,0,46,36,0,0,23,274,0,0,29,756,785,,
SAN JUAN DEL RÍO,590,396,0,55,41,0,0,47,313,0,0,37,852,889,,
SAN JUAN DEL RÍO,591,510,0,25,25,0,0,36,344,0,0,35,940,975,,
SAN JUAN DEL RÍO,592,333,0,35,24,0,0,16,210,0,0,23,618,641,,
SAN JUAN DEL RÍO,593,311,0,36,39,0,0,34,252,0,0,32,672,704,,
SAN JUAN DEL RÍO,594,306,0,33,23,0,0,25,238,0,0,31,625,656,,
SAN JUAN DEL RÍO,595,1138,0,145,154,0,0,84,986,0,0,68,2507,2575,,
SAN JUAN DEL RÍO,596,247,0,38,18,0,0,14,228,0,0,21,545,566,,
SAN JUAN DEL RÍO,597,241,0,13,12,0,0,11,238,0,0,19,515,534,,
SAN JUAN DEL RÍO,598,346,0,39,29,0,0,24,374,0,0,12,812,824,,
SAN JUAN DEL RÍO,599,1091,0,169,220,0,0,65,1033,0,0,104,2578,2682,,
SAN JUAN DEL RÍO,600,543,0,84,59,0,0,48,574,0,0,45,1308,1353,,
SAN JUAN DEL RÍO,601,244,0,21,18,0,0,11,292,0,0,17,586,603,,
SAN JUAN DEL RÍO,602,337,0,30,20,0,0,8,229,0,0,29,624,653,,
SAN JUAN DEL RÍO,603,254,0,46,29,0,0,16,235,0,0,34,580,614,,
SAN JUAN DEL RÍO,604,328,0,32,15,0,0,54,259,0,0,23,688,711,,
SAN JUAN DEL RÍO,605,589,0,94,39,0,0,57,478,0,0,48,1257,1305,,
SAN JUAN DEL RÍO,606,439,0,61,32,0,0,27,405,0,0,30,964,994,,
SAN JUAN DEL RÍO,607,488,0,46,39,0,0,44,557,0,0,66,1174,1240,,
SAN JUAN DEL RÍO,608,624,0,30,21,0,0,12,557,0,0,51,1244,1295,,
SAN JUAN DEL RÍO,609,609,0,28,25,0,0,12,525,0,0,42,1199,1241,,
SAN JUAN DEL RÍO,610,252,0,34,6,0,0,27,408,0,0,38,727,765,,
SAN JUAN DEL RÍO,611,494,0,76,34,0,0,36,761,0,0,75,1401,1476,,
SAN JUAN DEL RÍO,612,390,0,66,19,0,0,29,725,0,0,54,1229,1283,,
SAN JUAN DEL RÍO,613,399,0,62,18,0,0,30,677,0,0,68,1186,1254,,
SAN JUAN DEL RÍO,614,693,0,119,75,0,0,48,768,0,0,89,1703,1792,,
SAN JUAN DEL RÍO,615,293,0,26,10,0,0,25,666,0,0,111,1020,1131,,
SAN JUAN DEL RÍO,616,742,0,70,20,0,0,36,562,0,0,56,1430,1486,,
SAN JUAN DEL RÍO,617,784,0,73,23,0,0,121,756,0,0,51,1757,1808,,
SAN JUAN DEL RÍO,618,401,0,52,27,0,0,18,443,0,0,41,941,982,,
SAN JUAN DEL RÍO,619,761,0,102,38,0,0,30,769,0,0,66,1700,1766,,
SAN JUAN DEL RÍO,620,526,0,50,60,0,0,28,526,0,0,73,1190,1263,,
SAN JUAN DEL RÍO,621,193,0,22,5,0,0,11,363,0,0,44,594,638,,
SAN JUAN DEL RÍO,622,546,0,67,42,0,0,30,485,0,0,75,1170,1245,,
SAN JUAN DEL RÍO,623,701,0,87,42,0,0,82,712,0,0,75,1624,1699,,
SAN JUAN DEL RÍO,624,600,0,146,65,0,0,73,675,0,0,103,1559,1662,,
SAN JUAN DEL RÍO,625,305,0,25,9,0,0,21,379,0,0,34,739,773,,
SAN JUAN DEL RÍO,626,394,0,21,20,0,0,18,379,0,0,27,832,859,,
SAN JUAN DEL RÍO,627,761,0,126,81,0,0,44,861,0,0,96,1873,1969,,
SAN JUAN DEL RÍO,628,82,0,10,4,0,0,8,212,0,0,26,316,342,,
SAN JUAN DEL RÍO,629,247,0,30,20,0,0,40,521,0,0,50,858,908,,
SAN JUAN DEL RÍO,630,290,0,48,23,0,0,37,432,0,0,61,830,891,,
SAN JUAN DEL RÍO,631,199,0,23,10,0,0,21,457,0,0,70,710,780,,
SAN JUAN DEL RÍO,632,435,0,79,50,0,0,45,1146,0,0,136,1755,1891,,
SAN JUAN DEL RÍO,633,245,0,51,52,0,0,22,549,0,0,71,919,990,,
SAN JUAN DEL RÍO,634,270,0,37,47,0,0,21,688,0,0,67,1063,1130,,
SAN JUAN DEL RÍO,635,271,0,22,40,0,0,24,735,0,0,70,1092,1162,,
SAN JUAN DEL RÍO,636,223,0,23,13,0,0,14,420,0,0,78,693,771,,
SAN JUAN DEL RÍO,637,341,0,24,31,0,0,14,568,0,0,53,978,1031,,
SAN JUAN DEL RÍO,638,222,0,33,33,0,0,22,531,0,0,50,841,891,,
SAN JUAN DEL RÍO,639,311,0,49,31,0,0,33,802,0,0,97,1226,1323,,
SAN JUAN DEL RÍO,640,604,0,67,28,0,0,41,757,0,0,97,1497,1594,,
SAN JUAN DEL RÍO,641,392,0,19,20,0,0,14,727,0,0,98,1172,1270,,
SAN JUAN DEL RÍO,642,497,0,34,28,0,0,11,828,0,0,67,1398,1465,,
SAN JUAN DEL RÍO,643,102,0,19,11,0,0,33,495,0,0,70,660,730,,
SAN JUAN DEL RÍO,797,167,0,19,16,0,0,8,124,0,0,16,334,350,,
SAN JUAN DEL RÍO,798,240,0,33,21,0,0,14,150,0,0,19,458,477,,
SAN JUAN DEL RÍO,799,257,0,29,13,0,0,18,237,0,0,24,554,578,,
SAN JUAN DEL RÍO,800,95,0,8,5,0,0,6,121,0,0,5,235,240,,
SAN JUAN DEL RÍO,801,184,0,25,35,0,0,14,171,0,0,14,429,443,,
SAN JUAN DEL RÍO,802,276,0,34,19,0,0,9,235,0,0,18,573,591,,
SAN JUAN DEL RÍO,803,152,0,25,22,0,0,9,136,0,0,7,344,351,,
SAN JUAN DEL RÍO,804,174,0,37,4,0,0,9,117,0,0,18,341,359,,
SAN JUAN DEL RÍO,805,162,0,32,19,0,0,11,159,0,0,16,383,399,,
SAN JUAN DEL RÍO,806,190,0,27,13,0,0,3,122,0,0,15,355,370,,
SAN JUAN DEL RÍO,807,230,0,27,31,0,0,10,189,0,0,4,487,491,,
SAN JUAN DEL RÍO,808,244,0,21,11,0,0,14,142,0,0,12,432,444,,
SAN JUAN DEL RÍO,809,204,0,41,11,0,0,13,188,0,0,19,457,476,,
SAN JUAN DEL RÍO,810,212,0,27,11,0,0,13,137,0,0,18,400,418,,
SAN JUAN DEL RÍO,811,185,0,30,19,0,0,19,130,0,0,9,383,392,,
SAN JUAN DEL RÍO,812,155,0,26,10,0,0,10,153,0,0,13,354,367,,
SAN JUAN DEL RÍO,813,254,0,26,11,0,0,16,161,0,0,9,468,477,,
SAN JUAN DEL RÍO,814,297,0,12,18,0,0,15,175,0,0,18,517,535,,
SAN JUAN DEL RÍO,815,204,0,28,19,0,0,11,159,0,0,13,421,434,,
SAN JUAN DEL RÍO,816,276,0,37,15,0,0,24,150,0,0,18,502,520,,
SAN JUAN DEL RÍO,817,254,0,38,16,0,0,12,154,0,0,20,474,494,,
SAN JUAN DEL RÍO,818,287,0,43,21,0,0,12,192,0,0,14,555,569,,
TEQUISQUIAPAN,644,146,132,74,12,2,9,3,0,0,0,12,378,390,,
TEQUISQUIAPAN,645,180,415,103,23,24,179,6,0,0,0,52,930,982,,
TEQUISQUIAPAN,646,178,571,134,28,35,321,12,0,0,0,43,1279,1322,,
TEQUISQUIAPAN,647,202,662,98,19,18,286,9,0,0,0,67,1294,1361,,
TEQUISQUIAPAN,648,203,728,212,21,19,312,21,0,0,0,64,1516,1580,,
TEQUISQUIAPAN,649,139,371,99,14,8,161,16,0,0,0,27,808,835,,
TEQUISQUIAPAN,650,146,480,111,21,12,193,12,0,0,0,39,975,1014,,
TEQUISQUIAPAN,651,146,335,75,21,6,95,12,0,0,0,31,690,721,,
TEQUISQUIAPAN,652,97,120,36,6,2,25,5,0,0,0,9,291,300,,
TEQUISQUIAPAN,653,219,424,69,14,5,183,22,0,0,0,52,936,988,,
TEQUISQUIAPAN,654,174,340,91,25,12,241,9,0,0,0,35,892,927,,
TEQUISQUIAPAN,655,94,233,47,24,2,72,10,0,0,0,30,482,512,,
TEQUISQUIAPAN,656,342,623,178,38,24,196,19,0,0,0,49,1420,1469,,
TEQUISQUIAPAN,657,145,353,65,12,11,328,10,0,0,0,51,924,975,,
TEQUISQUIAPAN,658,170,407,57,11,15,512,5,0,0,0,48,1177,1225,,
TEQUISQUIAPAN,659,372,743,143,27,32,397,19,0,0,0,71,1733,1804, ,
TEQUISQUIAPAN,660,241,734,70,28,43,66,11,0,0,0,67,1193,1260, ,
TEQUISQUIAPAN,661,348,365,80,4,18,84,8,0,0,0,58,907,965, ,
TEQUISQUIAPAN,662,203,360,46,5,22,50,2,0,0,0,34,688,722, ,
TEQUISQUIAPAN,663,197,344,40,4,8,64,1,0,0,0,42,658,700, ,
TEQUISQUIAPAN,664,114,116,51,7,9,21,2,0,0,0,21,320,341, ,
TEQUISQUIAPAN,665,324,460,136,30,22,263,12,0,0,0,71,1247,1318, ,
TEQUISQUIAPAN,666,275,783,125,36,58,90,12,0,0,0,134,1379,1513, ,
TEQUISQUIAPAN,667,145,909,107,14,103,74,10,0,0,0,89,1362,1451, ,
TEQUISQUIAPAN,668,231,857,110,12,54,191,8,0,0,0,61,1463,1524, ,
TEQUISQUIAPAN,669,154,464,60,14,10,150,17,0,0,0,43,869,912, ,
TEQUISQUIAPAN,670,183,606,48,17,23,69,20,0,0,0,43,966,1009, ,
TEQUISQUIAPAN,671,179,593,79,39,39,167,5,0,0,0,44,1101,1145, ,
TEQUISQUIAPAN,672,124,745,106,7,137,152,26,0,0,0,84,1297,1381, ,
TEQUISQUIAPAN,673,155,882,86,9,111,142,18,0,0,0,300,1403,1703, ,
TOLIMÁN,674,385,0,30,42,0,21,54,0,0,409,37,941,978, ,
TOLIMÁN,675,463,0,30,70,0,36,47,0,0,287,44,933,977, ,
TOLIMÁN,676,57,0,3,5,0,13,9,0,0,98,5,185,190, ,
TOLIMÁN,677,247,0,24,102,0,59,76,0,0,264,83,772,855, ,
TOLIMÁN,678,117,0,8,56,0,71,19,0,0,279,34,550,584, ,
TOLIMÁN,679,419,0,57,180,0,60,146,0,0,378,138,1240,1378, ,
TOLIMÁN,680,217,0,21,28,0,16,43,0,0,305,41,630,671, ,
TOLIMÁN,681,328,0,21,38,0,14,66,0,0,248,35,715,750, ,
TOLIMÁN,682,457,0,47,109,0,149,117,0,0,438,83,1317,1400, ,
TOLIMÁN,683,482,0,44,48,0,187,53,0,0,229,48,1043,1091, ,
TOLIMÁN,684,489,0,65,119,0,362,125,0,0,506,112,1666,1778, ,
TOLIMÁN,685,7,0,1,6,0,6,2,0,0,25,9,47,56, ,
TOLIMÁN,686,181,0,19,7,0,62,22,0,0,175,45,466,511, ,
TOLIMÁN,687,650,0,26,32,0,123,49,0,0,428,83,1308,1391, ,
