CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PVEM,NVA_ALIANZA,PRD,PT,PCP,MC,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,24,SAN LUIS POTOSI,1,MATEHUALA,48,VILLA DE GUADALUPE,1587,2,224,198,10,8,5,10,1,87,12,2,1,7,0,0,565,43,608,927
2,24,SAN LUIS POTOSI,1,MATEHUALA,48,VILLA DE GUADALUPE,1588,1,120,90,2,2,7,6,3,52,31,2,3,9,0,0,327,28,355,604
2,24,SAN LUIS POTOSI,1,MATEHUALA,48,VILLA DE GUADALUPE,1589,1,40,50,3,20,0,5,2,12,1,0,1,10,0,0,144,14,158,222
2,24,SAN LUIS POTOSI,1,MATEHUALA,48,VILLA DE GUADALUPE,1590,1,92,226,14,8,4,5,3,49,6,0,1,7,0,0,415,25,440,667
2,24,SAN LUIS POTOSI,1,MATEHUALA,48,VILLA DE GUADALUPE,1591,1,51,82,3,7,4,2,1,19,3,0,1,5,0,0,178,11,189,318
2,24,SAN LUIS POTOSI,1,MATEHUALA,48,VILLA DE GUADALUPE,1593,1,93,113,1,4,4,2,0,20,3,1,1,4,0,0,246,17,263,439
2,24,SAN LUIS POTOSI,1,MATEHUALA,48,VILLA DE GUADALUPE,1595,1,35,72,3,3,3,2,2,10,1,2,1,0,0,0,134,8,142,218
2,24,SAN LUIS POTOSI,1,MATEHUALA,48,VILLA DE GUADALUPE,1596,1,52,81,4,7,1,3,0,36,6,3,0,3,0,0,196,39,235,419
2,24,SAN LUIS POTOSI,1,MATEHUALA,48,VILLA DE GUADALUPE,1597,1,101,98,3,3,3,3,1,35,5,0,0,5,0,0,257,13,270,402
2,24,SAN LUIS POTOSI,1,MATEHUALA,48,VILLA DE GUADALUPE,1598,2,104,255,5,5,5,4,2,186,5,0,0,7,0,0,578,57,635,908
2,24,SAN LUIS POTOSI,1,MATEHUALA,48,VILLA DE GUADALUPE,1599,1,69,137,2,13,4,1,0,63,2,0,0,4,1,0,296,26,322,444
2,24,SAN LUIS POTOSI,1,MATEHUALA,48,VILLA DE GUADALUPE,1600,1,10,59,4,1,0,1,0,34,1,0,0,0,0,0,110,9,119,168
2,24,SAN LUIS POTOSI,1,MATEHUALA,48,VILLA DE GUADALUPE,1601,2,203,259,6,59,10,4,1,49,1,16,0,0,0,0,608,35,643,994
2,24,SAN LUIS POTOSI,1,MATEHUALA,48,VILLA DE GUADALUPE,1602,1,41,92,4,4,3,1,3,70,2,0,0,0,0,0,220,21,241,305
2,24,SAN LUIS POTOSI,1,MATEHUALA,48,VILLA DE GUADALUPE,1603,1,47,83,1,20,1,2,0,32,1,1,0,3,0,0,191,24,215,331
2,24,SAN LUIS POTOSI,1,MATEHUALA,49,VILLA DE LA PAZ,1604,1,70,50,0,3,2,0,1,6,1,0,2,0,1,0,136,6,142,177
2,24,SAN LUIS POTOSI,1,MATEHUALA,49,VILLA DE LA PAZ,1605,2,146,202,7,37,5,17,35,83,4,0,9,4,2,0,551,16,567,895
2,24,SAN LUIS POTOSI,1,MATEHUALA,49,VILLA DE LA PAZ,1606,1,137,155,9,20,7,15,10,60,2,3,9,8,2,0,437,18,455,687
2,24,SAN LUIS POTOSI,1,MATEHUALA,49,VILLA DE LA PAZ,1607,1,117,126,10,8,6,17,3,24,0,1,4,4,0,0,320,14,334,500
2,24,SAN LUIS POTOSI,1,MATEHUALA,49,VILLA DE LA PAZ,1608,1,99,98,4,12,3,4,11,15,4,0,2,5,0,0,257,10,267,376
2,24,SAN LUIS POTOSI,1,MATEHUALA,49,VILLA DE LA PAZ,1609,1,50,87,3,3,2,24,2,13,0,0,1,5,0,0,190,6,196,344
2,24,SAN LUIS POTOSI,1,MATEHUALA,49,VILLA DE LA PAZ,1610,1,100,74,3,10,4,8,30,9,2,0,0,0,0,0,240,31,271,436
2,24,SAN LUIS POTOSI,1,MATEHUALA,49,VILLA DE LA PAZ,1611,1,51,120,3,7,1,25,5,7,1,0,5,4,2,0,231,8,239,389
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,60,1,113,146,3,4,19,3,0,2,1,2,1,7,1,0,302,9,311,431
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,61,1,42,55,0,0,0,1,0,1,0,0,0,0,0,0,99,6,105,176
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,63,1,22,67,0,0,0,0,0,0,0,0,0,1,0,0,90,3,93,100
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,64,1,139,327,6,0,6,5,0,0,5,0,1,39,0,0,528,14,542,665
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,65,1,84,113,3,0,10,5,0,3,1,0,0,24,2,1,246,18,264,320
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,68,1,148,217,13,7,14,7,3,9,0,1,0,7,2,0,428,25,453,593
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,69,1,41,96,6,1,13,6,1,2,0,1,0,12,1,2,182,7,189,246
2,24,SAN LUIS POTOSI,2,CERRITOS,4,ARMADILLO DE LOS INFANTE,70,1,96,162,4,4,6,4,1,3,32,1,0,17,2,0,332,12,344,467
