CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PVEM,NVA_ALIANZA,PRD,PT,PCP,MC,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,288,C01,114,63,9,3,7,5,2,7,6,0,0,11,0,1,228,8,236,589,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,289,B,155,97,16,7,17,2,5,8,6,3,9,7,1,0,333,9,342,714,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,289,C01,134,88,9,13,18,4,1,12,9,5,4,5,2,0,304,8,312,714,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,289,C02,138,89,11,9,16,3,4,3,5,2,4,17,1,0,302,2,304,714,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,289,C03,120,90,13,3,16,6,8,10,7,4,4,10,1,0,292,4,296,714,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,289,C04,146,93,14,14,20,3,6,10,4,3,8,9,0,1,331,4,335,713,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,289,C05,138,80,17,8,17,8,4,10,11,6,3,10,0,0,312,16,328,713,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,290,B,67,55,16,3,8,4,1,4,2,3,2,16,0,0,181,5,186,432,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,290,C01,95,50,13,2,7,2,2,12,8,1,1,6,0,0,199,6,205,431,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,291,B,103,92,13,8,13,2,2,11,8,3,4,4,1,1,265,5,270,548,,,,
