id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,municipio,lista nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,nulos,noregistrados,PAN,PRI,PRD,PT,PVEM,Convergencia,PANAL,PAS,PAN_PVEM,PRI_PVEM,PRD_PT_PVEM_PC,PRD_PT_PVEM,PRD_PT_PC,PRD_PVEM_PC,PRD_PT,PRD_PVEM,PRD_PC,PT_PVEM,PT_PC,total
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,103,TUZANTAN,434,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1766,9,0,59,38,74,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,17,248
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,103,TUZANTAN,526,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1767,18,0,82,14,99,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,15,329
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,103,TUZANTAN,633,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1769,14,0,88,90,131,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,44,422
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,103,TUZANTAN,583,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1770,10,2,147,85,44,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,80,423
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,104,TZIMOL,473,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1773,9,0,0,161,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,358
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,104,TZIMOL,684,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1774,28,2,16,191,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,453
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,105,UNION JUAREZ,402,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1780,8,0,102,90,0,0,16,0,0,0,0,0,0,0,52,0,0,0,0,0,0,268
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,105,UNION JUAREZ,736,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1783,16,0,195,123,0,0,52,0,0,0,0,0,0,0,112,0,0,0,0,0,0,498
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,105,UNION JUAREZ,723,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1784,25,0,106,43,0,0,249,0,0,0,0,0,0,0,66,0,0,0,0,0,0,489
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,106,VENUSTIANO CARRANZA,689,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1791,35,0,144,0,0,0,0,0,0,0,0,125,0,0,142,0,0,0,0,0,0,446
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,106,VENUSTIANO CARRANZA,533,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1793,0,0,109,0,0,0,0,0,0,0,0,48,0,0,88,0,0,0,0,0,0,245
7,7/10/2007,12,Ayuntamientos,7,0,2,C,Contigua,0,,,106,VENUSTIANO CARRANZA,533,ML,Modificada por el Tribunal Local,P,T,Urna tradicional,1793,14,0,107,0,0,0,0,0,0,0,0,55,0,0,120,0,0,0,0,0,0,296
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,106,VENUSTIANO CARRANZA,466,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1794,24,0,75,0,0,0,0,0,0,0,0,79,0,0,79,0,0,0,0,0,0,257
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,106,VENUSTIANO CARRANZA,728,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1795,39,0,132,0,0,0,0,0,0,0,0,55,0,0,220,0,0,0,0,0,0,446
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,106,VENUSTIANO CARRANZA,517,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1797,4,6,289,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,323
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,106,VENUSTIANO CARRANZA,728,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1801,16,0,107,0,0,0,0,0,0,0,0,134,0,0,94,0,0,0,0,0,0,351
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,107,VILLACOMALTITLAN,721,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1812,20,0,46,141,0,0,66,0,0,39,0,0,0,0,96,0,0,0,0,0,0,408
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,107,VILLACOMALTITLAN,721,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1812,18,0,32,123,0,0,76,0,0,67,0,0,0,0,97,0,0,0,0,0,0,413
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,107,VILLACOMALTITLAN,748,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1813,19,0,47,134,0,0,100,0,0,38,0,0,0,0,81,0,0,0,0,0,0,419
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,110,YAJALON,472,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1909,9,0,28,0,102,0,0,0,1,0,0,96,0,0,0,0,0,0,0,0,5,241
