CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,COMUN_PRI_PVEM_NVA_ALIANZA,COMUN_PRD_PT_PAN,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRD_PT,PRD_PAN,PT_PAN,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,15,BUENAVISTA DE CUELLAR,779,2,118,245,166,105,77,15,2,57,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,798,18,816,1110
4,12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,15,BUENAVISTA DE CUELLAR,780,2,192,238,163,87,99,13,2,86,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,895,20,915,1286
4,12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,15,BUENAVISTA DE CUELLAR,781,3,327,278,252,195,101,33,2,65,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1269,22,1291,1741
4,12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,15,BUENAVISTA DE CUELLAR,782,2,98,142,197,83,67,6,4,47,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,655,16,671,1050
4,12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,15,BUENAVISTA DE CUELLAR,783,2,57,121,194,86,36,4,3,14,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,521,9,530,790
4,12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,15,BUENAVISTA DE CUELLAR,784,2,44,176,98,175,76,16,1,50,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,659,7,666,981
4,12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,15,BUENAVISTA DE CUELLAR,785,1,36,56,136,91,5,20,2,22,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,372,20,392,635
4,12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,15,BUENAVISTA DE CUELLAR,786,1,19,16,44,56,9,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,1,155,184
4,12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,15,BUENAVISTA DE CUELLAR,787,1,14,65,19,33,26,8,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,173,3,176,270
4,12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,15,BUENAVISTA DE CUELLAR,788,1,4,47,22,26,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,106,4,111,153
4,12,GUERRERO,12,ZIHUATANEJO DE AZUETA,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,789,1,0,0,191,0,200,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,1,404,533
4,12,GUERRERO,12,ZIHUATANEJO DE AZUETA,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,790,1,0,1,225,0,250,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,3,488,617
4,12,GUERRERO,12,ZIHUATANEJO DE AZUETA,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,791,1,0,1,107,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,4,213,259
4,12,GUERRERO,12,ZIHUATANEJO DE AZUETA,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,792,2,0,1,164,0,325,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,0,492,714
4,12,GUERRERO,12,ZIHUATANEJO DE AZUETA,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,793,3,1,5,280,0,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,8,393,526
4,12,GUERRERO,12,ZIHUATANEJO DE AZUETA,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,794,1,0,0,134,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,13,394,520
4,12,GUERRERO,12,ZIHUATANEJO DE AZUETA,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,795,1,0,1,141,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,266,353
4,12,GUERRERO,12,ZIHUATANEJO DE AZUETA,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,796,1,0,0,8,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,190,208
4,12,GUERRERO,12,ZIHUATANEJO DE AZUETA,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,797,1,0,0,154,0,104,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,2,266,317
4,12,GUERRERO,12,ZIHUATANEJO DE AZUETA,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,798,1,0,4,109,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,123,150
4,12,GUERRERO,12,ZIHUATANEJO DE AZUETA,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,799,1,0,0,137,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,1,185,227
4,12,GUERRERO,12,ZIHUATANEJO DE AZUETA,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,800,1,0,2,223,0,148,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,7,381,494
