CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,1,ACAPONETA,6,HUAJICORI,198,B,8,146,11,0,0,1,0,0,56,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,235,6,241,287,,,,
1,18,NAYARIT,1,ACAPONETA,6,HUAJICORI,199,B,1,99,15,0,0,1,2,1,123,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,248,13,261,303,,,,
1,18,NAYARIT,1,ACAPONETA,6,HUAJICORI,200,B,0,89,7,1,0,1,2,0,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,166,5,171,209,,,,
1,18,NAYARIT,1,ACAPONETA,6,HUAJICORI,201,B,1,95,20,0,1,0,2,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,189,4,193,232,,,,
1,18,NAYARIT,1,ACAPONETA,6,HUAJICORI,202,B,7,275,38,3,0,2,6,1,144,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,493,20,513,685,,,,
1,18,NAYARIT,1,ACAPONETA,6,HUAJICORI,203,B,2,64,39,3,2,0,2,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,163,3,166,213,,,,
1,18,NAYARIT,1,ACAPONETA,6,HUAJICORI,203,E01,0,79,13,1,0,0,2,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,167,6,173,226,,,,
1,18,NAYARIT,1,ACAPONETA,6,HUAJICORI,203,E02,6,42,32,0,0,1,18,1,79,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,189,8,197,249,,,,
1,18,NAYARIT,1,ACAPONETA,6,HUAJICORI,204,B,1,78,3,1,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,147,2,149,190,,,,
1,18,NAYARIT,1,ACAPONETA,6,HUAJICORI,205,B,4,54,32,3,4,1,2,1,31,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,144,11,155,202,,,,
