Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
795,C2,11,83,18,6,91,1,130,4,3,2,2,6,2,4,1,0,0,0,0,0,2,0,0,3,0,1,0,0,3,1,0,0,0,0,0,13,387,631
795,C3,21,106,9,16,70,1,116,0,0,0,0,0,5,4,0,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,11,365,631
796,B1,18,96,11,4,73,3,108,3,1,1,1,10,1,7,0,0,0,2,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,17,361,630
796,C1,16,92,9,7,47,6,113,4,0,2,1,9,18,8,2,0,0,2,0,0,1,1,0,6,1,0,0,0,3,0,2,0,0,0,0,9,359,630
796,C2,17,108,6,12,42,6,113,0,1,1,0,12,3,11,0,0,0,4,2,0,2,0,0,4,1,0,0,0,1,0,0,0,0,2,0,19,367,629
796,C3,16,97,13,6,57,8,125,3,1,0,0,9,8,4,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,25,380,629
796,S1,11,13,4,2,7,1,11,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,56,0
797,B1,18,81,8,6,98,7,58,1,4,1,1,4,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,11,322,638
797,C1,20,90,7,1,100,8,61,3,14,1,1,5,11,6,0,0,0,0,0,0,1,1,0,3,0,1,0,0,2,2,0,0,0,0,0,0,338,638
797,C2,21,87,9,7,120,7,65,4,2,3,0,14,7,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,0,0,0,0,0,25,381,638
797,C3,15,86,8,6,75,7,71,4,11,0,0,10,0,14,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,1,0,0,0,0,9,323,638
797,C4,8,81,7,4,90,11,78,5,11,0,1,1,15,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,321,638
798,B1,31,107,18,3,80,5,43,3,9,1,0,18,8,4,4,1,0,5,1,0,0,2,0,3,1,2,0,1,0,0,0,0,1,0,0,27,378,741
798,C1,37,104,22,3,78,4,46,3,18,1,0,14,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,371,741
798,C2,41,117,15,6,79,4,49,2,6,1,0,9,0,15,0,0,3,5,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,380,741
914,B1,66,151,11,10,69,6,96,17,2,0,0,6,10,0,0,0,0,1,13,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,13,478,700
914,C1,50,179,10,4,67,4,108,12,3,1,1,2,8,11,2,0,0,2,0,0,2,0,0,4,1,0,0,0,1,0,0,0,0,0,0,12,484,700
914,C2,51,176,8,6,40,8,92,7,2,2,1,9,9,5,0,0,2,2,0,0,2,0,0,10,0,0,0,0,1,0,0,0,1,0,1,13,448,699
914,C3,59,153,11,13,48,4,105,12,1,1,2,9,11,7,0,0,0,1,0,0,4,0,0,8,1,0,1,0,2,0,0,1,1,0,0,0,455,699
915,B1,68,107,13,3,49,7,80,5,0,0,0,7,11,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,11,376,624
915,C1,60,123,8,11,43,9,85,4,1,2,1,10,9,6,0,0,0,5,2,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,7,393,624
915,C2,55,124,8,10,52,6,68,7,0,0,0,10,12,10,0,1,0,1,0,0,1,1,0,3,1,0,0,0,0,0,1,0,0,0,0,11,382,623
915,C3,51,120,9,10,46,6,82,4,0,0,0,11,11,8,0,0,0,1,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,14,380,623
Totales,,2846,9070,982,948,5592,481,7552,461,256,118,50,1173,679,494,49,10,19,173,47,4,47,41,5,364,36,38,13,8,73,31,24,7,13,4,3,1165,32876,57024
