Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
72,C1,71,11,8,9,2,13,101,18,17,5,88,7,4,8,0,0,0,4,1,0,0,0,0,8,10,0,0,1,0,2,1,0,0,0,1,0,10,400,664
72,C2,108,11,13,3,1,10,107,20,15,1,78,6,13,4,0,0,0,4,2,0,0,0,2,7,7,7,0,0,0,0,3,0,2,0,0,0,13,437,664
74,B1,125,9,12,3,6,5,76,58,20,17,24,4,30,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,11,418,675
74,C1,99,17,23,4,12,11,81,48,27,10,22,11,0,14,1,0,0,3,3,1,0,0,0,0,4,1,1,0,0,3,3,1,0,0,2,0,0,402,675
74,C2,142,9,15,8,7,6,86,52,20,19,19,8,11,0,0,0,0,4,0,0,0,0,0,4,10,0,0,0,0,2,3,0,0,0,0,0,0,425,674
75,B1,87,15,5,5,2,9,94,17,62,4,13,6,0,6,8,0,0,6,0,0,0,0,0,3,8,3,0,0,1,2,0,0,0,0,1,0,17,374,633
75,C1,101,7,2,0,2,2,79,23,50,3,15,7,11,5,0,0,0,0,1,1,0,0,1,1,2,0,4,0,0,1,3,0,1,1,0,0,12,335,632
75,C2,90,13,5,3,2,7,72,7,43,1,8,3,8,3,1,0,0,5,1,1,0,0,0,2,0,0,2,6,1,0,8,0,3,2,0,0,12,309,632
76,B1,140,23,10,5,2,8,90,16,48,3,35,11,8,6,4,0,0,1,5,0,0,0,0,0,3,1,2,0,1,1,5,0,0,0,0,0,11,439,742
76,C1,139,22,12,1,9,6,88,19,51,0,24,5,4,2,2,0,0,4,2,1,0,0,0,2,6,0,0,0,0,0,0,0,3,0,0,0,12,414,741
