id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI-PVEM,PRD,PT,PC,No Registrados,Nulos,Total
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,9,Ario,608,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,161,85,89,54,70,3,0,10,311
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,2,Aguililla,462,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,12,10,63,165,0,0,0,6,244
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,2,Aguililla,596,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,13,9,121,119,0,6,0,7,262
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,3,Alvaro Obregon,474,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,30,43,84,106,0,0,1,6,240
16,14/11/2004,12,Ayuntamientos,16,0,1,E,Extraordinaria,0,3,Alvaro Obregon,197,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,32,57,35,39,0,0,0,4,135
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,3,Alvaro Obregon,565,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,34,88,63,114,0,0,0,3,268
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,3,Alvaro Obregon,583,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,35,25,123,123,0,0,0,6,277
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,3,Alvaro Obregon,583,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,35,22,135,117,0,0,0,2,276
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,3,Alvaro Obregon,536,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,36,164,35,47,0,0,0,5,251
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,4,Angamacutiro,468,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,40,1,145,91,0,0,1,6,244
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,4,Angamacutiro,550,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,43,1,123,89,0,0,0,4,217
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,4,Angamacutiro,136,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,47,0,39,16,0,0,0,0,55
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,4,Angamacutiro,510,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,49,3,76,134,0,0,0,0,213
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,5,Angangueo,390,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,54,16,46,33,90,55,0,4,244
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,5,Angangueo,408,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,56,1,51,135,44,21,0,7,259
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,28,Churintzio,409,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,411,5,130,67,0,0,0,2,204
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,28,Churintzio,439,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,412,15,118,85,0,0,0,6,224
16,14/11/2004,12,Ayuntamientos,16,0,1,E,Extraordinaria,0,28,Churintzio,140,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,416,1,5,44,0,0,0,0,50
