SECCION,NOMBRE,DISTRITO,LISTANOMINAL,PAN,PRI,PRD,Convergencia,NA,PSD,PT,PVEM,NULOS,VALIDOS,TOTAL
631,SAN JUAN DEL RÍO,10,1158,93,462,14,6,,2,5,75,32,657,689
636,SAN JUAN DEL RÍO,10,1218,86,445,7,14,,6,12,54,48,624,672
639,SAN JUAN DEL RÍO,10,2139,220,766,26,8,,5,15,48,59,1088,1147
644,TEQUISQUIAPAN,11,436,140,45,15,73,,0,4,7,24,284,308
645,TEQUISQUIAPAN,11,1244,312,228,52,148,,5,21,29,31,795,826
646,TEQUISQUIAPAN,11,1614,392,283,71,227,,5,50,21,33,1049,1082
647,TEQUISQUIAPAN,11,1741,284,412,15,210,,13,37,25,39,996,1035
648,TEQUISQUIAPAN,11,1829,398,404,50,189,,9,76,33,31,1159,1190
649,TEQUISQUIAPAN,11,1030,243,208,63,138,,12,38,15,24,717,741
650,TEQUISQUIAPAN,11,1383,266,266,98,212,,6,31,20,23,899,922
651,TEQUISQUIAPAN,11,941,207,173,52,128,,1,24,9,24,594,618
652,TEQUISQUIAPAN,11,414,96,63,24,32,,9,11,7,8,242,250
653,TEQUISQUIAPAN,11,1219,242,279,15,160,,2,25,9,24,732,756
654,TEQUISQUIAPAN,11,1212,277,240,26,136,,1,24,20,25,724,749
655,TEQUISQUIAPAN,11,795,148,133,25,99,,7,24,11,17,447,464
656,TEQUISQUIAPAN,11,1955,391,357,71,263,,7,28,28,68,1145,1213
657,TEQUISQUIAPAN,11,1243,291,260,24,142,,3,52,14,29,786,815
658,TEQUISQUIAPAN,11,1465,325,312,39,132,,5,47,24,34,884,918
659,TEQUISQUIAPAN,11,1950,481,332,30,261,,8,82,25,35,1219,1254
660,TEQUISQUIAPAN,11,1746,356,317,59,218,,13,17,37,51,1017,1068
661,TEQUISQUIAPAN,11,1235,405,137,30,152,,1,11,19,32,755,787
662,TEQUISQUIAPAN,11,945,265,115,12,127,,2,5,31,35,557,592
663,TEQUISQUIAPAN,11,808,244,157,25,67,,1,20,29,23,543,566
664,TEQUISQUIAPAN,11,400,115,28,14,56,,2,0,12,10,227,237
665,TEQUISQUIAPAN,11,1479,500,186,47,147,,10,20,31,47,941,988
666,TEQUISQUIAPAN,11,1839,453,350,83,246,,8,24,44,57,1208,1265
667,TEQUISQUIAPAN,11,1829,251,558,25,238,,5,15,21,52,1113,1165
668,TEQUISQUIAPAN,11,1877,518,266,32,190,,5,24,39,51,1074,1125
669,TEQUISQUIAPAN,11,1150,377,160,20,114,,3,18,16,26,708,734
670,TEQUISQUIAPAN,11,1195,198,250,38,106,,2,13,172,29,779,808
671,TEQUISQUIAPAN,11,1509,328,264,163,100,,6,11,30,23,902,925
672,TEQUISQUIAPAN,11,1745,325,367,61,227,,5,18,33,26,1036,1062
673,TEQUISQUIAPAN,11,1892,390,296,64,241,,7,16,34,32,1048,1080
674,TOLIMÁN,13,1289,212,217,109,218,5,11,9,75,14,856,870
675,TOLIMÁN,13,1177,291,245,104,116,6,7,3,73,17,845,862
676,TOLIMÁN,13,265,64,61,12,25,1,0,0,15,7,178,185
677,TOLIMÁN,13,1167,203,245,106,84,11,2,5,53,62,709,771
678,TOLIMÁN,13,676,116,213,19,115,6,0,2,31,9,502,511
679,TOLIMÁN,13,1791,338,427,126,103,27,6,4,137,76,1168,1244
680,TOLIMÁN,13,827,209,188,41,101,8,13,2,26,17,588,605
681,TOLIMÁN,13,970,390,146,22,59,10,6,1,48,15,682,697
682,TOLIMÁN,13,1778,427,383,126,161,6,1,2,132,45,1238,1283
683,TOLIMÁN,13,1395,308,415,69,39,15,1,2,92,29,941,970
684,TOLIMÁN,13,2528,466,484,110,168,35,4,32,147,67,1446,1513
685,TOLIMÁN,13,73,28,19,6,1,0,0,0,2,2,56,58
686,TOLIMÁN,13,698,121,170,42,21,7,1,2,68,23,432,455
687,TOLIMÁN,13,1443,332,320,32,167,16,0,12,231,46,1110,1156
