CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,84,TALA,2182,C,1,0,C01,16,110,2,9,6,128,10,106,5,0,0,0,0,392,0,9,401,665,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2182,C,2,0,C02,11,80,7,7,9,151,6,105,5,2,1,0,0,384,0,10,394,664,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2182,C,3,0,C03,12,74,1,10,14,135,8,120,6,0,0,0,0,380,0,11,391,664,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2182,C,4,0,C04,11,66,6,10,9,118,5,123,4,0,0,0,0,352,0,8,360,664,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2182,C,5,0,C05,9,78,5,6,6,153,13,128,2,0,2,0,0,402,0,7,409,664,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2183,B,1,0,B,17,56,3,5,8,148,7,79,3,1,0,0,0,327,0,10,337,614,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2183,C,1,0,C01,11,65,2,9,7,140,11,92,2,0,1,0,1,341,0,7,348,613,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2184,B,1,0,B,10,73,0,5,1,146,11,73,2,1,1,0,0,323,0,13,336,508,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2184,C,1,0,C01,6,78,1,5,8,126,9,83,3,0,1,0,0,320,0,7,327,508,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2185,B,1,0,B,15,74,5,7,6,173,8,117,5,1,0,0,0,411,0,10,421,623,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2185,C,1,0,C01,17,70,6,9,9,155,12,95,3,3,2,0,0,381,0,6,387,622,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2185,C,2,0,C02,15,72,3,13,5,144,5,134,7,0,0,0,0,398,0,11,409,622,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2186,B,1,0,B,9,69,3,6,7,117,17,66,3,0,1,0,0,298,0,15,313,553,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2186,C,1,0,C01,9,68,8,19,8,135,9,62,3,0,0,0,0,321,0,16,337,552,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2187,B,1,0,B,13,62,1,19,5,134,10,64,2,0,0,0,0,310,0,3,313,568,ACTA CASILLA,,,
