MUNICIPIO,DISTRITO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,NO REGISTRADOS,NULOS,TOTAL,LISTA NOMINAL
BENITO JUAREZ,XIII,71,071-C,16,106,77,38,3,0,11,251,462
BENITO JUAREZ,XIII,72,072-B,22,83,87,71,2,0,22,287,517
BENITO JUAREZ,XIII,72,072-C,16,96,85,61,1,0,21,280,516
BENITO JUAREZ,XIII,72,072-C,25,87,79,71,1,0,17,280,516
BENITO JUAREZ,XIII,73,073-B,27,121,93,51,1,0,14,307,507
BENITO JUAREZ,XIII,73,073-C,34,106,78,33,0,0,12,263,507
BENITO JUAREZ,XIII,73,073-C,30,99,76,40,1,0,6,252,507
BENITO JUAREZ,XIII,102,102-B,57,54,47,57,4,0,1,220,407
BENITO JUAREZ,XIII,102,102-C,64,49,62,48,2,0,1,226,408
BENITO JUAREZ,XIII,151,151-B,31,95,117,32,3,0,6,284,522
BENITO JUAREZ,XIII,151,151-C,50,98,108,29,1,0,13,299,524
BENITO JUAREZ,XIII,152,152-B,39,114,130,36,9,0,6,334,618
BENITO JUAREZ,XIII,152,152-C,56,88,136,44,0,1,11,336,619
BENITO JUAREZ,XIII,153,153-B,27,115,75,43,3,0,9,272,545
BENITO JUAREZ,XIII,153,153-C,49,93,95,35,1,0,5,278,545
BENITO JUAREZ,XIII,154,154-B,25,67,85,38,2,0,16,233,606
BENITO JUAREZ,XIII,154,154-C,26,79,72,40,0,0,6,223,606
BENITO JUAREZ,XIII,154,154-C,32,68,63,54,0,0,9,226,606
BENITO JUAREZ,XIII,155,155-B,34,81,102,35,2,0,12,266,454
BENITO JUAREZ,XIII,155,155-C,34,74,96,21,0,0,10,235,454
BENITO JUAREZ,XIII,164,164-B,35,125,119,50,0,0,12,341,622
BENITO JUAREZ,XIII,164,164-C,52,105,138,35,3,0,12,345,622
BENITO JUAREZ,XIII,171,171-B,1,44,31,3,0,0,1,80,93
BENITO JUAREZ,XIII,172,,,,,,,,,0,26
BENITO JUAREZ,XIII,177,177-B,14,142,88,49,2,0,36,331,501
BENITO JUAREZ,XIII,177,177-C,12,116,113,50,0,0,35,326,511
BENITO JUAREZ,XIII,178,178-B,10,151,129,76,0,0,49,415,663
BENITO JUAREZ,XIII,181,181-B,22,105,88,30,2,0,8,255,436
BENITO JUAREZ,XIII,181,181-C,18,86,88,35,1,0,11,239,437
,,,,,,,,,,,,
ISLA MUJERES,XIV,252,252-B,62,191,52,2,2,,12,321,449
ISLA MUJERES,XIV,252,252-C,79,183,71,,2,,3,338,450
ISLA MUJERES,XIV,253,253-B,56,149,80,4,5,,5,299,520
ISLA MUJERES,XIV,253,253-C,84,137,77,1,2,,11,312,520
ISLA MUJERES,XIV,253,253-ES,,,,,,,,,
ISLA MUJERES,XIV,254,254-B,100,143,53,5,3,,3,307,443
ISLA MUJERES,XIV,255,255-B,85,158,57,2,5,,3,310,418
ISLA MUJERES,XIV,255,255-C,83,152,54,2,1,,4,296,418
ISLA MUJERES,XIV,256,256-B,47,253,42,3,11,,11,367,506
ISLA MUJERES,XIV,257,257-B,69,207,71,2,3,,8,360,514
ISLA MUJERES,XIV,258,258-B,134,241,125,3,1,,7,511,674
ISLA MUJERES,XIV,258,258-C,123,276,89,3,4,,5,500,675
ISLA MUJERES,XIV,259,259-B,92,140,55,1,5,,4,297,390
ISLA MUJERES,XIV,260,260-B,10,31,10,2,,,,53,92
ISLA MUJERES,XIV,261,261-B,14,139,81,4,1,,14,253,360
,,,,,,,,,,,,
LAZARO CARDENAS,XV,284,284-B,15,309,219,8,0,0,21,572,731
LAZARO CARDENAS,XV,285,285-B,10,161,117,3,0,0,11,302,375
LAZARO CARDENAS,XV,285,285-C,8,181,97,2,0,0,10,298,376
LAZARO CARDENAS,XV,286,286-B,18,311,200,0,0,0,9,538,700
LAZARO CARDENAS,XV,286,286-C,22,309,213,4,0,0,17,565,701
LAZARO CARDENAS,XV,287,287-B,13,299,138,0,0,0,11,461,650
LAZARO CARDENAS,XV,288,288-B,1,187,146,4,0,0,18,356,446
LAZARO CARDENAS,XV,288,288-EX,9,231,128,1,0,0,17,386,492
LAZARO CARDENAS,XV,289,289-B,4,146,155,4,0,0,6,315,410
LAZARO CARDENAS,XV,290,290-B,7,135,182,1,0,0,8,333,452
LAZARO CARDENAS,XV,290,290-C,2,136,166,2,0,0,21,327,452
LAZARO CARDENAS,XV,291,291-B,1,265,209,1,1,0,15,492,580
LAZARO CARDENAS,XV,292,292-B,1,100,174,1,0,0,14,290,421
LAZARO CARDENAS,XV,292,292-C,3,97,176,1,0,0,20,297,431
LAZARO CARDENAS,XV,292,292-ES,,,,,,,,0,
LAZARO CARDENAS,XV,293,293-B,6,224,202,9,0,0,20,461,738
LAZARO CARDENAS,XV,294,294-B,6,151,171,1,1,0,32,362,477
LAZARO CARDENAS,XV,295,295-B,14,215,91,4,0,0,9,333,437
LAZARO CARDENAS,XV,296,296-B,3,210,243,2,0,0,16,474,680
LAZARO CARDENAS,XV,297,297-B,13,140,103,1,0,0,4,261,325
