CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0812,5,728,487,24,10,7,41,12,26,29,1,0,2,0,8,2,1375,21,1396,3068
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0813,4,693,603,13,10,5,55,13,10,13,1,7,2,1,2,0,1428,16,1449,2930
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0814,4,847,375,26,14,4,44,7,19,24,0,2,2,0,6,2,1370,26,1398,2917
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0816,8,1420,1124,38,15,11,114,16,45,35,2,13,0,0,15,0,2848,49,2895,5940
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0817,5,740,556,18,8,6,46,14,18,20,1,4,0,1,12,0,1444,15,1459,2711
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0818,5,810,450,16,13,4,46,12,27,25,5,1,1,0,16,0,1426,22,1448,3218
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0819,2,246,190,7,4,4,14,11,15,5,0,0,0,0,0,2,496,10,508,1080
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0820,2,245,209,4,1,1,12,5,10,7,0,1,0,0,2,0,497,9,506,1062
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0821,1,127,101,3,1,0,11,1,4,1,1,0,0,0,3,0,253,2,255,497
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0822,1,121,129,7,3,1,11,5,1,1,0,3,0,0,1,0,283,7,290,585
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0823,2,253,195,5,2,3,10,5,6,1,0,0,1,0,6,0,487,2,489,1080
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0824,2,233,180,10,2,0,7,6,10,6,0,2,0,0,5,0,461,9,470,990
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0825,2,257,244,8,2,3,23,11,11,3,0,1,0,0,4,0,567,8,575,1200
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0826,2,257,205,9,2,3,17,1,7,7,0,3,0,0,2,0,513,10,523,1090
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0827,2,304,206,9,6,1,13,4,6,6,2,2,1,0,2,1,562,12,575,1243
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0828,2,321,246,11,7,1,17,6,4,4,1,2,0,0,6,0,626,15,641,1284
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0829,2,254,190,11,0,0,7,10,10,2,0,0,0,0,0,0,484,7,501,939
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0830,2,239,133,8,6,1,19,2,6,5,0,0,1,0,1,0,421,5,426,821
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0831,1,88,83,5,0,0,3,0,4,3,1,0,0,0,0,0,187,1,188,343
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0832,2,212,176,3,7,1,16,6,9,1,1,0,0,0,6,0,438,11,456,926
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0833,1,112,96,5,1,0,7,4,1,5,0,2,0,0,3,0,236,3,239,500
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0834,1,118,126,4,2,0,9,0,10,4,0,0,0,0,1,0,274,1,275,556
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0835,2,209,134,11,7,2,27,3,13,2,0,0,0,0,3,0,411,6,417,837
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0836,2,151,171,3,2,5,13,4,7,6,0,0,0,0,5,1,367,10,378,754
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0837,2,218,162,13,6,2,13,2,6,8,0,6,0,0,7,0,443,11,454,974
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0838,1,165,159,6,3,1,15,6,10,1,0,3,1,0,3,1,373,3,377,720
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0839,4,665,326,17,7,3,48,17,13,9,0,1,0,0,12,0,1118,30,1148,2345
