ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,PAN_PRD,PRI_PVEM,C_COMUN_PRI_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,290,SAN PABLO CUATRO VENADOS,1,2,20,217,33,17,56,59,112,10,18,27,,2,6,4,,,,,,,0,581,40,621,934,0.6649
20,OAXACA,293,SAN PABLO HUIXTEPEC,6,12,477,1494,324,100,686,87,40,284,183,1099,,30,21,16,,,,,,,0,4841,236,5077,7083,0.7168
20,OAXACA,299,SAN PEDRO APOSTOL,2,2,103,90,120,35,27,62,3,9,8,107,,8,13,5,,,,,,,0,590,32,622,1273,0.4886
20,OAXACA,313,SAN PEDRO MARTIR,1,2,95,168,175,14,53,31,3,70,9,51,,4,8,3,,,,,,,0,684,37,721,1411,0.5110
20,OAXACA,351,SAN VICENTE LACHIXIO,1,3,38,117,273,22,61,14,17,6,2,77,,0,6,0,,,,,,,0,633,40,673,1833,0.3672
20,OAXACA,358,SANTA ANA TLAPACOYAN,2,3,340,121,108,16,30,10,16,10,9,112,,2,34,5,,,,,,,0,813,33,846,1654,0.5115
20,OAXACA,360,SANTA ANA ZEGACHE,2,5,85,701,738,15,83,47,19,10,13,183,,9,16,15,,,,,,,0,1934,81,2015,2916,0.6910
20,OAXACA,369,SANTA CATARINA QUIANE,1,3,173,195,107,14,60,96,4,21,10,177,,6,11,4,,,,,,,0,878,52,930,1551,0.5996
20,OAXACA,379,SANTA CRUZ MIXTEPEC,3,5,123,412,259,24,33,68,76,22,16,280,,14,25,7,,,,,,,3,1359,83,1445,2584,0.5592
20,OAXACA,388,SANTA GERTRUDIS,3,5,101,520,371,17,50,25,150,22,9,303,,5,30,14,,,,,,,2,1617,83,1702,2455,0.6933
20,OAXACA,389,SANTA INES DEL MONTE,1,3,22,231,290,20,150,58,21,9,23,50,,4,12,3,,,,,,,0,893,64,957,1620,0.5907
20,OAXACA,390,SANTA INES YATZECHE,1,2,49,98,117,3,6,15,2,3,1,25,,0,12,1,,,,,,,0,332,17,349,837,0.4170
20,OAXACA,395,SANTA LUCIA OCOTLAN,1,4,97,379,229,19,72,63,42,31,7,123,,4,5,5,,,,,,,0,1076,84,1160,2736,0.4240
