CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,214,C,1,0,C01,78,36,34,15,42,9,15,124,36,4,6,1,0,13,4,0,3,16,436,0,15,451,662,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,214,C,2,0,C02,72,26,18,14,55,7,15,120,38,4,8,7,2,15,6,2,8,14,431,0,16,447,662,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,215,B,1,0,B,59,23,32,14,53,14,10,139,48,3,4,1,2,8,1,1,6,20,438,0,18,456,748,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,215,C,1,0,C01,62,31,32,15,55,13,11,120,47,7,5,2,1,15,2,0,7,14,439,0,10,449,748,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,215,S,1,0,S01,14,2,3,2,8,1,2,25,6,2,0,1,0,3,1,1,1,2,74,1,1,76,0,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,216,B,1,0,B,96,25,31,4,39,9,7,87,25,4,4,5,6,15,1,1,5,8,372,1,11,384,535,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,216,C,2,0,C02,103,15,37,48,10,8,3,97,6,30,5,1,2,6,0,0,7,9,387,0,11,398,535,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,216,C,1,0,C01,92,22,19,8,28,11,6,89,24,4,2,3,0,7,1,0,1,12,329,1,9,339,535,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,217,B,1,0,B,93,17,24,6,24,5,8,87,20,1,0,2,0,6,1,2,1,10,307,0,8,315,431,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,217,C,1,0,C01,107,13,24,6,26,6,2,66,15,5,10,0,0,10,2,1,0,7,300,0,6,306,431,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,218,B,1,0,B,75,16,15,5,21,8,11,80,25,4,2,0,0,11,3,0,3,8,287,0,10,297,415,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,218,C,1,0,C01,78,25,10,8,21,6,6,71,23,5,3,1,1,5,0,0,1,7,271,0,8,279,414,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,219,B,1,0,B,100,23,16,7,40,10,7,118,30,8,3,3,0,11,4,0,4,12,396,1,12,409,615,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,219,C,2,0,C02,94,15,15,13,32,9,11,127,43,3,3,0,1,16,3,2,3,10,400,0,6,406,614,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,219,C,1,0,C01,85,22,11,7,47,5,9,120,30,2,5,2,0,13,1,3,2,9,373,0,7,380,615,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,B,1,0,B,120,23,20,6,29,2,3,73,30,5,2,2,0,9,2,1,3,9,339,0,13,352,550,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,C,1,0,C01,102,26,19,5,36,1,10,91,15,4,3,8,2,3,1,1,4,7,338,0,5,343,549,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,C,2,0,C02,143,27,25,13,22,10,2,85,24,2,4,0,1,5,0,1,3,5,372,1,4,377,549,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,E,1,1,E01C01,64,17,17,9,48,14,12,167,47,10,2,1,0,1,2,0,6,0,417,1,20,438,742,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,E,1,5,E01C05,73,12,26,13,40,11,7,165,44,4,7,3,2,5,4,1,4,19,440,0,13,453,742,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,E,1,0,E01,68,5,32,12,42,11,8,136,46,16,5,1,2,14,0,2,11,22,433,0,12,445,743,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,E,1,2,E01C02,49,17,35,9,47,6,8,140,52,7,3,3,3,1,12,2,2,2,398,15,12,425,742,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,E,1,3,E01C03,69,21,32,12,50,12,14,131,35,9,6,0,1,10,3,1,6,15,427,0,10,437,742,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,E,1,4,E01C04,53,22,26,17,39,4,13,144,44,4,4,0,1,17,4,1,4,16,413,0,9,422,742,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,221,B,1,0,B,56,15,9,7,45,6,7,137,22,6,1,4,1,15,2,0,6,12,351,0,16,367,562,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,221,C,1,0,C01,47,13,15,8,33,7,11,133,38,2,4,1,0,12,0,1,6,16,347,0,14,361,562,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,221,C,2,0,C02,34,8,15,14,45,6,7,127,38,4,4,0,1,11,3,2,4,13,336,0,12,348,562,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,222,B,1,0,B,48,6,23,16,45,7,12,130,46,4,2,2,3,13,1,6,0,12,376,0,20,396,637,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,222,C,2,0,C02,25,12,20,11,39,5,3,137,39,3,2,1,2,13,4,3,1,9,329,0,14,343,636,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,222,C,1,0,C01,51,20,12,12,45,11,7,151,41,4,5,1,1,7,2,0,1,14,385,0,11,396,636,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,222,E,1,1,E01C01,33,11,29,14,39,16,9,113,42,8,8,2,3,30,0,0,0,0,357,0,0,357,664,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,222,E,1,4,E01C04,37,20,22,7,44,10,7,126,37,2,2,6,1,21,2,1,5,17,367,0,12,379,663,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,222,E,1,5,E01C05,37,22,14,24,41,3,6,152,29,6,2,1,4,14,4,4,8,12,383,0,21,404,663,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,222,E,1,6,E01C06,37,18,17,15,47,9,9,146,29,7,8,5,0,11,3,2,7,15,385,0,7,392,663,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,222,E,1,3,E01C03,39,18,17,20,38,9,13,120,44,5,3,0,1,22,1,4,8,17,379,0,14,393,663,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,222,E,1,2,E01C02,38,18,18,10,50,16,7,110,35,3,0,1,0,16,1,0,15,16,354,0,12,366,664,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,222,E,1,0,E01,47,18,20,17,37,14,6,136,34,3,9,0,1,14,1,2,9,9,377,0,17,394,664,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,223,B,1,0,B,41,20,22,8,34,2,9,118,72,7,1,2,6,10,3,0,2,6,363,0,15,378,569,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,223,C,1,0,C01,49,17,29,9,37,7,4,104,68,2,3,2,11,11,0,4,6,9,372,0,15,387,569,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,224,B,1,0,B,50,14,29,12,48,4,15,149,46,3,7,1,2,14,3,2,3,17,419,0,15,434,709,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,224,C,1,0,C01,53,14,26,13,49,4,10,136,63,2,4,2,1,19,1,0,8,13,418,0,24,442,709,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,225,B,1,0,B,48,22,8,17,41,8,10,117,61,5,5,1,1,14,1,0,3,11,373,1,16,390,586,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,225,C,1,0,C01,50,18,19,7,42,11,5,114,45,7,9,1,2,14,1,2,5,13,365,1,14,380,586,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,226,B,1,0,B,42,9,29,10,45,12,5,118,36,5,1,1,3,14,1,0,8,11,350,0,17,367,570,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,226,C,1,0,C01,46,19,24,13,28,4,11,108,45,2,4,3,2,15,0,0,3,20,347,1,16,364,569,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,227,B,1,0,B,64,19,20,13,44,13,8,139,46,6,3,2,1,14,2,3,8,11,416,1,10,427,673,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,227,C,1,0,C01,62,21,25,18,43,8,19,114,42,4,0,0,2,9,0,0,6,15,388,0,17,405,672,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,227,C,2,0,C02,59,18,21,5,38,6,7,164,47,7,3,1,2,6,0,2,6,18,410,0,18,428,672,Acta casilla,,,
