CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,COAL_PRI_PVEM,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,267,B,13,107,9,16,16,10,13,91,32,4,1,0,0,0,,,,,,0,312,9,321,566,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,268,B,12,55,5,21,10,1,9,59,23,4,,,,,0,,,,3,0,202,5,207,410,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,269,B,26,98,17,16,2,3,4,82,16,0,,,,,0,,,,8,0,272,3,275,474,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,270,B,3,89,5,12,12,9,3,159,13,0,,,,,0,,,,5,0,310,11,321,534,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,271,B,12,135,4,12,9,12,4,202,18,0,,,,,0,,,,3,0,411,19,430,733,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,312,B,3,142,7,9,3,1,1,162,8,0,0,0,0,0,,,,,,0,336,2,338,462,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,313,B,14,73,46,12,1,1,0,45,4,2,0,1,0,0,,,,,,0,199,4,203,356,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,314,B,6,123,15,11,5,3,5,46,59,1,0,0,0,0,,,,,,0,274,18,292,428,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,315,B,2,38,6,4,2,0,1,16,0,1,1,0,0,0,,,,,,0,71,0,71,114,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,316,B,4,51,1,1,2,2,3,13,8,0,,,,,0,,,,,1,85,8,94,130,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,317,B,26,51,32,11,8,5,6,67,17,3,,,,,0,,,,,0,226,8,234,438,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,318,B,9,144,13,16,9,6,9,138,40,0,,,,,2,,,,,0,386,16,402,616,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,320,B,6,28,25,2,1,0,3,2,11,2,0,1,0,0,,,,,,0,81,8,89,158,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,321,B,43,163,16,41,3,5,2,56,10,4,2,0,0,0,,,,,,0,345,22,367,594,ACTA CASILLA,,,
