id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,PAN,PRI,PRD,PT,PVEM,Convergencia,PANAL,PRI-PANAL,NoRegistrados,Nulos,TOTAL
27,18/10/2009,11,Regidores,27,6,608,2,C,Contigua,0,COMALCALCO,,5,COMALCALCO,1552,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,0,208,166,5,6,0,1,1,0,8,395
27,18/10/2009,11,Regidores,27,7,609,2,C,Contigua,0,CUNDUACAN,,6,CUNDUACAN,2059,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,11,123,245,4,5,0,1,0,0,0,389
27,18/10/2009,11,Regidores,27,7,615,1,B,Basica,0,CUNDUACAN,,6,CUNDUACAN,1234,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,7,138,229,0,1,2,9,1,0,19,406
27,18/10/2009,11,Regidores,27,7,617,1,B,Basica,0,CUNDUACAN,,6,CUNDUACAN,1802,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,10,122,231,2,5,1,4,0,0,13,388
27,18/10/2009,11,Regidores,27,7,617,2,C,Contigua,0,CUNDUACAN,,6,CUNDUACAN,1802,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,10,121,226,2,4,1,8,1,0,11,384
27,18/10/2009,11,Regidores,27,7,624,1,B,Basica,0,CUNDUACAN,,6,CUNDUACAN,1312,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,0,236,141,10,1,2,6,1,0,13,410
27,18/10/2009,11,Regidores,27,7,626,1,C,Contigua,0,CUNDUACAN,,6,CUNDUACAN,891,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1,145,140,11,4,0,1,0,0,0,302
27,18/10/2009,11,Regidores,27,7,629,1,B,Basica,0,CUNDUACAN,,6,CUNDUACAN,1243,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,5,155,188,5,4,2,2,0,0,13,374
27,18/10/2009,11,Regidores,27,9,731,1,B,Basica,0,HUIMANGUILLO,,8,HUIMANGUILLO,1549,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,27,137,152,27,1,0,2,0,0,12,358
27,18/10/2009,11,Regidores,27,9,733,1,C,Contigua,0,HUIMANGUILLO,,8,HUIMANGUILLO,1865,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,53,171,167,28,2,1,0,0,0,9,431
